chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
съто|съто|Ma|sъto|nt_o
диꙗволъ|дияволъ|Nb|dijǢvolъ|masc_o
познати|познати|V-|poznati|54
поустꙑни|пустыни|Nb|pustyńi|fem_ji
воѥвода|воевода|Nb|vojevoda|masc_a
чисти|чисти|V-|čisti|ьt
подобьнъ|подобьныи|A-|podobьnъ|adj_hard
иꙗковъ|ияковъ|Ne|ijǢkovъ|masc_o
вꙑшьнь|вышьнии|A-|vyšьńь|adj_soft
възьрѣти|възьрѣти|V-|vъzьrěti|31
еда|еда|Du|jeda|
мѫчити|мучити|V-|mǫčiti|40
оуготовати|уготовати|V-|ugotovati|54
слоуга|слуга|Nb|sluga|masc_a
сѫдити|судити|V-|sǫditi|40
съконьчати|съконьчати|V-|sъkonьčǢti|54
вьсь|вьсь|Nb|vьsь|fem_i
чьто|чьто|Px|čьto|čьto
болѣзнь|болѣзнь|Nb|bolěznь|fem_i
проповѣдати|проповѣдати|V-|propovědati|54
помиловати|помиловати|V-|pomilovati|61
славити|славити|V-|slaviti|40
глаголъ|глаголъ|Nb|golgolъ|masc_o
оутврьдити|утвьрдити|V-|utvŕ̥diti|40
поклонити|поклонити|V-|pokloniti|40
възискати|възискати|V-|vъziskati|iskati
хвалити|хвалити|V-|xvaliti|40
крьстити|крьстити|V-|krьstiti|40
обаче|обаче|Df|obače|
чьстьнъ|чьстьныи|A-|čьstьnъ|adj_hard
апостолъ|апостолъ|Nb|apostolъ|masc_o
власть|волость|Nb|volstь|fem_i
възнести|възнести|V-|vъznesti|11
съхранити|съхоронити|V-|sъxorniti|40
изгънати|изгънати|V-|jьzgъnati|51_abl
благословити|благословити|V-|bolgosloviti|40
овьца|овьца|Nb|ovьka|fem_a_PV3
дроугъ|другъ|Nb|drugъ|masc_o
рѣка|рѣка|Nb|rěka|fem_a
възъпити|възъпити|V-|vъzъpiti|17
прѣити|переити|V-|per+jьti|jьti
зъвати|зъвати|V-|zъvati|51_abl
прѣбꙑти|перебыти|V-|perbyti|pref_byti
иосифъ|иосифъ|Ne|ijosifъ|masc_o_u
понѥже|понеже|G-|pońeže|
дивити|дивити|V-|diviti|40
крьстъ|крьстъ|Nb|krьstъ|masc_o
въпити|въпити|V-|vъpiti|17
пѣснь|пѣснь|Nb|pěsnь|fem_i
жизнь|жизнь|Nb|žiznь|fem_i
исповѣдати|исповѣдати|V-|jьspovědati|54
седмь|седмь|Ma|sedmь|fem_i
дъщи|дъчи|Nb|dъћi|fem_R
июда|июда|Ne|ijuda|masc_a
пасха|пасха|Nb|pasxa|fem_a
съзьдати|съзьдати|V-|sъzьdati|52_abl
оубогъ|убогыи|A-|ubogъ|adj_hard
слъньце|сълньце|Nb|sl̥nьke|nt_o_PV3
жрьтва|жьртва|Nb|žŕ̥tva|fem_a
богатъ|богатыи|A-|bogatъ|adj_hard
въскрьснѫти|въскрьснути|V-|vъskrьsnǫti|21
помолити|помолити|V-|pomodliti|40
врата|врата|Nb|vorto|nt_o
печаль|печаль|Nb|pečǢlь|fem_i
възмощи|възмощи|V-|vъzmoћi|11
деснъ|десныи|A-|desnъ|adj_hard
тьма#1|тьма|Nb|tьma|fem_a
сѣти|сѣяти|V-|sějǢti|53
мъного|мъного|Df|mъnogo|
съвѣтъ|съвѣтъ|Nb|sъvětъ|masc_o
вѣрьнъ|вѣрьныи|A-|věrьnъ|adj_hard
прѣжде|переже|R-|perђe|
благодѣть|благодѣть|Nb|bolgodětь|fem_i
погꙑбнѫти|погыбнути|V-|pogybnǫti|21
възъвати|възъвати|V-|vъzъvati|51_abl
разоумъ|разумъ|Nb|orzumъ|masc_o
оучениѥ|учение|Nb|učenьje|nt_jo
ꙗкоже|якоже|Df|akože|
нечистъ|нечистыи|A-|nečistъ|adj_hard
приближити|приближити|V-|približiti|40
камениѥ|камение|Nb|kamenьje|nt_jo
сѣмѧ|сѣмя|Nb|sěmę|nt_N
добрѣ|добрѣ|Df|dobrě|
ꙗко|яко|Df|ako|
избьрати|избьрати|V-|jьzbьrati|51_abl
пѣти|пѣти|V-|pěti|19
почьто|почьто|Du|počьto|
четꙑрe|четыре|Ma|četyre|four
павьлъ|павьлъ|Ne|pavьlъ|masc_o_u
прѣподобьнъ|прѣподобьныи|A-|perpodobьnъ|adj_hard
ненавидѣти|ненавидѣти|V-|nenaviděti|viděti
слѣдъ|слѣдъ|Nb|slědъ|masc_o
слѣпъ|слѣпыи|A-|slěpъ|adj_hard
имѣниѥ|имѣние|Nb|jьměnьje|nt_jo
таковъ|таковыи|A-|takovъ|adj_hard
прославити|прославити|V-|proslaviti|40
трѣбовати|трѣбовати|V-|terbovati|61
повѣдѣти|повѣдѣти|V-|pověděti|wote
ва|ты|Pp|ty|ty
съвѣдѣтельствовати|съвѣдѣтельствовати|V-|sъvěděteĺьstvovati|61
приложити|приложити|V-|priložiti|40
поустити|пустити|V-|pustiti|40
съньмище|съньмище|Nb|sъnьmišče|nt_jo
възложити|възложити|V-|vъzložiti|40
тъкъмо#2|тъкъмо#2|Df|tъkъmo|
година|година|Nb|godina|fem_a
страсть|страсть|Nb|strastь|fem_i
небесьнъ|небесьныи|A-|nebesьnъ|adj_hard
любꙑ|любы|Nb|ĺuby|fem_uu
насꙑтити|насытити|V-|nasytiti|40
възвеселити|възвеселити|V-|vъzveseliti|40
срѣда|середа|Nb|serda|fem_a
мѣсѧць|мѣсяць|Nb|měsękь|masc_o_PV3
облѣщи|облѣщи|V-|obvelћi|15
адъ|адъ|Nb|adъ|masc_o
съмрьтьнъ|съмьртьныи|A-|sъmŕ̥tьnъ|adj_hard
авѣ|явѣ|Df|avě|
знати|знати|V-|znati|54
дѣвица|дѣвица|Nb|děvika|fem_a_PV3
блюсти|блюсти|V-|bĺusti|11
троудъ|трудъ|Nb|trudъ|masc_o
вино|вино|Nb|vino|nt_o
въкоупѣ|въкупѣ|Df|vъkupě|
съпати|съпати|V-|sъpati|sleep
ибо|ибо|Df|ibo|
правьдьникъ|правьдьникъ|Nb|pravьdьnikъ|masc_o
господинъ|господинъ|Nb|gospodinъ|masc_o
горѥ|горе|I-|goŕe|
тещи|тещи|V-|teћi|11
мъножьство|мъножьство|Nb|mъnožьstvo|nt_o
въходити|въходити|V-|vъxoditi|40
разбоиникъ|розбоиникъ|Nb|orzbojьnikъ|masc_o
покаꙗниѥ|покаяние|Nb|pokajǢnьje|nt_jo
осѫдити|осудити|V-|osǫditi|40
болѣти|болѣти|V-|bolěti|31
сльза|сльза|Nb|slьza|fem_a
посрѣдѣ|посрѣдѣ|R-|poserdě|
дѣлатель|дѣлатель|Nb|dělateĺь|masc_tel
съпасъ|съпасъ|Nb|sъpasъ|masc_o
достоꙗти|достояти|V-|dostojǢti|31
прострѣти|простерети|V-|prosterti|13
запрѣтити|запрѣтити|V-|zapertiti|40
бѣжати|бѣжати|V-|běžǢti|31
таинъ|таиныи|A-|tajьnъ|adj_hard
съкроушити|съкрушити|V-|sъkrušiti|40
вънъ|вънъ|Df|vъnъ|
остати|остати|V-|ostati|stati
изгонити|изгонити|V-|jьzgoniti|40
вѣтръ|вѣтръ|Nb|větrъ|masc_o
вина|вина|Nb|vina|fem_a
навꙑкнѫти|навыкнути|V-|navyknǫti|21
повѣдати|повѣдати|V-|povědati|54
шесть|шесть|Ma|šestь|fem_i
раздѣлити|роздѣлити|V-|orzděliti|40
помощь|помочь|Nb|pomoћь|fem_i
въздвигнѫти|въздвигнути|V-|vъzdvignǫti|21
слоужити|служити|V-|služiti|40
полъ#1|полъ#1|Nb|polъ|masc_u
коупьно|купьно|Df|kupьno|
третии|третии|Mo|tretьjь|adj_soft_ord
пропѧти|пропяти|V-|propęti|12
орѫжиѥ|оружие|Nb|orǫžьje|nt_jo
звѣрь|звѣрь|Nb|zvěrь|masc_i
повелѣниѥ|повелѣние|Nb|povelěnьje|nt_jo
грѣшьнъ|грѣшьныи|A-|grěšьnъ|adj_hard
приносити|приносити|V-|prinositi|40
хранити|хоронити|V-|xorniti|40
съгрѣшити|съгрѣшити|V-|sъgrěšiti|40
послѣдьнии|послѣдьнии|A-|poslědьńь|adj_soft
отрокъ|отрокъ|Nb|otrokъ|masc_o
илиꙗ|илия|Ne|ilijǢ|masc_ja
потомь|потомь|Df|potomь|
виноградъ|виноградъ|Nb|vinogordъ|masc_o
въвести|въвести|V-|vъvesti|11
безакониѥ|безаконие|Nb|bezakonьje|nt_jo
съврьшити|съвьршити|V-|sъvŕ̥šiti|40
лютъ|лютыи|A-|ĺutъ|adj_hard
къжьдо|къжьдо|Px|kъžьdo|kъžьdo
затворити|затворити|V-|zatvoriti|40
пещи|печи|V-|peћi|11
мало|мало|Df|malo|
извести#1|извести|V-|jьzvesti|11
съкрꙑти|съкрыти|V-|sъkryti|18
облакъ|облакъ|Nb|obvolkъ|masc_o
правъ|правыи|A-|pravъ|adj_hard
възити|възити|V-|vъzjьti|jьti
помꙑшлꙗти|помышляти|V-|pomyšĺǢti|54
прочь|прочии|A-|pročь|adj_soft
въспѣти|въспѣти|V-|vъspěti|19
зависть|зависть|Nb|zavistь|fem_i
нѣкꙑи|нѣкыи|Px|někъjь|kъjь
побѣдити|побѣдити|V-|poběditi|40
обꙑчаи|обычаи|Nb|obyčǢjь|masc_jo
подати|подати|V-|podati|dati
покаꙗти|покаяти|V-|pokajǢti|53
клѧти|кляти|V-|klęti|12
памѧть|память|Nb|pamętь|fem_i
