id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
4213,глоумлѥниѥ,Nb,глоумленіе,2,,,,,psal-sin_pipe_removed,,vit-const,,,80
4214,работьнъ,A-,работьнъ,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4215,прѣстѫпьникъ,Nb,прѣстѫпьнікъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4216,топаньѕиѥ,Nb,топаньзіе,1,,,,,psal-sin_pipe_removed,,,,,16
4217,направлꙗти,V-,направлѣті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4218,младенищь,Nb,младенішть,27,,,,,psal-sin_pipe_removed,supr_fixed,,,zogr,304
4219,въвлѣщи,V-,въвлѣшті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4220,клевета,Nb,клевета,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4221,безгодиѥ,Nb,безгодіе,1,,,,,psal-sin_pipe_removed,,,,,16
4222,вꙑгонити,V-,въігоніті,1,,,,,psal-sin_pipe_removed,,,,,16
4223,степеньнъ,A-,степеньнъ,14,,,,,psal-sin_pipe_removed,,,,,16
4224,неправьдивъ,A-,неправьдівъ,1,,,,,psal-sin_pipe_removed,,,,,16
4225,оувꙑ,I-,оувъі,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4226,пришьльствовати,V-,прішьльствоваті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4227,отънѫдѣже,Dq,отънѫдѣже,1,,,,,psal-sin_pipe_removed,,,,,16
4228,ожещи,V-,ожешті,1,,,,,psal-sin_pipe_removed,,,,,16
4229,причѧстиѥ,Nb,прічѧстіе,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4230,стлъпоустѣна,Nb,стлъпоустѣна,1,,,,,psal-sin_pipe_removed,,,,,16
4231,господжа,Nb,господжа,1,,,,,psal-sin_pipe_removed,,,,,16
4232,непостоинъ,A-,непостоінъ,1,,,,,psal-sin_pipe_removed,,,,,16
4233,развращениѥ,Nb,развраштеніе,1,,,,,psal-sin_pipe_removed,,,,,16
4234,пожѧти,V-,пожѧті,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4235,рѫковѧть,Nb,рѫковѧть,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4236,оутрьневати,V-,оутрьневаті,1,,,,,psal-sin_pipe_removed,,,,,16
4237,сѣдѣниѥ,Nb,сѣдѣніе,1,,,,,psal-sin_pipe_removed,,,,,16
4238,чрѣвьнъ,A-,чрѣвьнъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4239,гобьѕити,V-,гобьзіті,1,,,,,psal-sin_pipe_removed,,,,,16
4240,новорасль,Nb,новорасль,1,,,,,psal-sin_pipe_removed,,,,,16
4241,маслиньнъ,A-,масліньнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4242,задлъжити,V-,задлъжіті,1,,,,,psal-sin_pipe_removed,,,,,16
4243,въздръваниѥ,Nb,въздръваніе,1,,,,,psal-sin_pipe_removed,,,,,16
4244,отъдоити,V-,отъдоіті,2,,,,,psal-sin_pipe_removed,,vit-const,,,80
4245,дрѣманиѥ,Nb,дрѣманіе,1,,,,,psal-sin_pipe_removed,,,,,16
4246,кротафъ,Nb,кротафъ,1,,,,,psal-sin_pipe_removed,,,,,16
4247,ефранта,Ne,ефранта,1,,,,,psal-sin_pipe_removed,,,,,16
4248,кивотъ,Nb,ківотъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4249,благословесьствовати,V-,благословесьствоваті,1,,,,,psal-sin_pipe_removed,,,,,16
4250,брада,Nb,брада,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4251,омета,Nb,омета,1,,,,,psal-sin_pipe_removed,,,,,16
