ꙇматъ,V-,9
чисти,V-,15
Егда,Dq,300
же,Df,20
приде,V-,221
въ,R-,111
галилеѭ,Ne,1542
приѩшѧ,V-,165
і,C-,13
галилѣане,Nb,2361
вьсѣ,Px,54
видѣвъше,V-,479
елико,Pr,2092
сътвори,V-,73
въ,R-,111
е҃рмѣхъ,Nb,0
въ,R-,111
праздьникъ,Nb,1901
приде,V-,221
же,Df,20
пакꙑ,Df,616
въ,R-,111
кана,Ne,3070
галилеѭ,Ne,1542
ꙇдеже,Dq,798
сътвори,V-,73
отъ,R-,80
водꙑ,Nb,355
вино,Nb,335
Бѣ,V-,18
же,Df,20
етеръ,Px,1287
ц҃рь,Nb,275
мѫжь,Nb,70
егоже,Pr,96
с҃нъ,Nb,341
болѣаше,V-,1045
въ,R-,111
каперънаоумѣ,Ne,947
слꙑшавъ,V-,689
ѣко,G-,115
и҃с,Ne,343
приде,V-,221
отъ,R-,80
ꙇюдеѩ,Ne,1840
въ,R-,111
галилеѭ,Ne,1542
ꙇде,V-,671
къ,R-,59
н҄емоу,Pp,64
ꙇ,C-,13
мол҄ѣаше,V-,409
і,C-,13
да,G-,366
сънидетъ,V-,913
ꙇ,C-,13
цѣлитъ,V-,1092
с҃на,Nb,341
его,Pp,64
бѣ,V-,18
бо,Df,94
оумираѩ,V-,2278
рече,V-,106
же,Df,20
къ,R-,59
н҄емоу,Pp,64
и҃с,Ne,343
аште,G-,248
знамени,Nb,0
ꙇ,C-,13
чюдесъ,Nb,1682
не,Df,8
видите,V-,479
не,Df,8
ꙇмате,V-,9
вѣрꙑ,Nb,506
ѩти,V-,1080
г҃ла,V-,102
къ,R-,59
н҄емоу,Pp,64
ц҃рь,Nb,275
мѫжь,Nb,70
г҃и,Nb,342
съниди,V-,913
прѣжде,Df,5
даже,G-,1923
не,Df,8
оумьретъ,V-,1068
отрочѧ,Nb,1549
мое,Ps,447
г҃ла,V-,102
къ,R-,59
н҄емоу,Pp,64
и҃с,Ne,343
ꙇди,V-,671
с҃нъ,Nb,341
твои,Ps,307
живъ,A-,1507
естъ,V-,18
ꙇ,C-,13
вѣрѫ,Nb,506
ꙇмъ,Pp,64
ч҃къ,Nb,211
словеси,Nb,520
еже,Pr,96
рече,V-,106
емоу,Pp,64
и҃с,Ne,343
ꙇдѣаше,V-,671
абье,Df,938
же,Df,20
съходѧштю,V-,1529
емоу,Pp,64
се,I-,419
раби,Nb,511
его,Pp,64
сърѣтѫ,V-,1011
і,C-,13
г҃л҄ѭште,V-,102
ѣко,G-,115
с҃нъ,Nb,341
твои,Ps,307
живъ,A-,1507
естъ,V-,18
въпрашааше,V-,1505
же,Df,20
часа,Nb,422
отъ,R-,80
н҄ихъ,Pp,64
въ,R-,111
которꙑ,Pi,1747
соулѣе,Df,3108
емоу,Pp,64
бꙑстъ,V-,18
рѣшѧ,V-,106
же,Df,20
емоу,Pp,64
ѣко,G-,115
вьчера,Df,3109
въ,R-,111
часъ,Nb,422
седмꙑ,Mo,1745
остави,V-,669
огнь,Nb,839
разоумѣ,V-,1260
же,Df,20
о҃ць,Nb,306
ѣко,G-,115
тъ,Pd,105
бѣ,V-,18
часъ,Nb,422
въ,R-,111
н҄ьже,Pr,96
рече,V-,106
емоу,Pp,64
и҃с,Ne,343
с҃нъ,Nb,341
твои,Ps,307
живъ,A-,1507
естъ,V-,18
ꙇ,C-,13
вѣрова,V-,968
самъ,Pd,567
ꙇ,C-,13
домъ,Nb,374
его,Pp,64
вьсь,Px,54
се,I-,419
пакꙑ,Df,616
въторое,Mo,1744
чюдо,Nb,1682
сътвори,V-,73
и҃с,Ne,343
пришьдъ,V-,221
въ,R-,111
галилеѭ,Ne,1542
По,R-,77
сихъ,Pd,47
же,Df,20
бѣ,V-,18
праздьникъ,Nb,1901
ꙇюдеꙇскъ,A-,1587
ꙇ,C-,13
вьзиде,V-,1316
и҃с,Ne,343
въ,R-,111
е҃лмъ,Nb,0
естъ,V-,18
же,Df,20
въ,R-,111
е҃рмѣхъ,Nb,0
на,R-,117
овьчи,A-,890
кѫпѣли,Nb,3110
ѣже,Pr,96
нарицаетъ,V-,68
сѧ,Pk,21
евреꙇскꙑ,Df,3111
фезда,Ne,0
