сапогоу,сапогоу
ꙇштетъ,іштетъ
клан҄ѣѭштихъ,кланѣѭштіхъ
сѧ,сѧ
емоу,емоу
д҃хъ,дхъ
бо,бо
естъ,естъ
б҃ъ,бъ
ꙇже,іже
клан҄ѣетъ,кланѣетъ
сѧ,сѧ
емоу,емоу
д҃хомь,дхомь
ꙇ,і
истиноѭ,істіноѭ
достоꙇтъ,достоітъ
клан҄ѣти,кланѣті
сѧ,сѧ
г҃ла,гла
емоу,емоу
жена,жена
вѣмь,вѣмь
ѣко,ѣко
месиѣ,месіѣ
придетъ,прідетъ
рекомꙑ,рекомъі
х҃ъ,хъ
егда,егда
тъ,тъ
придетъ,прідетъ
вьзвѣститъ,вьзвѣстітъ
намъ,намъ
всѣ,всѣ
г҃ла,гла
еі,еі
и҃с,іс
азъ,азъ
есмь,есмь
г҃лѧи,глѧі
съ,съ
тобоѭ,тобоѭ
ꙇ,і
тогдажде,тогдажде
придѫ,прідѫ
оученици,оученіці
его,его
ꙇ,і
чюждаахѫ,чоуждаахѫ
сѧ,сѧ
ѣко,ѣко
съ,съ
женоѭ,женоѭ
г҃лааше,глааше
ꙇ,і
никътоже,нікътоже
не,не
рече,рече
чесо,чесо
ꙇштеши,іштеші
ꙇли,ілі
чьто,чьто
г҃леши,глеші
съ,съ
н҄еѭ,неѭ
остави,оставі
же,же
водоносъ,водоносъ
своі,своі
жена,жена
ꙇ,і
иде,іде
въ,въ
градъ,градъ
ꙇ,і
г҃ла,гла
ч҃комъ,чкомъ
придѣте,прідѣте
ꙇ,і
видите,відіте
ч҃ка,чка
ꙇже,іже
рече,рече
ми,мі
вьсѣ,вьсѣ
елико,еліко
сътворихъ,сътворіхъ
еда,еда
тъ,тъ
естъ,естъ
х҃ъ,хъ
Ꙇзидѫ,ізідѫ
же,же
ꙇз,із
града,града
ꙇ,і
грѧдѣахѫ,грѧдѣахѫ
къ,къ
н҄емоу,немоу
междю,междоу
же,же
симь,сімь
мол҄ѣахѫ,молѣахѫ
і,і
