sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
187079|мнѡжахѹ|mъnožǢaxǫ|1891|мъножити
187087|числѧхѹ|čišĺǢaxǫ|3684|числити
187229|молѧше|modĺǢaše|118|молити
187705|мѣсѧше|měšǢaše|2973|мѣсити
187707|квасѧше|kvašǢaše|3685|квасити
187712|слꙋжаше|služǢaše|512|служити
187742|варѧше|vaŕǢaše|607|варити
187748|творѧше|tvoŕǢaše|101|творити
187795|творѧше|tvoŕǢaše|101|творити
187824|ѹцвѣтѧше|ukvěћǢaše|3686|уцвѣтити
187828|множахѹ|mъnožǢaxǫ|1891|мъножити
187994|прихожахꙋ|prixoђǢaxǫ|244|приходити
188061|исхожаше|jьsxoђǢaše|603|исходити
188135|бл҃годарѧше|bolgodaŕǢaše|954|благодарити
188140|молѧше|modĺǢaše|118|молити
188191|ѿхожаше|otъxoђǢaše|697|отъходити
188277|поклонѧше|poklońǢaše|379|поклонити
188347|ѿпꙋсташе|otъpušћǢaše|408|отъпустити
188352|ѹчаше|učǢaše|257|учити
188499|нѹжахѹ|nǫђǢaxǫ|1659|нудити
188800|свѣтѧхѹ|svěћǢaxǫ|1609|свѣтити
188804|нѹжахѹ|nǫђǢaxǫ|1659|нудити
188939|творѧше|tvoŕǢaše|101|творити
189351|творѧхѹ|tvoŕǢaxǫ|101|творити
189447|ѹчаше|učǢaše|257|учити
190438|дивлѧхѹ|divĺǢaxǫ|1063|дивити
191833|помняшеть|pomьńǢaše|1202|помьнити
192486|поскочяше|poskočǢaše|2525|поскочити
192650|говоряхуть|govoŕǢaxǫ|187|говорити
192844|прихождаху|prixoђǢaxǫ|244|приходити
193928|судяше|sǫђǢaše|591|судити
193931|рядяше|ręђǢaše|1800|рядити
195669|водвѡрѧше|vъdvoŕǢaše|2509|въдворити
196122|творѧше|tvoŕǢaše|101|творити
196434|дивлѧхꙋ|divĺǢaxǫ|1063|дивити
196465|вхожаше|vъxoђǢaše|1350|въходити
196473|излаѕѧше|jьzlažǢaše|1941|излазити
196784|мѡлѧхоу|modĺǢaxǫ|118|молити
197357|дївлѧхоу|divĺǢaxǫ|1063|дивити
198699|вожаше|voђǢaše|767|водити
198832|исполнѧше|jьspĺ̥ńǢaše|505|испълнити
198848|мнѡжаше|mъnožǢaše|1891|мъножити
198873|веселѧше|veseĺǢaše|782|веселити
199257|любѧше|ĺubĺǢaše|233|любити
199503|творѧше|tvoŕǢaše|101|творити
200644|творѧше|tvoŕǢaše|101|творити
200888|люблѧше|ĺubĺǢaše|233|любити
200982|прихожаше|prixoђǢaše|244|приходити
200990|навѣщахоу|navěšћǢaxǫ|3728|навѣщати
202121|тоужаше|tǫžǢaše|1479|тужити
202306|молѧше|modĺǢaše|118|молити
204357|творѧхоу|tvoŕǢaxǫ|101|творити
