TOROT form,Autoreconstructed LCS,Autonormalised OCS
н҃бскꙑ,nebesьskъjь,небесьскъіи
питѣетъ,pitějetъ,питѣѥтъ
ѩ,ję,ѩ
не,ne,не
вꙑ,vy,въі
ли,li,ли
паче,pače,паче
ихъ,jixъ,ихъ
лоучъши,lučьši,лоучьши
есте,jeste,ѥсте
кто,kъto,къто
же,že,же
отъ,otъ,отъ
васъ,vasъ,васъ
пекꙑ,peky,пекъі
сѧ,sę,сѧ
можетъ,možetъ,можетъ
приложити,priložiti,приложити
тѣлесе,tělese,тѣлесе
своемь,svojemь,своѥмь
лакоть,olkъtь,лакъть
единъ,jedinъ,ѥдинъ
ꙇ,i,и
о,o,о
одежди,odeђi,одежди
что,čьto,чьто
сѧ,sę,сѧ
печете,pečete,печете
съмотрите,sъmotrite,съмотрите
кринъ,krinъ,кринъ
селънꙑхъ,selьnъjixъ,сельнъіихъ
како,kako,како
растѫтъ,orstǫtъ,растѫтъ
не,ne,не
троуждаѭ҄тъ,truђǞjǫtъ,троуждаѭтъ
сѧ,sę,сѧ
ни,ni,ни
прѧдѫтъ,prędǫtъ,прѧдѫтъ
г҃лѭ,golgoĺǫ,глаголѭ
же,že,же
вамъ,vamъ,вамъ
ѣко,ako,ако
ни,ni,ни
соломонъ,solomonъ,соломонъ
во,vъ,въ
вь сеи,vьxejь,вьсеи
славѣ,slavě,славѣ
своеи,svojejь,своѥи
облѣче,obvelče,облѣче
сѧ,sę,сѧ
ѣко,ako,ако
единъ,jedinъ,ѥдинъ
отъ,otъ,отъ
сихъ,sixъ,сихъ
аще,aћe,аще
же,že,же
сѣно,sěno,сѣно
селъное,selьnoje,сельноѥ
дьнесъ,dьnьsь,дьньсь
сѫштее,sǫћeje,сѫщеѥ
а,a,а
оутрѣ,utrě,оутрѣ
въ,vъ,въ
огнь,ogńь,огн҄ь
вьметомо,vъmetomo,въметомо
б҃ъ,bogъ,богъ
тако,tako,тако
ѡдѣетъ,odějetъ,одѣѥтъ
кольми,kolьmi,кольми
паче,pače,паче
васъ,vasъ,васъ
маловѣри,malověri,маловѣри
не,ne,не
пьцѣте,pьkěte,пьцѣте
сѧ,sę,сѧ
оубо,ubo,оубо
г҃лѭще,golgoĺǫћe,глаголѭще
что,čьto,чьто
ѣмъ,jǞmъ,ꙗмъ
ли,li,ли
что,čьto,чьто
пиемъ,pьjemъ,пиѥмъ
ли,li,ли
чимъ,čimь,чимь
одеждемъ,odeђemъ,одеждемъ
сѧ,sę,сѧ
вьсѣхъ,vьxěxъ,вьсѣхъ
бо,bo,бо
сихъ,sixъ,сихъ
ѩ҃зци,języki,ѩзъіци
ищѫтъ,jьščǫtъ,ищѫтъ
вѣстъ,věstъ,вѣстъ
бо,bo,бо
отецъ,otьkь,отьць
вашъ,vašь,вашь
н҃бскꙑ,nebesьskъjь,небесьскъіи
ѣко,ako,ако
трѣбоуете,terbujete,трѣбоуѥте
сихъ,sixъ,сихъ
вьсѣхъ,vьxěxъ,вьсѣхъ
ꙇштѣте,jьščěte,ищѣте
же,že,же
паче,pače,паче
ц҃срствиѣ,kěsaŕьstvьjǞ,цѣсар҄ьствиꙗ
б҃жиѣ,božьjǞ,божиꙗ
ꙇ҅,i,и
правъдꙑ,pravьdy,правьдъі
его,jego,ѥго
ꙇ҅,i,и
си,si,си
вьсѣ,vьxa,вьсꙗ
приложѧтъ,priložętъ,приложѧтъ
сѧ,sę,сѧ
вамъ,vamъ,вамъ
не,ne,не
пьцѣте,pьkěte,пьцѣте
сѧ,sę,сѧ
оубо,ubo,оубо
на,na,на
оутрѣи,utrějь,оутрѣи
оутрни,utrьńьjь,оутрьн҄ии
бо,bo,бо
день,dьnь,дьнь
собоѭ,sobojǫ,собоѭ
печетъ,pečetъ,печетъ
сѧ,sę,сѧ
довьлетъ,dovьĺetъ,довьл҄етъ
дьни,dьni,дьни
зълоба,zъloba,зълоба
своѣ,svojǞ,своꙗ
Не,ne,не
осѫждаите,osǫdite,осѫдите
да,da,да
не,ne,не
осѫждени,osǫђeni,осѫждени
бѫдете,bǫdete,бѫдете
ꙇмъже,jimьže,имьже
бо,bo,бо
сѫдомъ,sǫdomь,сѫдомь
сѫдите,sǫdite,сѫдите
сѫдѧтъ,sǫdętъ,сѫдѧтъ
вамъ,vamъ,вамъ
ꙇ,i,и
въ,vъ,въ
нѭже,ńǫže,нѭже
мѣрѫ,měrǫ,мѣрѫ
мѣрите,měrite,мѣрите
вьзмѣритъ,vъzměritъ,възмѣритъ
сѧ,sę,сѧ
вамъ,vamъ,вамъ
Что,čьto,чьто
же,že,же
видиши,vidiši,видиши
сѫчецъ,sǫčьkь,сѫчьць
въ,vъ,въ
оцѣ,okě,оцѣ
братра,bratra,братра
твоего,tvojego,твоѥго
а,a,а
бръвъна,brьvьna,брьвьна
еже,ježe,ѥже
естъ,jestъ,ѥстъ
въ,vъ,въ
оцѣ,okě,оцѣ
твоемь,tvojemь,твоѥмь
не,ne,не
чюеши,čuješi,чоуѥши
ли,li,ли
како,kako,како
речеши,rečeši,речеши
братроу,bratru,братроу
твоемоу,tvojemu,твоѥмоу
остави,ostavĺǫ,оставлѭ
и,i,и
изъмѫ,jьzьmǫ,изьмѫ
сѫчецъ,sǫčьkь,сѫчьць
из,jьz,из
очесе,očese,очесе
твоего,tvojego,твоѥго
ꙇ,i,и
се,se,се
бръвъно,brьvьno,брьвьно
въ,vъ,въ
оцѣ,okě,оцѣ
твоемь,tvojemь,твоѥмь
лицемѣре,likeměre,лицемѣре
ꙇ҅зьми,jьzьmi,изьми
пръвѣе,pŕ̥věje,прьвѣѥ
бръвъно,brьvьno,брьвьно
из,jьz,из
очесе,očese,очесе
твоего,tvojego,твоѥго
ꙇ҅,i,и
тогда,tъgъda,тъгъда
оузьриши,uzьriši,оузьриши
изѧти,jьzęti,изѧти
сѫчецъ,sǫčьkь,сѫчьць
из,jьz,из
очесе,očese,очесе
братра,bratra,братра
твоего,tvojego,твоѥго
Не,ne,не
дадите,dadite,дадите
с҃таго,svętajego,свѧтаѥго
псомъ,pьsomъ,пьсомъ
ни,ni,ни
помѣтаите,pomeћite,помещите
бисьръ,bisьrъ,бисьръ
вашихъ,vašixъ,вашихъ
прѣдъ,perdъ,прѣдъ
свиньѣми,svinьjǞmi,свиниꙗми
да,da,да
не,ne,не
поперѫтъ,poperǫtъ,поперѫтъ
ихъ,jixъ,ихъ
ногами,nogami,ногами
своими,svojimi,своими
ꙇ҅,i,и
вращьше,vorћьše,вращьше
сѧ,sę,сѧ
растръгнѫтъ,orstr̥gnǫtъ,растръгнѫтъ
вꙑ,vy,въі
Просите,prosite,просите
и,i,и
дастъ,dastъ,дастъ
сѧ,sę,сѧ
вамъ,vamъ,вамъ
ꙇ҅щѣте,jьščěte,ищѣте
и,i,и
обрѧщете,obręћete,обрѧщете
тлъцѣте,tĺ̥kěte,тльцѣте
и,i,и
отвръзетъ,otvŕ̥zetъ,отврьзетъ
сѧ,sę,сѧ
вамъ,vamъ,вамъ
вьсѣкъ,vьxakъ,вьсꙗкъ
бо,bo,бо
просѧи,prosęjь,просѧи
приемлетъ,prijemĺetъ,приѥмл҄етъ
ꙇ,i,и
ищѧи,jьščęjь,ищѧи
обрѣтаатъ,obrětajetъ,обрѣтаѥтъ
ꙇ,i,и
тлъкѫщюмоу,tĺ̥kǫћujemu,тлькѫщоуѥмоу
отвръзаатъ,otvŕ̥zajetъ,отврьзаѥтъ
сѧ,sę,сѧ
ли,li,ли
кто,kъto,къто
естъ,jestъ,ѥстъ
отъ,otъ,отъ
васъ,vasъ,васъ
ч҃лвкъ,čьlověkъ,чьловѣкъ
егоже,jegože,ѥгоже
аще,aћe,аще
проситъ,prositъ,проситъ
с҃нъ,synъ,съінъ
свои,svojь,свои
хлѣба,xlěba,хлѣба
еда,jeda,ѥда
камень,kamenь,камень
подастъ,podastъ,подастъ
емоу,jemu,ѥмоу
ли,li,ли
аще,aћe,аще
рꙑбꙑ,ryby,ръібъі
проситъ,prositъ,проситъ
еда,jeda,ѥда
змьѭ҅,zmьjǫ,змиѭ
подастъ,podastъ,подастъ
емоу,jemu,ѥмоу
аще,aћe,аще
оубо,ubo,оубо
вꙑ,vy,въі
лѫкавьни,lǫkavьni,лѫкавьни
сѫште,sǫћe,сѫще
оумѣете,umějete,оумѣѥте
дааниѣ,dajǞnьjǞ,даꙗниꙗ
блага,bolga,блага
даѣти,dajǞti,даꙗти
чѧдомъ,čędomъ,чѧдомъ
вашимъ,vašimъ,вашимъ
кольми,kolьmi,кольми
паче,pače,паче
о҃тцъ,otьkь,отьць
вашъ,vašь,вашь
иже,jьže,иже
естъ,jestъ,ѥстъ
на,na,на
небесехъ,nebesьxъ,небесьхъ
дастъ,dastъ,дастъ
благаа҄,bolgajǞ,благаꙗ
просѧщиимъ,prosęћemъjimъ,просѧщиимъ
его,jego,ѥго
Вьсѣ,vьxa,вьсꙗ
оубо,ubo,оубо
елико,jeliko,ѥлико
аще,aћe,аще
хощете,xoћete,хощете
да,da,да
творѧтъ,tvorętъ,творѧтъ
вамъ,vamъ,вамъ
ч҃лвци,čьlověki,чьловѣци
тако,tako,тако
и,i,и
вꙑ,vy,въі
творите,tvorite,творите
имъ,jimъ,имъ
се,se,се
бо,bo,бо
естъ,jestъ,ѥстъ
законъ,zakonъ,законъ
и,i,и
пророци,proroki,пророци
вьнидѣте,vъniděte,вънидѣте
ѫзъкꙑми,ǫzъkyjimi,ѫзъкъіими
вратꙑ,vorty,вратъі
ѣко,ako,ако
пространа,prostorna,пространа
врата,vorta,врата
и,i,и
широкъ,širokъ,широкъ
пѫть,pǫtь,пѫть
въводѧи,vъvodęjь,въводѧи
въ,vъ,въ
пагоубѫ,pagubǫ,пагоубѫ
ꙇ,i,и
мъноѕи,mъnogi,мъноѕи
сѫтъ,sǫtъ,сѫтъ
въходѧщи,vъxodęћi,въходѧщи
имъ,jimь,имь
коль,kolь,коль
ѫзъка,ǫzъka,ѫзъка
врата,vorta,врата
и,i,и
тѣснъ,těsnъ,тѣснъ
пѫть,pǫtь,пѫть
въводѧи,vъvodęjь,въводѧи
въ,vъ,въ
животъ,životъ,животъ
ꙇ,i,и
мало,malo,мало
ихъ,jixъ,ихъ
естъ,jestъ,ѥстъ
иже,jiže,иже
и,jь,и
обрѣтаѭтъ,obrětajǫtъ,обрѣтаѭтъ
Вънемлѣте,vъnemĺěte,вънемл҄ѣте
отъ,otъ,отъ
лъжихъ,lъžьjixъ,лъжиихъ
пророкъ,prorokъ,пророкъ
ꙇже,jiže,иже
приходѧтъ,prixodętъ,приходѧтъ
къ,kъ,къ
вамъ,vamъ,вамъ
въ,vъ,въ
одеждахъ,odeђǞxъ,одеждахъ
овьчахъ,ovьčǞxъ,овьчахъ
вьнѫтрь,vъnǫtrь,вънѫтрь
же,že,же
сѫтъ,sǫtъ,сѫтъ
влъци,vĺ̥ki,вльци
хꙑштьници,xyћьniki,хъіщьници
отъ,otъ,отъ
плодъ,plodъ,плодъ
ихъ,jixъ,ихъ
познаите,poznajite,познаите
ѩ,ję,ѩ
еда,jeda,ѥда
обемлѭтъ,obemĺǫtъ,обемлѭтъ
отъ,otъ,отъ
тръниѣ,tŕ̥nьjь,трьнии
грознꙑ,grozny,грознъі
ли,li,ли
отъ,otъ,отъ
рѣпиѣ,rěpьjь,рѣпии
смокъви,smokъvi,смокъви
тако,tako,тако
вьсѣко,vьxako,вьсꙗко
дрѣво,dervo,дрѣво
добро,dobro,добро
плодꙑ,plody,плодъі
добрꙑ,dobry,добръі
творитъ,tvoritъ,творитъ
а,a,а
зъло,zъlo,зъло
дрѣво,dervo,дрѣво
плодꙑ,plody,плодъі
зълꙑ,zъly,зълъі
творитъ,tvoritъ,творитъ
не,ne,не
можетъ,možetъ,можетъ
дрѣво,dervo,дрѣво
добро,dobro,добро
плодъ,plodъ,плодъ
золъ,zъlъ,зълъ
творити,tvoriti,творити
ни,ni,ни
дрѣво,dervo,дрѣво
зъло,zъlo,зъло
плодъ,plodъ,плодъ
добръ,dobrъ,добръ
творити,tvoriti,творити
вьсѣко,vьxako,вьсꙗко
дрѣво,dervo,дрѣво
еже,ježe,ѥже
не,ne,не
творитъ,tvoritъ,творитъ
плода,ploda,плода
добра,dobra,добра
посѣкаѭтъ,posěkajǫtъ,посѣкаѭтъ
и,i,и
въ,vъ,въ
огнь,ogńь,огн҄ь
вьмѣтаѭтъ,vъmětajǫtъ,въмѣтаѭтъ
тѣмь,těmь,тѣмь
же,že,же
оубо,ubo,оубо
отъ,otъ,отъ
плодъ,plodъ,плодъ
ихъ,jixъ,ихъ
познаете,poznajete,познаѥте
ѩ,ję,ѩ
Не,ne,не
вьсѣкъ,vьxakъ,вьсꙗкъ
г҃лѧи,golgoĺęjь,глаголѩи
мьнѣ,mъně,мънѣ
г҃и,gospodi,господи
г҃и,gospodi,господи
вьнидетъ,vъnidetъ,вънидетъ
въ,vъ,въ
ц҃срствие,kěsaŕьstvьje,цѣсар҄ьствиѥ
н҃ебское,nebesьskoje,небесьскоѥ
нъ,nъ,нъ
творѧи,tvoręjь,творѧи
волѭ,voĺǫ,волѭ
о҃тца,otьka,отьца
моего,mojego,моѥго
иже,jьže,иже
естъ,jestъ,ѥстъ
на,na,на
небесьхъ,nebesьxъ,небесьхъ
мъноѕи,mъnogi,мъноѕи
бо,bo,бо
рекѫтъ,rekǫtъ,рекѫтъ
мьнѣ,mъně,мънѣ
вь,vъ,въ
тъ,tъ,тъ
день,dьnь,дьнь
г҃и,gospodi,господи
г҃и,gospodi,господи
не,ne,не
въ,vъ,въ
твое,tvoje,твоѥ
ли,li,ли
имѧ,jьmę,имѧ
п҃рчствовахомъ,proročьstvovaxomъ,пророчьствовахомъ
и,i,и
твоимь,tvojimь,твоимь
именемь,jьmenьmь,именьмь
бѣсꙑ,běsy,бѣсъі
изгонихомъ,jьzgonixomъ,изгонихомъ
и,i,и
твоимь,tvojimь,твоимь
именемь,jьmenьmь,именьмь
силꙑ,sily,силъі
мъногꙑ,mъnogy,мъногъі
сътворихомъ,sъtvorixomъ,сътворихомъ
и,i,и
тогда,tъgъda,тъгъда
исповѣмь,jьspověmь,исповѣмь
имъ,jimъ,имъ
ѣко,ako,ако
николиже,nikoliže,николиже
знахъ,znaaxъ,знаахъ
васъ,vasъ,васъ
отидѣте,otiděte,отидѣте
отъ,otъ,отъ
мене,mene,мене
дѣлаѭ҄щеи,dělajǫћeji,дѣлаѭщеи
безаконие,bezakonьje,безакониѥ
Вьсѣкъ,vьxakъ,вьсꙗкъ
оубо,ubo,оубо
иже,jьže,иже
слꙑшитъ,slyšitъ,слъішитъ
словеса,slovesa,словеса
моѣ,mojǞ,моꙗ
си,si,си
и,i,и
творитъ,tvoritъ,творитъ
ѣ,jǞ,ꙗ
оуподоблѭ,upodobĺǫ,оуподоблѭ
и,jь,и
мѫжѭ,mǫžu,мѫжоу
мѫдроу,mǫdru,мѫдроу
иже,jьže,иже
созъда,sъzьda,съзьда
храминѫ,xorminǫ,храминѫ
своѭ҄,svojǫ,своѭ
на,na,на
камене,kam,кам
ꙇ҅,i,и
съниде,sъnide,съниде
дождъ,dъžђь,дъждь
и,i,и
придѫ,prijьdǫ,приидѫ
рѣкꙑ,rěky,рѣкъі
и,i,и
вьзвѣашѧ,vъzvějǞšę,възвѣꙗшѧ
вѣтри,větri,вѣтри
ꙇ҅,i,и
нападѫ,napadǫ,нападѫ
на,na,на
храминѫ,xorminǫ,храминѫ
тѫ,tǫ,тѫ
и,i,и
не,ne,не
паде,pade,паде
сѧ,sę,сѧ
основана,osnovana,основана
бо,bo,бо
бѣ,bě,бѣ
на,na,на
камене,kam,кам
и,i,и
вьсѣкъ,vьxakъ,вьсꙗкъ
слꙑшѧи,slyšęjь,слъішѧи
словеса,slovesa,словеса
моѣ,mojǞ,моꙗ
си,si,си
и,i,и
не,ne,не
творѧи,tvoręjь,творѧи
ихъ,jixъ,ихъ
оуподобитъ,upodobitъ,оуподобитъ
сѧ,sę,сѧ
мѫжѫ,mǫžu,мѫжоу
боуѭ҄,buju,боую
ꙇже,jьže,иже
созъда,sъzьda,съзьда
своѭ,svojǫ,своѭ
храминѫ,xorminǫ,храминѫ
на,na,на
пѣсъцѣ,pěsъkě,пѣсъцѣ
ꙇ,i,и
съниде,sъnide,съниде
дождъ,dъžђь,дъждь
и,i,и
придѫ,prijьdǫ,приидѫ
рѣкꙑ,rěky,рѣкъі
и,i,и
вьзвѣашѧ,vъzvějǞšę,възвѣꙗшѧ
вѣтри,větri,вѣтри
и,i,и
опьрѣшѧ,operšę,опрѣшѧ
сѧ,sę,сѧ
храминѣ,xormině,храминѣ
тои,tojь,тои
ꙇ,i,и
паде,pade,паде
сѧ,sę,сѧ
ꙇ,i,и
бѣ,bě,бѣ
разроушение,orzrušenьje,раздроушениѥ
еѩ,jeję,ѥѩ
велие,velьje,велиѥ
ѕѣло,gělo,ѕѣло
ꙇ҅,i,и
бꙑⷭ҇,bystъ,бъістъ
егда,jegъda,ѥгъда
съконьча,sъkonьčǞ,съконьча
и҃съ,jisusъ,исоусъ
вьсѣ,vьxa,вьсꙗ
словеса,slovesa,словеса
си,si,си
дивлѣхѫ,divĺǞaxǫ,дивлꙗахѫ
сѧ,sę,сѧ
народи,narodi,народи
о,o,о
оучении,učenьji,оучении
его,jego,ѥго
бѣ,bě,бѣ
бо,bo,бо
оучѧ,učę,оучѧ
ѣко,ako,ако
власть,volstь,власть
ймꙑ,jьmy,имъі
ꙇ,i,и
не,ne,не
ѣко,ako,ако
кънижъници,kъńižьniki,кън҄ижьници
ихъ,jixъ,ихъ
и,i,и
фарисѣи,fariseji,фарисеи
Съшедъшоу,sъšьdъšu,съшьдъшоу
же,že,же
емоу,jemu,ѥмоу
съ,﻿sъ,﻿съ
горꙑ,gory,горъі
вь,vъ,въ
слѣдъ,slědъ,слѣдъ
его,jego,ѥго
идѫ,jьdǫ,идѫ
народи,narodi,народи
мъноѕи,mъnogi,мъноѕи
ꙇ,i,и
се,se,се
прокаженъ,prokaženъ,прокаженъ
пристѫпь,pristǫpĺь,пристѫпл҄ь
кланѣше,klańǞaše,кланꙗаше
сѧ,sę,сѧ
емоу,jemu,ѥмоу
г҃лѧ,golgoĺę,глаголѩ
г҃и,gospodi,господи
аште,aћe,аще
хощеши,xoћeši,хощеши
можеши,možeši,можеши
мѧ,mę,мѧ
ищистити,jьščistiti,ищистити
и,i,и
простеръ,prostьrъ,простьръ
рѫкѫ,rǫkǫ,рѫкѫ
и҃съ,jisusъ,исоусъ
коснѫ,kosnǫ,коснѫ
и,jь,и
г҃лѧ,golgoĺę,глаголѩ
хощѫ,xoћǫ,хощѫ
ищисти,jьščisti,ищисти
сѧ,sę,сѧ
и,i,и
абие,abьje,абиѥ
ищисти,jьščisti,ищисти
сѧ,sę,сѧ
отъ,otъ,отъ
проказꙑ,prokazy,проказъі
ꙇ҅,i,и
рече,reče,рече
емоу,jemu,ѥмоу
и҃҅съ,jisusъ,исоусъ
виждь,viђь,виждь
никомоуже,nikomuže,никомоуже
не,ne,не
повѣждь,pověђь,повѣждь
нъ,nъ,нъ
шедъ,šьdъ,шьдъ
покажи,pokaži,покажи
сѧ,sę,сѧ
архиереови,arъx́ijerejovi,аръхиѥреови
и,i,и
неси,nesi,неси
даръ,darъ,даръ
иже,jьže,иже
повелѣ,povelě,повелѣ
моси,mosijь,мосии
въ,vъ,въ
съвѣдѣние,sъvěděnьje,съвѣдѣниѥ
имъ,jimъ,имъ
Въшедъшоу,vъšьdъšu,въшьдъшоу
же,že,же
емоу,jemu,ѥмоу
и҃сви,jisusovi,исоусови
въ,vъ,въ
каперънаоумъ,kaperъnaumъ,каперънаоумъ
пристѫпи,pristǫpi,пристѫпи
къ,kъ,къ
немѫ,ńemu,н҄емоу
сотьникъ,sъtьnikъ,сътьникъ
молѧ,modlę,молѧ
и҅,jь,и
г҃лѧ,golgoĺę,глаголѩ
г҃и,gospodi,господи
отрокъ,otrokъ,отрокъ
мои,mojь,мои
лежитъ,ležitъ,лежитъ
въ,vъ,въ
домоу,domu,домоу
ослабленъ,oslabĺenъ,ослабл҄енъ
лютѣ,ĺutě,лютѣ
ѣко,ako,ако
страждѧ,straђę,страждѧ
ꙇ,i,и
г҃ла,golgola,глагола
емоу,jemu,ѥмоу
и҃съ,jisusъ,исоусъ
азъ,azъ,азъ
пришедъ,prišьdъ,пришьдъ
исцѣлѭ,jьskěĺǫ,исцѣлѭ
и,jь,и
ꙇ,i,и
отъвѣщавъ,otъvěћǞvъ,отъвѣщавъ
сотьникъ,sъtьnikъ,сътьникъ
рече,reče,рече
емоу,jemu,ѥмоу
г҃и,gospodi,господи
нѣсмъ,něsmь,нѣсмь
достоинъ,dostojьnъ,достоинъ
да,da,да
въ,vъ,въ
домъ,domъ,домъ
мои,mojь,мои
вьнидеши,vъnideši,вънидеши
нъ,nъ,нъ
ткъмо,tъkъmo,тъкъмо
ръци,rьki,рьци
слово,slovo,слово
ꙇ,i,и
исцѣлѣетъ,jьskělějetъ,исцѣлѣѥтъ
отрокъ,otrokъ,отрокъ
мои,mojь,мои
ꙇбо,ibo,ибо
азъ,azъ,азъ
ч҃лвкъ,čьlověkъ,чьловѣкъ
есмь,jesmь,ѥсмь
подъ,podъ,подъ
в҃лкоѭ,voldykojǫ,владъікоѭ
ꙇмꙑ,jьmy,имъі
подъ,podъ,подъ
собоѭ,sobojǫ,собоѭ
воинꙑ,vojьny,воинъі
ꙇ,i,и
г҃лѭ,golgoĺǫ,глаголѭ
семоу,semu,семоу
иди,jьdi,иди
