TOROT form,Autoreconstructed LCS,Autonormalised OCS
нашимъ,našimъ,нашимъ
ꙇ,i,и
не,ne,не
вьведи,vъvedi,въведи
насъ,nasъ,насъ
въ,vъ,въ
напасть,napastь,напасть
нь,nъ,нъ
избави,jьzbavi,избави
нꙑ,ny,нъі
отъ,otъ,отъ
неприѣзни,neprijǞzni,неприꙗзни
ѣко,ako,ако
твое,tvoje,твоѥ
естъ,jestъ,ѥстъ
ц҃срствие,kěsaŕьstvьje,цѣсар҄ьствиѥ
ꙇ,i,и
сила,sila,сила
и,i,и
слава,slava,слава
вь,vъ,въ
вѣкꙑ,věky,вѣкъі
аминь,aminь,аминь
Аще,aћe,аще
оубо,ubo,оубо
отъпоущаете,otъpušћǞjǫtъ,отъпоущаѭтъ
ч҃лвкмъ,čьlověkomъ,чьловѣкомъ
съгрѣшениѣ,sъgrěšenьjǞ,съгрѣшениꙗ
ихъ,jixъ,ихъ
отъпоуститъ,otъpustitъ,отъпоуститъ
и,i,и
вамъ,vamъ,вамъ
о҃тцъ,otьkь,отьць
вашъ,vašь,вашь
н҃ебескꙑ,nebesьskъjь,небесьскъіи
аште,aћe,аще
ли,li,ли
не,ne,не
отъпоущаете,otъpušћǞjǫtъ,отъпоущаѭтъ
ч҃лвкомъ,čьlověkomъ,чьловѣкомъ
съгрѣшени,sъgrěšenьjь,съгрѣшении
ихъ,jixъ,ихъ
ни,ni,ни
о҃тцъ,otьkь,отьць
вашъ,vašь,вашь
отъпоуститъ,otъpustitъ,отъпоуститъ
съгрѣшении,sъgrěšenьjь,съгрѣшении
вашихъ,vašixъ,вашихъ
егда,jegъda,ѥгъда
же,že,же
постите,postite,постите
сѧ,sę,сѧ
не,ne,не
бѫдѣте,bǫděte,бѫдѣте
ѣко,ako,ако
и,i,и
ѵ҅покрити,üpokriti,ѵпокрити
просмраждаѭтъ,prosmorђǞjǫtъ,просмраждаѭтъ
бо,bo,бо
лица,lika,лица
своѣ,svojǞ,своꙗ
да,da,да
бѫ,bǫ,бѫ
сѧ,sę,сѧ
авили,avili,авили
ч҃лвкомъ,čьlověkomъ,чьловѣкомъ
постѧще,postęћe,постѧще
аминъ,aminь,аминь
