sǫtъ,сѫтъ,сѫтъ,,,
čudesa,чоудеса,чоудеса,,,
sъměŕenajego,съмѣр҄енаѥго,сьмѣренаго,,,
i,и,и,,,
,,прѣпростааго,,,
pavьla,павьла,паула,,,
i,и,и,,,
jьna,ина,ина,,,
vęћьšǞ,вѧщьша,вꙙштьша,,,
i,и,и,,,
boĺьšǞ,бол҄ьша,бол҄ьша,,,
sixъ,сихъ,сихъ,,,
sьjь,сии,сии,,,
nareče,нарече,нарече,,,
sę,сѧ,сꙙ,,,
,,прѣпростꙑи,,,
vьxejǫ,вьсеѭ,вьсеѭ,,,
bratrьjejǫ,братриѥѭ,братиѭ,,,
jegože,ѥгоже,ѥгоже,,,
modlitvami,модлитвами,молитвами,,,
pričęstьniki,причѧстьници,причꙙстьници,,,
bǫděmъ,бѫдѣмъ,бѫдѣмъ,,,
kěsaŕьstva,цѣсар҄ьства,цѣсарьства,,,
nebesьskajego,небесьскаѥго,небесъскааго,,,
nyně,нъінѣ,нꙑн҄ѣ,,,
i,и,и,,,
prisno,присно,присно,,,
i,и,и,,,
vъ,въ,вь,,,
věky,вѣкъі,вѣкꙑ,,,
věkomъ,вѣкомъ,вѣкомъ,,,
aminь,аминь,аміⷩ,,,
,,мыи͑хъ,,,
bo,бо,бо,,,
otъ,отъ,о͑тъ,,,
boga,бога,бога,,,
jesvě,ѥсвѣ,ѥ͑свѣ,,,
tvojejь,твоѥи,твоѥи,,,
bo,бо,бо,,,
duši,доуши,доуши,,,
,,погыбѣль͗,,,
,,прѣо͑долѣ,,,
,,дожи,,,
i,и,и͗,,,
do,до,до,,,
sъmŕ̥ti,съмрьти,съмрь͗ти,,,
ne,не,не,,,
dobrě,добрѣ,добрѣ,,,
,,мѫдровати,,,
na,на,на,,,
,,цѣломѫдрованиѥ,,,
kъ,къ,къ,,,
bogu,богоу,богоу,,,
mъnogo,мъного,много,,,
bo,бо,бо,,,
,,бѣсованиѥ͑,,,
ježe,ѥже,ѥ͑же,,,
otъ,отъ,отъ,,,
tebe,тебе,тебе,,,
,,томьѥниѥ,,,
vъvŕ̥že,въврьже,въвръже,,,
tę,тѧ,тⱕ,,,
vъ,въ,въ,,,
xulǫ,хоулѫ,хоулѫ,,,
anǵela,анꙉела,а͑гʼг҄ела,,,
bo,бо,бо,,,
jegože,ѥгоже,ѥ͑гоже,,,
posъla,посъла,посъла,,,
gospodь,господь,г͆ь,,,
jisusъ,исоусъ,ї͆с,,,
xristosъ,христосъ,х͆с,,,
i,и,и͑,,,
bogъ,богъ,б͆ъ,,,
,,загради,,,
usta,оуста,о҄уста,,,
,,плѣжѫштиїхъ,,,
jegože,ѥгоже,ѥ͑гоже,,,
ty,тъі,ты,,,
svojimь,своимь,свои͑мъ,,,
