povědaaše|повѣдааше
vьxę|вьсѧ
gordy|градъі
vьxeję|вьсеѩ
vъsedĺenyjeję|въседл҄енъіѥѩ
otъvěћǞvъši|отъвѣщавъши
že|же
|
reče|рече
ne|не
otъvŕ̥gǫ|отъврьгѫ
sę|сѧ
|
|
i|и
|
ne|не
perlьstiši|прѣльстиши
orby|рабъі
boga|бога
vyšьńǞjego|въішьнꙗѥго
ne|не
|
mi|ми
sъmŕ̥ti|съмрьти
věčьnyjeję|вѣчьнъіѥѩ
lišiti|лишити
mę|мѧ
xotę|хотѧ
slavy|славъі
xristosovy|христосовъі
i|и
kěsaŕьstva|цѣсар҄ьства
nebesьnajego|небесьнаѥго
jegože|ѥгоже
ty|тъі
ћuђь|щоуждь
jesi|ѥси
|
|
jǫ|ѭ
povelě|повелѣ
prijьti|приити
pavьlu|павьлоу
i|и
reče|рече
jemu|ѥмоу
pavьle|павьле
|
sestra|сестра
tvojǞ|твоꙗ
obvěћǞ|обѣща
sę|сѧ
požŕ̥ti|пожрьти
bogomъ|богомъ
i|и
byti|бъіти
jejь|ѥи
ženě|женѣ
mi|ми
i|и
|
kěsaŕьstvu|цѣсар҄ьствоу
mojemu|моѥмоу
vъsxoћi|въсхощи
ubo|оубо
i|и
ty|тъі
toђe|тожде
|
i|и
pristǫpivъ|пристѫпивъ
požьri|пожьри
bogomь|богомь
pavьlъ|павьлъ
reče|рече
|
|
ničesože|ничесоже
ћuђǞ|щоужда
sъtvori|сътвори
|
otьka|отьца
tvojego|твоѥго
dьjǞvola|диꙗвола
ne|не
možeši|можеши
bo|бо
nikogože|никогоже
|
|
lъžejǫ|лъжеѭ
nasъ|насъ
že|же
ne|не
jьmaši|имаши
vъsxytiti|въсхъітити
aћe|аще
i|и
kěsaŕьstvo|цѣсар҄ьство
namъ|намъ
|
jegože|ѥгоже
ty|тъі
lixъ|лихъ
jesi|ѥси
|
reče|рече
dokolě|доколѣ
dosaђǞješi|досаждаѥши
ne|не
sormĺǞję|срамлꙗѩ
sę|сѧ
|
i|и
|
tako|тако
mi|ми
bogy|богъі
azъ|азъ
va|ва
jьmamь|имамь
mǫčiti|мѫчити
da|да
nikъtože|никътоже
vъzmožetъ|възможетъ
pomoћi|помощи
vama|вама
i|и
povelě|повелѣ
prinesti|принести
ogńь|огн҄ь
i|и
|
želězny|желѣзнъі
i|и
vъložiti|въложити
ję|ѩ
vъ|въ
ogńь|огн҄ь
i|и
pavьlu|павьлоу
sъvęzati|съвѧзати
rǫkě|рѫцѣ
i|и
nogě|ноѕѣ
i|и
|
želěznъ|желѣзнъ
|
meђu|междоу
rǫkama|рѫкама
i|и
nogama|ногама
i|и
|
vъ|въ
zemĺǫ|землѭ
i|и
dъvěma|дъвѣма
|
|
|
biti|бити
jь|и
i|и
|
povelě|повелѣ
postaviti|поставити
na|на
|
rekъše|рекъше
na|на
|
i|и
mъnogi|мъноѕи
otъ|отъ
stojęћǞjego|стоѩщаѥго
tu|тоу
naroda|народа
běaxǫ|бѣахѫ
tekǫћe|текѫще
i|и
|
kupьno|коупьно
kъto|къто
|
vъnidetъ|вънидетъ
kъ|къ
ńejь|н҄еи
běaxǫ|бѣахѫ
bo|бо
ako|ако
|
|
o|о
|
jeję|ѥѩ
stavъši|ставъши
že|же
jejь|ѥи
na|на
městě|мѣстѣ
na|на
ńemьže|н҄емьже
povelě|повелѣ
|
i|и
abьje|абиѥ
anǵelъ|анꙉелъ
gospodьńь|господьн҄ь
perdъsta|прѣдъста
perdъ|прѣдъ
ńejǫ|н҄еѭ
golgoĺę|глаголѩ
ne|не
uboji|оубои
sę|сѧ
|
gospodь|господь
bo|бо
jisusъ|исоусъ
xristosъ|христосъ
jemuže|ѥмоуже
ty|тъі
služiši|слоужиши
posъla|посъла
mę|мѧ
pokryti|покръіти
tę|тѧ
i|и
pokazati|показати
svętoje|свѧтоѥ
jьmę|имѧ
jego|ѥго
vьxěmъ|вьсѣмъ
bojęћemъjimъ|боѩщиимъ
sę|сѧ
jego|ѥго
i|и
ako|ако
otъ|отъ
|
kъ|къ
|
tečǞaxǫ|течаахѫ
narodi|народи
vьxi|вьси
anǵelъ|анꙉелъ
že|же
otъtręsъ|отътрѧсъ
porxъ|прахъ
ako|ако
otъ|отъ
nogъ|ногъ
|
oslěpi|ослѣпи
ję|ѩ
i|и
ne|не
věděaxǫ|вѣдѣахѫ
kamo|камо
jьdǫtъ|идѫтъ
i|и
ne|не
možǞaxǫ|можаахѫ
približiti|приближити
sę|сѧ
jejь|ѥи
i|и
vъpьjǞaxǫ|въпиꙗахѫ
vьxi|вьси
narodi|народи
kupьno|коупьно
golgoĺǫћe|глаголѭще
velikъ|великъ
bogъ|богъ
|
i|и
|
jьže|иже
vьxьde|вьсьде
sъpasъ|съпасъ
i|и
|
bojęћьjixъ|боѩщиихъ
sę|сѧ
jego|ѥго
i|и
perbyvaaxǫ|прѣбъіваахѫ
ješčě|ѥщѣ
slěpi|слѣпи
prišьdъše|пришьдъше
že|же
