382,гласъ,Nb,гласъ
383,евангелистъ,Nb,евангелістъ
384,въселѥнаꙗ,Nb,въселенаѣ
385,истина,Nb,істіна
386,проповѣдати,V-,проповѣдаті
387,сьде,Df,сьде
388,жити,V-,жіті
389,съмѣрѥнъ,A-,съмѣренъ
390,грѣшьнъ,A-,грѣшьнъ
391,приносити,V-,пріносіті
392,прославити,V-,прославіті
393,пакость,Nb,пакость
394,врѣждениѥ,Nb,врѣжденіе
395,житиѥ,Nb,жітіе
396,авлꙗти,V-,авлѣті
397,даръ,Nb,даръ
398,земьнъ,A-,земьнъ
399,небесьнъ,A-,небесьнъ
400,надъ,R-,надъ
401,стадо,Nb,стадо
402,владꙑка,Nb,владъіка
403,вьседрьжитель,Nb,вьседрьжітель
404,агньць,Nb,агньць
405,възимати,V-,възіматі
406,грѣхъ,Nb,грѣхъ
407,прѣзьрѣти,V-,прѣзьрѣті
408,доуша,Nb,доуша
409,молити,V-,моліті
410,прибѣгати,V-,прібѣгаті
411,вѣчьнъ,A-,вѣчьнъ
412,иꙗковъ,Ne,іѣковъ
413,оумъножити,V-,оумъножіті
414,рѫка,Nb,рѫка
415,исаавовъ,A-,ісаавовъ
416,лаваановъ,A-,лаваановъ
417,тꙑсѧщи,Nb,тъісѧшті
418,тъма,Nb,тъма
419,се,I-,се
420,насилиѥ,Nb,насіліе
421,иноплеменьникъ,Nb,іноплеменьнікъ
422,часъ,Nb,часъ
423,съмрьтьнъ,A-,съмрьтьнъ
424,съблюсти,V-,съблюсті
425,сътѧжати,V-,сътѧжаті
426,незавидьливъ,A-,незавідьлівъ
427,око,Nb,око
428,наслаждати,V-,наслаждаті
429,хвала,Nb,хвала
430,ѥдьночѧдъ,A-,едьночѧдъ
431,лещи,V-,лешті
432,ложе,Nb,ложе
433,отити,V-,отіті
434,сотона,Nb,сотона
435,двьрь,Nb,двьрь
436,ѫгълъ,Nb,ѫгълъ
437,причѧстьнъ,A-,прічѧстьнъ
438,петръ,Ne,петръ
439,павьлъ,Ne,павьлъ
440,азъ,Pp,азъ
441,покланꙗти,V-,покланѣті
442,имѧ,Nb,імѧ
443,доухъ,Nb,доухъ
444,въложити,V-,въложіті
445,оумъ,Nb,оумъ
446,срьдьце,Nb,срьдьце
447,мои,Ps,моі
448,хранити,V-,храніті
449,тѣло,Nb,тѣло
450,съставъ,Nb,съставъ
451,зълодѣи,Nb,зълодѣі
452,сѣть,Nb,сѣть
453,съблазнъ,Nb,съблазнъ
454,грѣховьнъ,A-,грѣховьнъ
455,въсꙑлати,V-,въсъілаті
456,вълѣсти,V-,вълѣсті
457,пасти#1,V-,пасті#1
458,ниць,A-,ніць
459,иѥреи,Nb,іереі
460,вьсемогꙑ,A-,вьсемогъі
461,исповѣдьнъ,A-,ісповѣдьнъ
462,лихъ,A-,ліхъ
463,сътворѥниѥ,Nb,сътвореніе
464,колижьдо,Df,коліжьдо
465,изглаголати,V-,ізглаголаті
466,лихо,Df,ліхо
467,мꙑслити,V-,мъісліті
468,глаголъ,Nb,глаголъ
469,ли,C-,лі
470,дѣло,Nb,дѣло
471,помꙑшлѥниѥ,Nb,помъішленіе
472,помьнѣти,V-,помьнѣті
473,любо,C-,любо
474,съгрѣшити,V-,съгрѣшіті
475,съвѣдѣти,V-,съвѣдѣті
476,нѫжда,Nb,нѫжда
477,ненѫжда,Nb,ненѫжда
478,съпати,V-,съпаті
479,видѣти,V-,відѣті
480,клѧтва,Nb,клѧтва
481,лъжа,Nb,лъжа
482,неправьдьнъ,A-,неправьдьнъ
483,поустошь,Nb,поустошь
484,блѧдь,Nb,блѧдь
485,ꙗкоже,Df,ѣкоже
486,из,R-,із
487,ꙗдѣниѥ,Nb,ѣдѣніе
488,питиѥ,Nb,пітіе
489,съпаниѥ,Nb,съпаніе
490,рачити,V-,рачіті
491,подати,V-,податі
492,посрамити,V-,посраміті
493,прѣдъ,R-,прѣдъ
494,свѣтъ#2,Nb,свѣтъ#2
495,покаꙗти,V-,покаѣті
496,достоинъ,A-,достоінъ
497,покаꙗниѥ,Nb,покаѣніе
498,ꙗкоже,G-,ѣкоже
499,вьсевеликъ,A-,вьсевелікъ
500,троица,Nb,троіца
501,помощьникъ,Nb,помоштьнікъ
502,сила,Nb,сіла
503,мѫдрость,Nb,мѫдрость
504,замꙑслъ,Nb,замъіслъ
505,волꙗ,Nb,волѣ
506,вѣра,Nb,вѣра
507,слоужьба,Nb,слоужьба
508,грѣшьникъ,Nb,грѣшьнікъ
509,съпасти#1,V-,съпасті#1
510,любъ,A-,любъ
511,рабъ,Nb,рабъ
512,еи,I-,еі
513,помощи,V-,помошті
514,какъ,Pi,какъ
515,бѣда,Nb,бѣда
516,прѣдаꙗти,V-,прѣдаѣті
517,мꙑсль,Nb,мъісль
518,любꙑ,Nb,любъі
519,отъложити,V-,отъложіті
520,слово,Nb,слово
521,оконьчати,V-,оконьчаті
522,зълъ,A-,зълъ
523,дьнь,Nb,дьнь
524,климентъ,Ne,кліментъ
525,огрѧсти,V-,огрѧсті
526,блаженъ,A-,блаженъ
527,мѫченикъ,Nb,мѫченікъ
528,папежь,Nb,папежь
529,веселити,V-,веселіті
530,чьстити,V-,чьстіті
531,мѫчениѥ,Nb,мѫченіе
532,наслѣдовати,V-,наслѣдоваті
533,оплатъ,Nb,оплатъ
534,рованиѩ,Nb,рованіѧ
535,принести,V-,прінесті
536,свѧтити,V-,свѧтіті
537,ходатаити,V-,ходатаіті
538,скврьность,Nb,скврьность
539,очистити,V-,очістіті
540,прѣфациꙗ,Nb,прѣфаціѣ
541,законьникъ,Nb,законьнікъ
542,оутѧгнѫти,V-,оутѧгнѫті
543,инокость,Nb,інокость
544,подроугъ,Nb,подроугъ
545,исповѣдь,Nb,ісповѣдь
546,намѣстьникъ,Nb,намѣстьнікъ
547,наслѣдьникъ,Nb,наслѣдьнікъ
548,въсѫдъ,Nb,въсѫдъ
549,прѣдрагъ,A-,прѣдрагъ
550,кръвь,Nb,кръвь
551,напльнити,V-,напльніті
552,вълитиѥ,Nb,вълітіе
553,просити,V-,просіті
554,ѥже,G-,еже
555,обѣщаниѥ,Nb,обѣштаніе
556,рѣснотивьнъ,A-,рѣснотівьнъ
557,издрѣшениѥ,Nb,іздрѣшеніе
558,обѧти,V-,обѧті
559,фелицита,Ne,феліціта
560,ради,R-,раді
561,мѫчѣница,Nb,мѫчѣніца
562,въкоупьнь,A-,въкоупьнь
563,защитити,V-,заштітіті
564,людиѥ,Nb,людіе
565,радостьнъ,A-,радостьнъ
566,съмѣрьно,Df,съмѣрьно
567,самъ,Pd,самъ
568,въселити,V-,въселіті
569,правьда,Nb,правьда
570,поставити,V-,поставіті
571,мьша,Nb,мьша
572,обити#1,V-,обіті#1
573,тварь,Nb,тварь
574,вельми,Df,вельмі
575,гнѣвъ,Nb,гнѣвъ
576,въплътити,V-,въплътіті
577,чловѣчьскъ,A-,чловѣчьскъ
578,въсхотѣти,V-,въсхотѣті
579,оутврьдити,V-,оутврьдіті
580,просвѣтити,V-,просвѣтіті
581,близъ,R-,блізъ
582,оуслꙑшати,V-,оуслъішаті
583,оупъваниѥ,Nb,оупъваніе
584,вънѧти,V-,вънѧті
585,небесьскъ,A-,небесьскъ
586,вꙑшьнь,A-,въішьнь
587,жѧдати,V-,жѧдаті
588,милостивьно,Df,мілостівьно
589,приимати,V-,прііматі
590,очищениѥ,Nb,очіштеніе
591,да,Df,да
592,въздрасти,V-,въздрасті
593,вънѫтрьнь,A-,вънѫтрьнь
594,соушити,V-,соушіті
595,приносъ,Nb,пріносъ
596,благословестити,V-,благословестіті
597,дрьжати,V-,дрьжаті
598,призъвати,V-,прізъваті
599,исправити,V-,ісправіті
600,обѣтъ,Nb,обѣтъ
601,обѣщати,V-,обѣштаті
602,възмощи,V-,възмошті
603,заповѣдь,Nb,заповѣдь
604,иже,Ps,іже
605,величьство,Nb,велічьство
606,възѧти,V-,възѧті
607,привести,V-,прівесті
608,скръбьнъ,A-,скръбьнъ
609,зъль,Nb,зъль
610,избавлѥниѥ,Nb,ізбавленіе
611,съдравиѥ,Nb,съдравіе
612,небꙑтиѥ,Nb,небъітіе
613,бꙑтиѥ,Nb,бъітіе
614,отъпасти,V-,отъпасті
615,въскрѣсити,V-,въскрѣсіті
616,пакꙑ,Df,пакъі
617,достоꙗти,V-,достоѣті
618,съгрѣшати,V-,съгрѣшаті
619,земьскъ,A-,земьскъ
620,пища,Nb,пішта
621,насꙑтити,V-,насъітіті
622,цѣсарьство,Nb,цѣсарьство
623,отъдати,V-,отъдаті
624,щоуждь,A-,штоуждь
625,обратити,V-,обратіті
626,плѣнъ,Nb,плѣнъ
627,народъ,Nb,народъ
628,поганьскъ,A-,поганьскъ
629,цѣсарити,V-,цѣсаріті
630,циркънъ,A-,ціркънъ
631,тврьдь,Nb,тврьдь
632,оуподобити,V-,оуподобіті
633,бальство,Nb,бальство
634,ꙗкъже,Pr,ѣкъже
635,възлюбити,V-,възлюбіті
