воня|Nb|69424|vońǢ|fem_ja|2|vonj|e_sl
о|I-|65199|o||0|o|e_sl
благовѣрьныи|A-|81561|bolgověrьnъ|adj_hard|2|bolgověrьn|ch_sl
еже|G-|59323|ježe||0|ježe|e_sl
въпадати|V-|68607|vъpadati|54|1|vъpada|e_sl
съжалити|V-|67463|sъžǢliti|40|1|sъžǢl|e_sl
бѣда|Nb|69007|běda|fem_a|2|běd|e_sl
мъного|Df|59249|mъnogo||0|mъnogo|e_sl
плакати|V-|70086|plakati|52|1|plak|e_sl
рещи|V-|58793|reћi|11|1|rek|ch_sl
господинъ|Nb|65068|gospodinъ|masc_o|2|gospodin|e_sl
истина|Nb|59928|jьstina|fem_a|2|jьstin|e_sl
помышление|Nb|64389|pomyšĺenьje|nt_jo|2|pomysljenьj|e_sl
въпасти|V-|66863|vъpasti|11|1|vъpad|e_sl
яко|Df|85825|ako||0|ako|e_sl
путь|Nb|58763|pǫtь|masc_i|2|pǫt|e_sl
истиньныи|A-|59924|jьstinьnъ|adj_hard|2|jьstinьn|e_sl
заблудити|V-|67440|zablǫditi|40|1|zablǫd|e_sl
отъвратити|V-|66281|otъvortiti|40|1|otъvort|ch_sl
скърбь|Nb|68098|skr̥bь|fem_i|2|skr̥b|e_sl
близъ|R-|68945|blizъ||0|blizъ|e_sl
призьрѣти|V-|67620|prizьrěti|31|1|prizьr|e_sl
съзьдание|Nb|65439|sъzьdanьje|nt_jo|2|sъzьdanьj|e_sl
наставити|V-|69508|nastaviti|40|1|nastav|e_sl
никыиже|Px|66468|nikъjьže|kъjьže|2|nik|e_sl
нужа|Nb|68751|nǫђǢ|fem_ja|2|nǫdj|e_sl
упъвати|V-|65645|upъvati|54|1|upъva|e_sl
съпасти#1|V-|70480|sъpasti|11|1|sъpas|ch_sl
вънити|V-|59000|vъnjьti|jьti|1|vъn|e_sl
крило|Nb|67796|kridlo|nt_o|2|kridl|e_sl
привязати|V-|750003|privęzati|54|1|privęza|e_sl
ухо|Nb|64194|uxo|oko|2|ux|e_sl
благыи|A-|65623|bolgъ|adj_hard|2|bolg|ch_sl
надъ|R-|67778|nadъ||0|nadъ|e_sl
нести|V-|59122|nesti|11|1|nes|e_sl
мъножьство|Nb|65300|mъnožьstvo|nt_o|2|mъnožьstv|e_sl
пълныи|A-|68059|pĺ̥nъ|adj_hard|2|pĺ̥n|e_sl
сладъкыи|A-|81613|soldъkъ|adj_hard|2|soldъk|ch_sl
варъ|Nb|67053|varъ|masc_o|2|var|e_sl
вѣтръ|Nb|59230|větrъ|masc_o|2|větr|e_sl
лихыи|A-|64043|lixъ|adj_hard|2|lix|e_sl
тако|Df|59223|tako||0|tako|e_sl
губа|Nb|66143|gǫba|fem_a|2|gǫb|e_sl
камо|Du|69215|kamo||0|kamo|e_sl
сѣсти|V-|64044|sěsti|infix_11|1|sěd|e_sl
блюсти|V-|64031|bĺusti|11|1|bjud|e_sl
петровъ|A-|69185|petrovъ|adj_hard|2|petrov|ch_sl
готовыи|A-|65071|gotovъ|adj_hard|2|gotov|e_sl
заповѣдати|V-|64443|zapovědati|54|1|zapověda|e_sl
сестра|Nb|65650|sestra|fem_a|2|sestr|e_sl
еще|Df|59543|ješče||0|ješče|e_sl
сила|Nb|60105|sila|fem_a|2|sil|e_sl
чистыи|A-|64172|čistъ|adj_hard|2|čist|e_sl
изити|V-|58784|jьzjьti|jьti|1|jьz|e_sl
изгыбнути|V-|68818|jьzgybnǫti|21|1|jьzgyb|e_sl
сквозѣ|R-|59124|skvozě||0|skvozě|e_sl
тещи|V-|59418|teћi|11|1|tek|ch_sl
сторона|Nb|59047|storna|fem_a|2|storn|e_sl
зълыи|A-|66277|zъlъ|adj_hard|2|zъl|e_sl
угодьныи|A-|69370|ugodьnъ|adj_hard|2|ugodьn|e_sl
дьбрь|Nb|67751|dьbrь|fem_i|2|dьbr|e_sl
голодъ|Nb|64243|goldъ|masc_o|2|gold|e_sl
съмотрити|V-|66497|sъmotriti|40|1|sъmotr|e_sl
мужьскыи|A-|67560|mǫžьskъ|adj_hard|2|mǫžьsk|e_sl
женьскыи|A-|67561|ženьskъ|adj_hard|2|ženьsk|e_sl
полонъ|Nb|83628|pelnъ|masc_o|2|peln|e_sl
поморие|Nb|67967|pomoŕьje|nt_jo|2|pomorjьj|e_sl
вышьнии|A-|58997|vyšьńь|adj_soft|2|vyšьnj|e_sl
крьщение|Nb|58869|krьšћenьje|nt_jo|2|krьstjenьj|e_sl
устроити|V-|67332|ustrojiti|40|1|ustroj|e_sl
заповѣдь|Nb|60203|zapovědь|fem_i|2|zapověd|e_sl
устрьмити|V-|60261|ustrьmiti|40|1|ustrьm|e_sl
умъ|Nb|69177|umъ|masc_o|2|um|e_sl
небесьныи|A-|79134|nebesьnъ|adj_hard|2|nebesьn|e_sl
судити|V-|66605|sǫditi|40|1|sǫd|e_sl
благодать|Nb|67626|bolgodatь|fem_i|2|bolgodat|ch_sl
пожещи|V-|81186|požeћi|11|1|požeg|ch_sl
село|Nb|59427|selo|nt_o|2|sel|e_sl
мария|Ne|65899|marijǢ|fem_ja|2|marij|e_sl
възнести|V-|65967|vъznesti|11|1|vъznes|e_sl
чьрмьныи|A-|73335|čŕ̥mьnъ|adj_hard|2|čŕ̥mьn|e_sl
възвратити|V-|64406|vъzvortiti|40|1|vъzvort|ch_sl
развѣ|R-|58854|razvě||0|razvě|e_sl
бо|Df|58825|bo||0|bo|e_sl
прѣити|V-|59053|per+jьti|jьti|1|per+|ch_sl
аминъ|I-|64583|aminь||0|aminь|ch_sl
миръ|Nb|69989|mirъ|masc_o|2|mir|e_sl
направити|V-|68355|napraviti|40|1|naprav|e_sl
сьрдьце|Nb|58805|sŕ̥dьke|nt_o_PV3|2|sŕ̥dьk|e_sl
начати|V-|59102|načęti|12|1|načьn|e_sl
разумъ|Nb|64017|orzumъ|masc_o|2|orzum|ch_sl
коньчати|V-|67730|konьčǢti|54|1|konьčǢ|e_sl
дѣло|Nb|64813|dělo|nt_o_S|2|děl|e_sl
иже|Pr|58800|jьže|jьže|2||e_sl
нынѣ|Df|64687|nyně||0|nyně|e_sl
глаголати|V-|58791|golgolati|52|1|golgol|ch_sl
недостоиныи|A-|68876|nedostojьnъ|adj_hard|2|nedostojьn|e_sl
разумѣти|V-|59914|orzuměti|32|1|orzum|ch_sl
припадати|V-|65787|pripadati|54|1|pripada|e_sl
помощь|Nb|79522|pomoћь|fem_i|2|pomogt|ch_sl
просити|V-|59329|prositi|40|1|pros|e_sl
управити|V-|68554|upraviti|40|1|uprav|e_sl
утвьрдити|V-|65207|utvŕ̥diti|40|1|utvŕ̥d|e_sl
глаголание|Nb|65968|golgolanьje|nt_jo|2|golgolanьj|ch_sl
устьна|Nb|60198|ustьna|fem_a|2|ustьn|e_sl
сътужати|V-|65211|sъtǫžǢti|54|1|sъtǫžǢ|e_sl
нъ|C-|59326|nъ||0|nъ|e_sl
