lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
иноходьць,163501,Nb,true,иноходьцы,
даждьбожь,163502,A-,true,Даждь-Божа,
съкратити,163503,V-,true,скратиша,
дажьбожь,163517,A-,true,Дажь-Божа,
въсплескати,163518,V-,true,въсплескала|въслескаша|въсплещут|въсплескаша,въслескаша|въсплещут|въсплескаша
лебедьныи,163519,A-,true,лебедиными,
жирьныи,163521,A-,true,жирня|жирна,
жьля,163523,Nb,true,Жля,
въстонати,163528,V-,true,въстона|въстонала,въстона
усъпити,163532,V-,true,успилъ,
притъпътати,163534,V-,true,притопта,
чьрпати,163539,V-,true,чръпахуть,чръпахуть
тълковинъ,163540,Nb,true,тльковинъ,тльковинъ
възграяти,163544,V-,true,възграяху,възграяху
дьбрьскыи,163547,A-,true,дебрь Ки,
крильце,163548,Nb,true,крильца|крилцю,
сънести,163557,V-,true,снесе|снесет,
жадьныи,163561,A-,true,жадни,
нечьстьныи,163564,A-,true,нечестно,
мъноговои,163567,A-,true,многовои,
шельбиры,163571,Nb,true,шельбиры,
ольберы,163574,Nb,true,ольберы,
засапожьникъ,163575,Nb,true,засапожникы,
прадѣдьнии,163577,A-,true,прадѣднюю,
задьнии,163578,A-,true,заднюю|заднѧа,
възбивати,163582,V-,true,възбиваетъ,възбиваетъ
подъпрѣти,163596,V-,true,подперъ|подпръ|потъперши|подъперъ,
утьрпнути,163601,V-,true,утрпѣ,
шестокрильць,163603,Nb,true,шестокрилци,
непобѣдьныи,163604,A-,true,Не побѣдными,
чръленыи,163609,A-,true,чрълеными,
жемчужьныи,163612,A-,true,жемчюжну,
въньзити,163616,V-,true,вонзите,
дотъкнути,163620,V-,true,дотче,
утръгнути,163623,V-,true,утръ же,утръ же
припѣвъка,163632,Nb,true,припѣвку,
пътиць,163634,Nb,true,птицю,
ярославьнинъ,163637,A-,true,Ярославнынъ,
зегъзица,163638,Nb,true,зегзицею,
насильныи,163642,A-,true,насильно,
хыновьскыи,163643,A-,true,хиновьскыя|хиновския|хыновскꙑа|хꙑновскꙑе|хиновъския,
нетрудьныи,163644,A-,true,нетрудною|нетрꙋднїи,
трьсвѣтьлыи,163648,A-,true,тресвѣтлое,
безводьныи,163649,A-,true,безводнѣ|безводном|безвѡднѣ,
съпрящи,163651,V-,true,съпряже,съпряже
