полъ#1|Nb|59045|polъ|masc_u|2|pol
рѣзати|V-|58957|rězati|52|1|rěz
вѣньць|Nb|65750|věnьkь|masc_o_PV3|2|věnьk
како|Du|59133|kako||0|kako
творити|V-|58852|tvoriti|40|1|tvor
являти|V-|66191|avĺǢti|54|1|avjǢ
образъ|Nb|60006|obrazъ|masc_o|2|obraz
пьрвое|Df|79301|pŕ̥voje||0|pŕ̥voje
человѣчьскыи|A-|60204|čьlověčьskъ|adj_hard|2|čьlověčьsk
видѣние|Nb|67331|viděnьje|nt_jo|2|viděnьj
лютыи|A-|68789|ĺutъ|adj_hard|2|ljut
звѣрь|Nb|59018|zvěrь|masc_i|2|zvěr
старыи|A-|65352|starъ|adj_hard|2|star
борода|Nb|143039|borda|fem_a|2|bord
правыи|A-|66214|pravъ|adj_hard|2|prav
прострѣти|V-|64138|prosterti|13|1|prost
лѣвыи|A-|83919|lěvъ|adj_hard|2|lěv
копие|Nb|69661|kopьje|nt_jo|2|kopьj
обязати|V-|68591|obvęzati|52|1|obvęz
передъ|R-|58985|perdъ||0|perdъ
цѣловати|V-|65188|kělovati|61|1|kěl
цвѣтъ|Nb|85697|květъ|masc_o|2|květ
мясо|Nb|81241|męso|nt_o|2|męs
ли|Df|73471|li||0|li
свиния|Nb|60268|svinьjǢ|fem_ja|2|svinьj
прияти|V-|59498|prijęti|12|1|prijьm
съкрыти|V-|68377|sъkryti|18|1|sъkr
покрывати|V-|68189|pokryvati|54|1|pokryva
платъ|Nb|67458|poltъ|masc_o|2|polt
никъто|Px|82805|nikъto|kъto|2|ni
вѣдѣти|V-|59476|věděti|wote|1|
въстокъ|Nb|68272|vъstokъ|masc_o|2|vъstok
оба|Ma|59078|oba|pron_hard|2|ob
ниць|A-|67330|nikь|masc_o_PV3|2|nik
садити|V-|66861|saditi|40|1|sad
омывати|V-|69697|omyvati|54|1|omyva
нога|Nb|60289|noga|fem_a|2|nog
без|R-|66295|bez|voice_assim_prep|0|bez
двьрь|Nb|60232|dvьrь|fem_i|2|dvьr
жечи|V-|60191|žeћi|11|1|žeg
дъчи|Nb|60290|dъћi|fem_R|2|dъkt
кланяти|V-|65754|klańǢti|54|1|klanjǢ
говорити|V-|122833|govoriti|40|1|govor
иерусалимъ|Ne|58904|ijerusalimъ|masc_o|2|ijerusalim
златыи|A-|78635|zoltъ|adj_hard|2|zolt
вънутрь|Df|65744|vъnǫtrь||0|vъnǫtrь
рогъ|Nb|68353|rogъ|masc_o|2|rog
мѣдь|Nb|64047|mědь|fem_i|2|měd
зъвати|V-|65693|zъvati|51_abl|1|zъv
пещи|V-|64394|peћi|11|1|pek
хлѣбъ|Nb|60184|xlěbъ|masc_o|2|xlěb
попелъ|Nb|68814|popelъ|masc_o|2|popel
мазати|V-|66320|mazati|52|1|maz
