577,владыка,Nb,24
578,таче,Df,73
579,забыти,V-,3
580,скърбь,Nb,14
581,съмьртьныи,A-,1
582,тѣшити,V-,1
583,слово,Nb,44
584,вѣчьныи#1,A-,4
585,съхранити,V-,3
586,радостьныи,A-,2
587,прѣзьрѣти,V-,7
588,прѣмилостивыи,A-,3
589,упъвати,V-,10
590,сѣдѣти,V-,15
591,кыянинъ,Nb,1
592,даръ,Nb,1
593,отъпустити,V-,14
594,отьнь,A-,3
595,придати,V-,1
596,льстьныи,A-,2
597,истина,Nb,23
598,вышегородъ,Ne,5
599,отаи,Df,4
600,путьша,Ne,3
601,вышегородьскыи,A-,1
602,мужь,Nb,13
603,повѣдѣти,V-,6
604,приязньство,Nb,1
605,глава,Nb,7
606,положити,V-,27
607,искони,Df,1
608,надежа,Nb,7
609,подвижьныи,A-,3
610,бывати,V-,10
611,каинъ#1,Ne,6
612,братоубииство,Nb,1
613,въторыи,Mo,2
614,уловити,V-,1
615,мысль,Nb,6
616,избити,V-,3
617,наслѣдьникъ,Nb,1
618,триклятыи,A-,2
619,съвѣтьникъ,Nb,2
620,зъло,Nb,10
621,начальникъ,Nb,2
622,неправьда,Nb,4
623,отъврѣсти,V-,10
624,прѣсквьрньныи,A-,1
625,уста,Nb,10
626,испустити,V-,1
627,гласъ,Nb,27
628,путьшинъ,A-,1
629,чадь,Nb,1
630,обѣщати,V-,13
631,къдѣ,Dq,9
632,съмотрити,V-,6
633,скорыи,A-,1
634,пролияти,V-,2
635,обѣщевати,V-,1
636,събирати,V-,6
637,безаконие,Nb,5
638,нечьстие,Nb,1
639,обимати,V-,1
640,воротити,V-,1
641,стати,V-,16
642,льто,Ne,3
643,шатьръ,Nb,7
644,дружина,Nb,3
645,сѣсти,V-,26
646,отъвѣщевати,V-,2
647,възяти,V-,24
648,акы,Df,9
649,разити,V-,3
650,отрокъ,Nb,28
651,суботьныи,A-,1
652,туга,Nb,2
653,удручити,V-,1
654,съкрутити,V-,1
655,жалостьныи,A-,1
656,испущати,V-,5
657,часть,Nb,9
658,жрѣбии,Nb,1
659,яко,Df,261
660,милостивыи,A-,5
661,въсылати,V-,3
662,мучение,Nb,2
663,никита,Ne,1
664,вячеславъ,Ne,1
665,подобьно,Df,1
666,како,Dq,18
667,варвара,Ne,1
668,убоица,Nb,2
669,прѣмудрыи,A-,3
670,правьдьникъ,Nb,7
671,жити,V-,20
672,мьзда,Nb,5
673,строение,Nb,1
674,вышьнии,A-,2
675,тъчию,Df,1
676,утѣшати,V-,11
677,радовати,V-,11
678,вечеръ,Nb,9
679,пѣти,V-,17
680,вечерьнии,A-,10
681,частыи,A-,3
682,въздыхание,Nb,4
683,стонание,Nb,2
684,лещи,V-,6
685,съпати,V-,5
686,сънъ,Nb,5
687,тяжькыи,A-,3
688,страшьныи,A-,3
689,пострадати,V-,1
690,течение,Nb,2
691,вѣра,Nb,16
692,съблюсти,V-,4
693,щадѣти,V-,1
694,вѣньць,Nb,7
695,вьседьржителевъ,A-,1
