црькꙑ|58999|Nb|kŕ̥ky||cŕ̥ky||12|||||||From some kind of Gmc. language (if a type of Old High German, before the Second Sound Shift) *kirkô, *kirikô, from Gk. κυρικόν < κυριακόν (see the entry for церковь in Vasmer's dictionary)||||||fem_uu|2|||M|Eu|KB|S|Ps|
вънити|59000|V-|vъnjьti|||||||||||||||||jьti|1|||M|Eu||S|Ps|
ꙗкоже|59001|G-|akože||||||||||||||||||0|||M|Eu||S||
искоушати|59016|V-|jьskušǢti|||||||||||||||||54|1|||M|||S|Ps|
сотона|59017|Nb|sotona||||25|||||This word must've been borrowed when CS /o,a/ were still separated by quantity rather than quality as /ă ā/, similar to товар (< Turkic. *tawar, Kaz. тауар, Turkish. davar 'livestock')||Σατανᾶς ||||||masc_a|2|||M|Eu||S||
звѣрь|59018|Nb|zvěrь|||||||||beast, wild animal||||||||masc_i|2|||M|||S|Ps|
ангелъ|59019|Nb|anǵelъ||||2||W|||||ἄγγελος||||||masc_o|2|||M|Eu|KB|S|Ps|
слоужити|59020|V-|služiti|||||||||||||||||40|1|||M|||S|Ps|
врѣмѧ|59030|Nb|vermę|||||||||cf. Ukr. dial. ве́рем'я 'nice weather'||||||||nt_N|2|||M||KB|S|Ps|
божии|59032|A-|božьjь|||||||||||||||||adj_ij|2|||M|Eu||S|Ps|
прѣданиѥ|59033|Nb|perdanьje|||||||||Dict. 535-6 lists nouns derived from both verbs прѣдаѣти and прѣдати, and we can't really tell in words like прѣдание whether we have the noun derived from the perfective verb, or a contracted /aa/ after loss of intervocalic jot. ||||||||nt_jo|2|||M|||S||
иоановъ|59034|A-|ijoanovъ||||25||W|||||Ἰωάννης||||||adj_hard|2|||M|||S||
галилеꙗ|59035|Ne|galilejǢ|||galilějǢ|25||W|||||Γαλιλαίας||||||fem_ja|2|||M|||S||
евангелиѥ|59036|Nb|jevanǵelьje||||2||W|||||εὐαγγέλιον||||||nt_jo|2|||M|Eu||S||
испльнити|59037|V-|jьspĺ̥niti|||||||||||||||||40|1|||M|||S|Ps|
каꙗти|59038|V-|kajǢti|||||||(with сѧ) repent, seriously regret, feel very bad about sth.||||||||||53|1|||M|||S||
вѣровати|59039|V-|věrovati|||||||||||||||||61|1|||M|||S|Ps|
ꙗкоже|59040|Dq|akože|||||||as, so, in the way that|||||||||||0|||M|Eu|KB|S|Ps|
благословити|59043|V-|bolgosloviti|||||||||||||||||40|1|||M|Eu||S|Ps|
мрѣжа|59044|Nb|meržǢ|||||||net||||||||||fem_ja|2|||M|||S||
полъ#1|59045|Nb|polъ|||||||||||||||||masc_u|2|||M|||S|Ps|
морѥ|59046|Nb|moŕe||||||||morje|||||||||nt_jo|2|||M|||S|Ps|
страна|59047|Nb|storna|||||||||||||||||fem_a|2|||M|||S|Ps|
завѧзати|59051|V-|zavęzati|||||||fix a net (i.e. by tying stuff together)||||||||||54|1|||M|||||
алъдии|59052|Nb|oldьji|||||||boat, ship||||||||||fem_ji|2|||M|||S||
прѣити|59053|V-|per+jьti|||||||||||||||||jьti|1|||M|||S|Ps|
възъвати|59054|V-|vъzъvati|||||||||||||||||51_abl|1|||M|||S|Ps|
оузьрѣти|59056|V-|uzьrěti|||||||||||||||||31|1|||M|||S|Ps|
иꙗковъ|59057|Ne|ijǢkovъ||||25||W|||||Ἰάκωβος||||||masc_o|2|||M|Eu||S|Ps|
зеведеовъ|59058|A-|zevedejovъ|||zevedějovъ|25||W|||||Ζεβεδαῖος||||||adj_hard|2|||M|||||
братръ|59059|Nb|bratrъ|||||||||||||||||masc_o|2|||M|||S|Ps|
зеведеи|59066|Ne|zevedejь|||zevedějь|25||W|||||Ζεβεδαῖος||||||masc_jo_foreign|2|||M|||||
каперънаоумъ|59068|Ne|kaperъnaumъ|||kaferъnaumъ|25||W|||||Καφαρναοὺμ||||||masc_o|2|||M|||||
съньмище|59069|Nb|sъnьmišče|||||||||||||||||nt_jo|2|||M||||Ps|
оучити|59070|V-|učiti|||||||||||||||||40|1|||M|||S|Ps|
сѫбота|59071|Nb|sǫbota||||35|||||||Vulgar Latin *sambatum (the nasal infix is unexplained but present also in French 'samedi') < Gk. σάββᾱτον < Hebrew šabbāṯ||||||fem_a|2|||M|||S|Ps|
поздѣ|59076|Df|pozdě||||||||||||||||||0|||M|||S||
часъ|59077|Nb|čǢsъ|||||||||||||||||masc_o|2|||M|Eu||S||
оба|59078|Ma|oba|||||||||||||||||pron_hard|2|||M|||S||
десѧть|59079|Ma|desętь|||||||||||||||||ten|2|||M|||S|Ps|
съглѧдати|59080|V-|sъględati|||||||||||||||||54|1|||M|||S||
възалъкати|59081|V-|vъzolkati|||||||||||||||||52|1|||M|||S|Ps|
оутрьнь|59082|A-|utrьńь|||||1|||utrьnjь|I disagree with ESSJa 8 p.200-1 and think it most likely that this is cognate with Eng. East < *aust-, and therefore originally unjotated. Getting rid of the /s/ is a problem. Derksen p. 510-11 has more discussion in support of my view. ||||||||adj_soft|2|||M|||S|Ps|
