id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
319,выкупати,V-,вьікупаті,5,,,,,rusprav,,,16
320,иныи,Px,іньіі,52,,,,,rusprav,usp-sbor,,48
321,якоже,Dq,ꙗкоже,86,,,,,rusprav,usp-sbor,,48
322,такоже,Df,такоже,8,,,,,rusprav,usp-sbor,,48
323,уставити,V-,уставіті,7,,,,,rusprav,usp-sbor,,48
324,убииство,Nb,убііство,11,,,,,rusprav,usp-sbor,,48
325,разбои,Nb,разбоі,5,,,,,rusprav,usp-sbor,,48
326,головьникъ,Nb,головьнікъ,5,,,,,rusprav,,,16
327,искати,V-,іскаті,11,,,,,rusprav,usp-sbor,,48
328,вьрьвьныи,A-,вьрьвьньіі,1,,,,,rusprav,,,16
329,платити,V-,платіті,51,,,,,rusprav,,,16
330,чии,Px,чіі,3,,,,,rusprav,,,16
331,вьрвь,Nb,вьрвь,8,,,,,rusprav,,,16
332,лежати,V-,лежаті,9,,,,,rusprav,usp-sbor,,48
333,людинъ,Nb,людінъ,1,,,,,rusprav,,,16
334,начати,V-,начаті,66,,,,,rusprav,usp-sbor,,48
335,дикыи,A-,дікьіі,3,,,,,rusprav,,,16
336,колико,Du,коліко,8,,,,,rusprav,usp-sbor,,48
337,заплатити,V-,заплатіті,3,,,,,rusprav,,,16
338,зане,G-,зане,14,,,,,rusprav,usp-sbor,,48
339,къ,R-,къ,212,,,,,rusprav,usp-sbor,,48
340,прикладывати,V-,прікладьіваті,2,,,,,rusprav,,,16
341,тыиже,Pd,тьііже,18,,,,,rusprav,usp-sbor,,48
342,съплатити,V-,съплатіті,1,,,,,rusprav,,,16
343,вобче,Df,вобче,1,,,,,rusprav,,,16
344,головьничьство,Nb,головьнічьство,1,,,,,rusprav,,,16
345,дружина,Nb,дружіна,6,,,,,rusprav,usp-sbor,,48
346,часть,Nb,часть,16,,,,,rusprav,usp-sbor,,48
347,оже,G-,оже,22,,,,,rusprav,usp-sbor,,48
348,съвада,Nb,съвада,2,,,,,rusprav,,,16
349,пиръ,Nb,піръ,1,,,,,rusprav,,,16
350,явлено,Df,ꙗвлено,2,,,,,rusprav,,,16
351,нынѣ,Df,ньінѣ,20,,,,,rusprav,usp-sbor,,48
352,иже,G-,іже,2,,,,,rusprav,usp-sbor,,48
353,стати,V-,статі,18,,,,,rusprav,usp-sbor,,48
