въсели,V-,568,въселити
сѧ,Pk,21,себе
въ,R-,111,въ
градъ,Nb,718,градъ
нарицае̄мъи,V-,68,нарицати
наӡаретъ,Ne,1676,назаретъ
Да,G-,366,да
събѫдетъ,V-,980,събꙑти
сѧ,Pk,21,себе
реченое̄,V-,106,рещи
п҃рркмъ,Nb,0,
Ѣк̄о̄,G-,115,ꙗко
наӡареӣ,V-,0,
наречетъ,V-,311,нарещи
сѧ,Pk,21,себе
приде,V-,221,прити
ӣо̄анъ,Ne,1180,иоанъ
к҃рстль,Nb,0,
проповѣдаѧ,V-,386,проповѣдати
въ,R-,111,въ
поустъини,Nb,1192,поустꙑни
ӣе̄рд̄ан᾽стѣ̄ӣ,A-,0,
г҃лѧ,V-,102,глаголати
Покаӣте,V-,495,покаꙗти
сѧ,Pk,21,себе
пріближи,V-,1119,приближити
бо,Df,94,бо
сѧ,Pk,21,себе
ц҃рство,Nb,622,цѣсарьство
н҃бесьное̄,A-,0,
сь,Pd,47,сь
бо,Df,94,бо
е̄стъ,V-,18,бꙑти
реченъиӣ,V-,106,рещи
ӣсаӣе̄мъ,Nb,0,
пррк҃мъ,Nb,0,
г҃лщемъ,V-,102,глаголати
Глас҃,Nb,382,гласъ
въпіѭ̄щаа̄го,V-,1469,въпити
въ,R-,111,въ
поустъини,Nb,1192,поустꙑни
о̄уготоваӣте,V-,1716,оуготовати
пѫть,Nb,678,пѫть
г҃нь,A-,1674,господьнь
правъи,A-,2046,правъ
творите,V-,637,творити
стьѕѧ,Nb,2047,стьѕа
е̄го,Pp,64,и
Сам̄ж҃̄е,V-,0,
ӣо̄а̄нъ,Ne,1180,иоанъ
ӣмѣа̄ше,V-,9,имѣти
риӡѫ,Nb,731,риза
своѭ̄,Pt,217,свои
ѡт҃,R-,80,отъ
власъ,Nb,720,власъ
вельбѫждъ,V-,3599,вельрѣчевати
ӣ,C-,13,и
поѣсъ,Nb,1126,поꙗсъ
о̄ус᾽ниѣ̄нъ,A-,2052,оусниꙗнъ
о̄,R-,1,о
чрѣслѣ̄хъ,Nb,2053,чрѣсла
своӣхъ,Pt,217,свои
ѣ̄дь,Nb,41,ꙗдь
же,Df,20,же
е̄го,Pp,64,и
бѣ,V-,18,бꙑти
а̄кріді,Nb,2054,акридь
ӣ,C-,13,и
медъ,Nb,2055,медъ
ді̄в̄іӣ,A-,2056,дивии
Тогда,Df,673,тъгда
ӣсхождаа̄ше,V-,1013,исходити
кь,R-,59,къ
немоу,Pp,64,и
весь,Px,54,вьсь
ӣе̄рл҃мъ,Ne,0,
ӣ,C-,13,и
ӣю̄деӣ,Ne,1840,июдеꙗ
ӣ,C-,13,и
всѣ̄,Px,54,вьсь
стр̄ана,Nb,1009,страна
ӣе̄рд̄анс᾽ка,A-,0,
ӣ,C-,13,и
