тѣмъ|Pd|-s---mi--i|тѣмъ|105|тъ
ӣ|C-|---------n|і|13|и
видѣвъ|V-|-supamn-si|відѣвъ|479|видѣти
ӣ|C-|---------n|і|13|и
мімо|Df|---------n|мімо|8644|мимо
ӣде|V-|3saia----i|іде|671|ити
Такожде|Df|---------n|такожде|255|такожде
ӣ|C-|---------n|і|13|и
левꙉ҅ітъ|Nb|-s---mn--i|левгітъ|0|FIXME
бъівъ|V-|-supamn-si|бъівъ|18|бꙑти
на|R-|---------n|на|117|на
томьжде|Pd|-s---ol--i|томьжде|155|тъжде
мѣстѣ|Nb|-s---nl--i|мѣстѣ|113|мѣсто
пришедъ|V-|-supamn-si|прішедъ|221|прити
ӣ|C-|---------n|і|13|и
відѣвъ|V-|-supamn-si|відѣвъ|479|видѣти
ӣ|C-|---------n|і|13|и
мимо|Df|---------n|мімо|8644|мимо
ӣде|V-|3saia----i|іде|671|ити
Самарѣнін|Nb|-s---mn--i|самарѣнін|1116|самарѣнинъ
же̄|Df|---------n|же|20|же
е̄теръ|Px|-s---mn--i|етеръ|1287|етеръ
грѩдъі|V-|-sppamn-si|грѧдъі|958|грѧсти
Ӣ|C-|---------n|і|13|и
пріде|V-|3saia----i|пріде|221|прити
надь|R-|---------n|надь|400|надъ
нь|Pp|3s---ma--i|нь|64|и
Ӣ|C-|---------n|і|13|и
видѣвъ|V-|-supamn-si|відѣвъ|479|видѣти
ӣ|Pp|3s---ma--i|і|64|и
м҃лсрдова|V-|3saia----i|млсрдова|0|FIXME
Ӣ|C-|---------n|і|13|и
прістѫпль|V-|-supamn-si|прістѫпль|933|пристѫпити
о̄бѧза|V-|3saia----i|обѧза|2754|обѧзати
ст̄рѹпъі|Nb|-p---ma--i|строупъі|2755|строупъ
е̄го|Pp|3s---mg--i|его|64|и
Възліваѩ|V-|-sppamn-si|възліваѧ|1061|възливати
о̄лѣи|Nb|-s---ma--i|олѣі|1873|олѣи
ӣ|C-|---------n|і|13|и
ві̄но|Nb|-s---na--i|віно|335|вино
въсаждъ|V-|-supamn-si|въсаждъ|1400|въсадити
же|Df|---------n|же|20|же
и|Pp|3s---ma--i|і|64|и
на|R-|---------n|на|117|на
своӣ|Pt|3s---ma--i|своі|217|свои
скотъ|Nb|-s---ma--i|скотъ|2756|скотъ
пріведе|V-|3saia----i|пріведе|607|привести
ӣ|C-|---------n|і|13|и
въ|R-|---------n|въ|111|въ
гостіньницѫ|Nb|-s---fa--i|гостіньніцѫ|6561|гостиньница
ӣ|C-|---------n|і|13|и
прілежа|V-|3saia----i|прілежа|2758|прилежати
е̄мъ|Pp|3s---ml--i|емъ|64|и
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
ѹ̄тріа̄|Ne|-s---mg--i|оутріа|0|FIXME
ӣшедъ|V-|-supamn-si|ішедъ|684|изити
вьземъ|V-|-supamn-si|вьземъ|606|възѧти
дъва|Ma|-d---ma--i|дъва|230|дъва
пѣнѧѕа|Nb|-d---ma--i|пѣнѧза|1581|пѣнѧѕь
дастъ|V-|3saia----i|дастъ|116|дати
гостинн̄икѹ|Nb|-s---md--i|гостіннікоу|2759|гостиньникъ
ӣ|C-|---------n|і|13|и
рече|V-|3saia----i|рече|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
прилежі|V-|2spma----i|прілежі|2758|прилежати
е̄мъ|Pp|3s---ml--i|емъ|64|и
ӣ|C-|---------n|і|13|и
е̄же|Pr|-s---na--i|еже|96|иже
а̄ште|Df|---------n|аште|703|аще
пріӣждівеши|V-|2spia----i|прііждівеші|2760|прииждити
А̄зь|Pp|1s---mn--i|азь|440|азъ
е̄гда|Dq|---------n|егда|300|ѥгда
възвраштѫ|V-|1spia----i|възвраштѫ|969|възвратити
сѧ|Pk|3s---qa--i|сѧ|21|себе
въздамъ|V-|1spia----i|въздамъ|686|въздати
ті|Pp|2s---md--i|ті|304|тꙑ
Кьто|Pi|-s---mn--i|кьто|265|къто
ѹ̄бо|Df|---------n|оубо|6|оубо
о̄тъ|R-|---------n|отъ|80|отъ
тѣх|Pd|-p---mg--i|тѣх|105|тъ
тріӣ|Ma|-p---mg--i|тріі|145|триѥ
мьнитъ|V-|3spia----i|мьнітъ|166|мьнѣти
ті|Pp|2s---md--i|ті|304|тꙑ
сѧ|Pk|3s---qa--i|сѧ|21|себе
бъити|V-|--pna----i|бъіті|18|бꙑти
искрьниі̄|A-|-s---mnpti|іскрьніі|740|искрьнии
въпадшѹмѹ|V-|-supamd-wi|въпадшоумоу|1257|въпасти
въ|R-|---------n|въ|111|въ
разбоӣникъи|Nb|-p---ma--i|разбоінікъі|1681|разбоиникъ
О̄нъ|Pd|-s---mn--i|онъ|83|онъ
же|Df|---------n|же|20|же
рече|V-|3saia----i|рече|106|рещи
сътвореӣ|V-|-supamn-wi|сътвореі|73|сътворити
м҃лсть|Nb|-s---fa--i|млсть|320|милость
сь|R-|---------n|сь|92|съ
нимъ|Pp|3s---mi--i|німъ|64|и
рече|V-|3saia----i|рече|106|рещи
же|Df|---------n|же|20|же
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
И҅ди|V-|2spma----i|іді|671|ити
ӣ|C-|---------n|і|13|и
тъи|Pp|2s---qn--i|тъі|304|тꙑ
твори|V-|2spma----i|творі|637|творити
такожде|Df|---------n|такожде|255|такожде
Въниде|V-|3saia----i|въніде|380|вънити
и҃с|Ne|-s---mn--i|іс|343|исоусъ
въ|R-|---------n|въ|111|въ
вес|Nb|-p---ng--i|вес|0|FIXME
е̄терѫ|Px|-s---fa--i|етерѫ|1287|етеръ
жена|Nb|-s---fn--i|жена|693|жена
же|Df|---------n|же|20|же
е̄тера|Px|-s---fn--i|етера|1287|етеръ
ӣменемъ|Nb|-s---ni--i|іменемъ|442|имѧ
март̄а|Ne|-s---fn--i|марта|2761|маръта
пріѩ̄тъ|V-|3saia----i|пріѧтъ|165|приѩти
ӣ|Pp|3s---ma--i|і|64|и
въ|R-|---------n|въ|111|въ
домъ|Nb|-s---ma--i|домъ|374|домъ
своӣ|Pt|3s---ma--i|своі|217|свои
вьниде|V-|3saia----i|вьніде|380|вънити
и҃с|Ne|-s---mn--i|іс|343|исоусъ
вь|R-|---------n|вь|111|въ
вес|Nb|-p---ng--i|вес|0|FIXME
етер|Df|---------n|етер|0|FIXME
Ӣ|C-|---------n|і|13|и
се|I-|---------n|се|419|се
е҅ӣ|Pp|3s---fd--i|еі|64|и
бѣ|V-|3siia----i|бѣ|18|бꙑти
сестр̄а|Nb|-s---fn--i|сестра|1304|сестра
нарицае̄маа̄|A-|-s---fnpwi|наріцаемаа|0|FIXME
ма̄рӣѣ̄|Ne|-s---fn--i|маріѣ|663|мариꙗ
ѣ̄же|Pr|-s---fn--i|ѣже|96|иже
ӣ|Df|---------n|і|91|и
сѣдъші|V-|-supafn-si|сѣдъші|1305|сѣсти
прі|R-|---------n|прі|191|при
ногѹ|Nb|-d---fl--i|ногоу|716|нога
и҃҅свѹ|A-|-d---qlpsi|ісвоу|1398|исоусовъ
слъишаа̄ше|V-|3siia----i|слъішааше|689|слꙑшати
слово|Nb|-s---na--i|слово|520|слово
е̄го|Pp|3s---mg--i|его|64|и
ӣ|C-|---------n|і|13|и
март̄а|Ne|-s---fn--i|марта|2761|маръта
млъвѣа̄ше|V-|3siia----i|млъвѣаше|1077|млъвити
о̄|R-|---------n|о|1|о
мн̄оѕѣ|A-|-s---qlpsi|мнозѣ|49|мъногъ
слѹжьбѣ|Nb|-s---fl--i|слоужьбѣ|507|слоужьба
Ставши|V-|-supafn-si|ставші|1274|стати
же|Df|---------n|же|20|же
рече|V-|3saia----i|рече|106|рещи
Г҃и|Nb|-s---mv--i|гі|342|господь
не|Df|---------n|не|8|не
родіші|V-|2spia----i|родіші|1562|родити#2
лі|Du|---------n|лі|752|ли
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
сест̄ра|Nb|-s---fn--i|сестра|1304|сестра
моѣ̄|Ps|1s---fn--i|моѣ|447|мои
е̄дінѫ|Ma|-s---fa--i|едінѫ|243|ѥдинъ
мѧ|Pp|1s---fa--i|мѧ|440|азъ
о̄стави|V-|3saia----i|оставі|669|оставити
слѹжиті|V-|--pna----i|слоужіті|976|слоужити
ти|Pp|2s---md--i|ті|304|тꙑ
рьци|V-|2spma----i|рьці|106|рещи
ѹ̄бо|Df|---------n|оубо|6|оубо
е̄и|Pp|3s---fd--i|еі|64|и
да|G-|---------n|да|366|да
ми|Pp|1s---fd--i|мі|440|азъ
поможетъ|V-|3spia----i|поможетъ|513|помощи
Ѡ̄̄тъвѣштав|V-|-supamn-si|отъвѣштав|271|отъвѣщати
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ӣ|C-|---------n|і|13|и
рече|V-|3saia----i|рече|106|рещи
е̄ӣ|I-|---------n|еі|512|еи
марѳ̄о|A-|-s---ngpwi|марѳо|0|FIXME
марѳ̄о|A-|-s---ngpwi|марѳо|0|FIXME
печеші|V-|2spia----i|печеші|817|пещи
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
мльвіші|V-|2spia----i|мльвіші|1077|млъвити
о̄|R-|---------n|о|1|о
мн̄оѕѣ|A-|-s---nlpsi|мнозѣ|49|мъногъ
Е̄діно|Ma|-s---nn--i|едіно|243|ѥдинъ
же|Df|---------n|же|20|же
е̄стъ|V-|3spia----i|естъ|18|бꙑти
на|R-|---------n|на|117|на
потрѣбѫ|Nb|-s---fa--i|потрѣбѫ|2763|потрѣба
мариѣ̄|Ne|-s---fn--i|маріѣ|663|мариꙗ
бо|Df|---------n|бо|94|бо
благѫѭ̄|A-|-s---fapwi|благѫѭ|363|благъ
чѧсть|Nb|-s---fa--i|чѧсть|1871|чѧсть
ӣзбъра|V-|3saia----i|ізбъра|1382|избьрати
ѣ̄же|Pr|-s---fn--i|ѣже|96|иже
не|Df|---------n|не|8|не
о̄тъӣмет|V-|3spia----i|отъімет|652|отѧти
сѧ|Pk|3s---qa--i|сѧ|21|себе
о̄тъ|R-|---------n|отъ|80|отъ
неѩ̄|Pp|3s---fg--i|неѧ|64|и
кт̄о|Pi|-s---qn--i|кто|265|къто
ѡ̄̄тъ|R-|---------n|отъ|80|отъ
васъ|Pp|2p---qg--i|васъ|266|вꙑ
ӣматъ|V-|3spia----i|іматъ|9|имѣти
дрѹга|Nb|-s---mg--i|дроуга|754|дроугъ
ӣ|C-|---------n|і|13|и
ӣдет|V-|2ppma----i|ідет|671|ити
кь|R-|---------n|кь|59|къ
немѹ|Pp|3s---md--i|немоу|64|и
полѹ|Nb|-s---ml--i|полоу|1593|полъ#2
ношт̄і|Nb|-s---fg--i|ношті|1293|нощь
Ӣ|C-|---------n|і|13|и
речетъ|V-|3spia----i|речетъ|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
дрѹже|Nb|-s---mv--i|дроуже|754|дроугъ
въ|R-|---------n|въ|111|въ
заи҅мъ|Nb|-s---ma--i|заімъ|2663|заимъ
даждъ|V-|2spma----i|даждъ|116|дати
мі|Pp|1s---md--i|мі|440|азъ
три|Ma|-p---qa--i|трі|145|триѥ
хлѣбъі|Nb|-p---ma--i|хлѣбъі|783|хлѣбъ
И҅де|V-|3saia----i|іде|671|ити
дрѹгь|Nb|-s---mn--i|дроугь|754|дроугъ
мі|Pp|1s---pd--i|мі|440|азъ
приде|V-|3saia----i|пріде|221|прити
сь|R-|---------n|сь|92|съ
пѫті|Nb|-s---ml--i|пѫті|678|пѫть
кь|R-|---------n|кь|59|къ
мн̄ѣ|Pp|1s---ml--i|мнѣ|440|азъ
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
ӣмамъ|V-|1ppia----i|імамъ|9|имѣти
е̄же|Pr|-s---na--i|еже|96|иже
положѭ|V-|1spia----i|положѫ|1262|положити
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
нимъ|Pp|3s---mi--i|німъ|64|и
И|C-|---------n|і|13|и
тъ|Pd|-s---mn--i|тъ|105|тъ
ӣзь|R-|---------n|ізь|486|из
ѫ̄трьѭ̄дѹ|Df|---------n|ѫтрьѭдоу|4587|ѫтрь
ѡ҅̇тъвѣштавъ|V-|-supamn-si|отъвѣштавъ|271|отъвѣщати
речет|V-|3spia----i|речет|106|рещи
Не|Df|---------n|не|8|не
творі|V-|2spma----i|творі|637|творити
мі|Pp|1s---md--i|мі|440|азъ
трѹда|Nb|-s---mg--i|троуда|2765|троудъ
Ѹ҅же|Df|---------n|оуже|694|оуже
дв̄ърі|Nb|-p---fa--i|двърі|435|двьрь
затворенъи|V-|-puppfn-si|затворенъі|777|затворити
сѫтъ|V-|3ppia----i|сѫтъ|18|бꙑти
ӣ|C-|---------n|і|13|и
дѣти|Nb|-p---fn--i|дѣті|1421|дѣти
моѩ̄|Ps|1p---fn--i|моѧ|447|мои
съ|R-|---------n|съ|92|съ
мъноѭ̄|Pp|1s---qi--i|мъноѭ|440|азъ
на|R-|---------n|на|117|на
ложі|Nb|-s---nl--i|ложі|432|ложе
сѫтъ|V-|3ppia----i|сѫтъ|18|бꙑти
не|Df|---------n|не|8|не
могѫ|V-|1spia----i|могѫ|31|мощи
въстаті|V-|--pna----i|въстаті|975|въстати
ӣ|C-|---------n|і|13|и
даті|V-|--pna----i|даті|116|дати
тебѣ|Pp|2s---qd--i|тебѣ|304|тꙑ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ
а̄ште|G-|---------n|аште|248|аще
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
даст|V-|2saia----i|даст|116|дати
е̄мѹ|Pp|3s---md--i|емоу|64|и
въстав|Nb|-s---ma--i|въстав|6739|въставлѥниѥ
зане|G-|---------n|зане|3119|зане
дрѹгь҆|Nb|-s---mn--i|дроугь|754|дроугъ
е̄го|Pp|3s---ng--i|его|64|и
е̄стъ|V-|3spia----i|естъ|18|бꙑти
Нъ|C-|---------n|нъ|11|нъ
за|R-|---------n|за|726|за
безочьство|Nb|-s---na--i|безочьство|2766|безочьство
е̄го|Pp|3s---mg--i|его|64|и
въставъ|V-|-supamn-si|въставъ|975|въстати
дастъ|V-|3spia----i|дастъ|116|дати
е̄мѹ|Pp|3s---md--i|емоу|64|и
е̄ліко|Pr|---------n|еліко|2092|ѥликъ
трѣбѹе̄тъ|V-|3spia----i|трѣбоуетъ|780|трѣбовати
Ӣ|C-|---------n|і|13|и
а̄зь|Pp|1s---mn--i|азь|440|азъ
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
просіте|V-|2ppma----i|просіте|553|просити
ӣ|C-|---------n|і|13|и
дастъ|V-|3spia----i|дастъ|116|дати
сѧ|Pk|3s---qa--i|сѧ|21|себе
вамъ|Pp|2p---pd--i|вамъ|266|вꙑ
ӣщѣте|V-|2ppma----i|іштѣте|114|искати
ӣ|C-|---------n|і|13|и
о̄брѧщете|V-|2ppia----i|обрѧштете|225|обрѣсти
тл̄ъцѣте|V-|2ppma----i|тлъцѣте|865|тлѣщи
ӣ|C-|---------n|і|13|и
отвръзетъ|V-|3spia----i|отвръзетъ|866|отврѣсти
сѧ|Pk|3s---qa--i|сѧ|21|себе
вамъ|Pp|2p---pd--i|вамъ|266|вꙑ
Вьсѣк|A-|-s---mnpsi|вьсѣк|362|вьсꙗкъ
бо|Df|---------n|бо|94|бо
просѧӣ|V-|-sppamn-wi|просѧі|553|просити
пріе̄млетъ|V-|3spia----i|пріемлетъ|589|приимати
ӣ|C-|---------n|і|13|и
ӣщѧӣ|V-|-sppamn-wi|іштѧі|114|искати
о̄брѣтае̄тъ|V-|3spia----i|обрѣтаетъ|867|обрѣтати
ӣ|C-|---------n|і|13|и
тлъкѫщѹмѹ|V-|-sppamd-wi|тлъкѫштоумоу|865|тлѣщи
ѡтвръзѫтъ|V-|3ppia----i|отвръзѫтъ|1096|отъврѣщи
сѧ|Pk|3s---qa--i|сѧ|21|себе
Котораго|Pi|-s---mg--i|котораго|1747|которꙑи
же|Df|---------n|же|20|же
о̄т|R-|---------n|от|80|отъ
вась|Pp|2p---ml--i|вась|266|вꙑ
ѹ̄|R-|---------n|оу|736|оу
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
с҃нъ|Nb|-s---mn--i|снъ|341|сꙑнъ#1
своӣ|Pt|3s---mn--i|своі|217|свои
въспроситъ|V-|3spia----i|въспросітъ|1406|въспросити
хлѣба|Nb|-s---mg--i|хлѣба|783|хлѣбъ
Е̄да|Du|---------n|еда|869|еда
камень|Nb|-s---ma--i|камень|870|камꙑ
подастъ|V-|3spia----i|подастъ|491|подати
е̄мѹ|Pp|3s---md--i|емоу|64|и
лі|C-|---------n|лі|469|ли
ръібъі|Nb|-s---fg--i|ръібъі|871|рꙑба
Е̄да|Du|---------n|еда|869|еда
въ|R-|---------n|въ|111|въ
ръібъи|Nb|-s---fg--i|ръібъі|871|рꙑба
мѣсто|Nb|-s---na--i|мѣсто|113|мѣсто
змиѭ̄|Nb|-s---fa--i|зміѭ|872|змиꙗ
подастъ|V-|3spia----i|подастъ|491|подати
емѹ|Pp|3s---md--i|емоу|64|и
ӣлі|C-|---------n|ілі|35|или
а̄ще|G-|---------n|аште|248|аще
просітъ|V-|3spia----i|просітъ|553|просити
а̄ӣца|Nb|-s---ng--i|аіца|2767|аице
Е̄да|Du|---------n|еда|869|еда
подастъ|V-|3saia----i|подастъ|491|подати
е̄мѹ|Pp|3s---md--i|емоу|64|и
скорпіѭ̄|V-|1spia----i|скорпіѭ|0|FIXME
А̄ще|G-|---------n|аште|248|аще
ѹ҅бо|Df|---------n|оубо|6|оубо
въі|Pp|2p---mn--i|въі|266|вꙑ
зьлі|A-|-p---mnpsi|зьлі|522|зълъ
сѫще|V-|-pppamn-si|сѫште|18|бꙑти
ѹ̄мѣе̄те|V-|2ppia----i|оумѣете|874|оумѣти
даѣ̄ни|V-|-puppmn-si|даѣні|0|FIXME
ѣ̄|Pp|3p---na--i|ѣ|64|и
благаѣ|A-|-p---nnpwi|благаѣ|363|благъ
даѣті|V-|--pna----i|даѣті|737|даꙗти
чѧдомъ|Nb|-p---nd--i|чѧдомъ|876|чѧдо
вашимъ|Ps|2p---qd--i|вашімъ|723|вашь
колми|Du|---------n|колмі|812|кольми
паче|Df|-------c-i|паче|827|паче
о҃̄цъ|Nb|-s---mn--i|оцъ|306|отьць
вашъ|Ps|2s---mn--i|вашъ|723|вашь
н҃бснъі|A-|-s---mnpwi|нбснъі|399|небесьнъ
дастъ|V-|3spia----i|дастъ|116|дати
д҃хъ|Nb|-s---mn--i|дхъ|443|доухъ
благь|A-|-s---mnpsi|благь|363|благъ
просѧщиӣмъ|V-|-pppapd-wi|просѧштіімъ|553|просити
ѹ̄|R-|---------n|оу|736|оу
него|Pp|3s---mg--i|него|64|и
Бъістъ|V-|3saia----i|бъістъ|18|бꙑти
же|Df|---------n|же|20|же
е̄гда|Dq|---------n|егда|300|ѥгда
г҃лаа̄ше|V-|3siia----i|глааше|102|глаголати
сіӣ|Pd|-s---mn--i|сіі|47|сь
въздвігьши|V-|-supafn-si|въздвігьші|641|въздвигнѫти
е̄тера|Px|-s---fn--i|етера|1287|етеръ
жена|Nb|-s---fn--i|жена|693|жена
глас|Nb|-s---mn--i|глас|382|гласъ
ѡ̈тъ|R-|---------n|отъ|80|отъ
народа|Nb|-s---mg--i|народа|627|народъ
рече|V-|3saia----i|рече|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
блажено|A-|-s---nnpsi|блажено|526|блаженъ
чрѣво|Nb|-s---nn--i|чрѣво|1291|чрѣво
ношьшее̄|V-|-supann-wi|ношьшее|329|носити
тѧ|Pp|2s---ma--i|тѧ|304|тꙑ
ӣ|C-|---------n|і|13|и
сосьца|Nb|-d---mn--i|сосьца|2773|съсьць
ѣ̄же|Pr|-d---ma--i|ѣже|96|иже
е̄сі|V-|2spia----i|есі|18|бꙑти
сьсалъ|V-|-sspamn-si|сьсалъ|1684|съсати
О̄нъ|Pd|-s---mn--i|онъ|83|онъ
же|Df|---------n|же|20|же
ре̄ч̄̄е|V-|3saia----i|рече|106|рещи
Тѣмъ|Pd|-s---ni--i|тѣмъ|105|тъ
же|Df|---------n|же|20|же
ѹ̄бо|Df|---------n|оубо|6|оубо
блажені|A-|-p---mnpsi|блажені|526|блаженъ
слъишѧщиӣ|V-|-pppamn-wi|слъішѧштіі|689|слꙑшати
слово|Nb|-s---na--i|слово|520|слово
б҃жіе̄|A-|-s---napsi|бжіе|239|божии
ӣ|C-|---------n|і|13|и
хранѧштіӣ|V-|-pppamn-wi|хранѧштіі|448|хранити
е̄|Pp|3p---ma--i|е|64|и
Ничтоже|Px|-s---nn--i|нічтоже|657|ничьтоже
покръвено|V-|-suppnn-si|покръвено|1157|покрꙑти
е̄стъ|V-|3spia----i|естъ|18|бꙑти
е̄же|Pr|-s---nn--i|еже|96|иже
не|Df|---------n|не|8|не
о̄тъкръие̄тъ|V-|3spia----i|отъкръіетъ|1158|отъкрꙑти
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
таӣно|A-|-s---nnpsi|таіно|1159|таинъ
е̄же|Pr|-s---nn--i|еже|96|иже
не|Df|---------n|не|8|не
разѹмѣе̄тъ|V-|3spia----i|разоумѣетъ|1260|разоумѣти
сѧ|Pk|3s---qa--i|сѧ|21|себе
Зане|Df|---------n|зане|1227|занѥ
е̄ліко|Pr|---------n|еліко|2092|ѥликъ
въ|R-|---------n|въ|111|въ
тьмѣ|Nb|-s---fl--i|тьмѣ|810|тьма#1
рѣсте|V-|3daia----i|рѣсте|106|рещи
въ|R-|---------n|въ|111|въ
свѣтѣ|Nb|-s---ml--i|свѣтѣ|809|свѣтъ#1
ѹ̄слъішітъ|V-|3spia----i|оуслъішітъ|582|оуслꙑшати
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
е̄же|Pr|-s---na--i|еже|96|иже
въ|R-|---------n|въ|111|въ
ѹ̄хо|Nb|-s---na--i|оухо|1160|оухо
г҃ласте|V-|3daia----i|гласте|102|глаголати
въ|R-|---------n|въ|111|въ
таилиштихъ|Nb|-p---nl--i|таіліштіхъ|2796|таилище
проповѣ|V-|1daia----i|проповѣ|386|проповѣдати
сѧ|Pk|3s---qa--i|сѧ|21|себе
на|R-|---------n|на|117|на
кровѣхъ|Nb|-p---ml--i|кровѣхъ|378|кровъ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
же|Df|---------n|же|20|же
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
