ӣродъ|Ne|-s---mn--i|іродъ|1396|иродъ
ц҃рь|Nb|-s---mn--i|црь|275|цѣсарь
сьмѧте|V-|3saia----i|сьмѧте|1095|съмѧсти
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|Pp|3s---ma--i|і|64|и
весь|Px|-s---mn--i|весь|54|вьсь
ӣе̄р̄слмъ|Ne|-s---mn--i|іерслмъ|717|иѥроусалимъ
съ|R-|---------n|съ|92|съ
німъ|Pp|3s---mi--i|німъ|64|и
ӣ|C-|---------n|і|13|и
събьравъ|V-|-supamn-si|събьравъ|233|събьрати
вьсѧ|Px|-p---ma--i|вьсѧ|54|вьсь
а̄рх̄ие̄ре̄ѩ̄|Nb|-p---ma--i|архіереѧ|943|архиереи
ӣ|C-|---------n|і|13|и
кьніжьникъі|Nb|-p---ma--i|кьніжьнікъі|928|кънижьникъ
людьскъіѩ̄|A-|-p---mapwi|людьскъіѧ|1693|людьскъ
въпрашаа̄ше|V-|3siia----i|въпрашааше|1505|въпрашати
ѩ̄|Pp|3p---ma--i|ѧ|64|и
кьде|Du|---------n|кьде|993|къде
х҃ъ|Ne|-s---mn--i|хъ|305|христ(ос)ъ
раждае̄тъ|V-|3spia----i|раждаетъ|3209|раждати
сѧ|Pk|3s---qa--i|сѧ|21|себе
о̄ни|Pd|-p---mn--i|оні|83|онъ
же|Df|---------n|же|20|же
рѣшѧ|V-|3paia----i|рѣшѧ|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
въ|R-|---------n|въ|111|въ
віѳлео̄ми|Ne|---------n|віѳлеомі|6662|виѳлеемь
ӣю̄деӣстѣӣ|A-|-s---flpwi|іюдеістѣі|1587|июдеискъ
Тако|Df|---------n|тако|48|тако
бо|Df|---------n|бо|94|бо
пісано|V-|-suppnn-si|пісано|32|пьсати
е̄стъ|V-|3spia----i|естъ|18|бꙑти
ӣ|C-|---------n|і|13|и
тъі|Pp|2s---mn--i|тъі|304|тꙑ
віѳлее̄ме|Ne|-s---mv--i|віѳлееме|2473|витьлеемъ
земле|Nb|-s---fg--i|земле|210|землꙗ
ӣю̄дова|V-|3saia----i|іюдова|0|FIXME
Нічімъ|V-|1ppma----i|нічімъ|0|FIXME
же|Df|---------n|же|20|же
меньші|A-|-s---mncwi|меньші|0|FIXME
е̄сі|V-|2spia----i|есі|18|бꙑти
вь|R-|---------n|вь|111|въ
в҃лдкахъ|Nb|-p---fl--i|влдкахъ|402|владꙑка
ӣю̄довахъ|A-|-p---flpsi|іюдовахъ|2442|июдовъ
и҅с|Ne|-s---mn--i|іс|343|исоусъ
тебе|Pp|2s---mg--i|тебе|304|тꙑ
бо|Df|---------n|бо|94|бо
ӣзідетъ|V-|3spia----i|ізідетъ|684|изити
вождъ|Nb|-s---mn--i|вождъ|1452|вождь
ꙇ̄же|Pr|-s---mn--i|іже|96|иже
ѹ̄пасетъ|V-|3spia----i|оупасетъ|3263|оупасти
люді|Nb|-p---ma--i|люді|564|людиѥ
своѩ̄|Pt|3p---ma--i|своѧ|217|свои
и҃҅лѣ|Ne|-s---mg--i|ілѣ|312|издраиль
Тогда|Df|---------n|тогда|673|тъгда
ӣродъ|Ne|-s---mn--i|іродъ|1396|иродъ
таӣ|Df|---------n|таі|3136|таи
призьвавъ|V-|-supamn-si|прізьвавъ|598|призъвати
вльх̄въи|Nb|-p---mi--i|вльхвъі|4593|влъхвъ
ӣсп҅ъіта|V-|3saia----i|іспъіта|1130|испꙑтати
ѡт|R-|---------n|от|80|отъ
ніхъ|Pp|3p---ml--i|ніхъ|64|и
врѣмѧ|Nb|-s---nn--i|врѣмѧ|268|врѣмѧ
ѣ̄вльшѧѩ̄|A-|-s---fgcwi|ѣвльшѧѧ|0|FIXME
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѕв̄ѣздъі|Nb|-p---fn--i|звѣздъі|1853|ѕвѣзда
Ӣ|C-|---------n|і|13|и
посьлавь|V-|-supamn-si|посьлавь|63|посълати
ѩ̄|Pp|3p---ma--i|ѧ|64|и
въ|R-|---------n|въ|111|въ
віѳлео̄мъ|Nb|-p---md--i|віѳлеомъ|0|FIXME
рече|V-|3saia----i|рече|106|рещи
шедьше|V-|-pupamn-si|шедьше|671|ити
ӣспъітаӣте|V-|2ppma----i|іспъітаіте|1130|испꙑтати
ӣзвѣстъно|A-|-s---nnpsi|ізвѣстъно|2972|извѣстьнъ
о̄|R-|---------n|о|1|о
о̄трочѧті|V-|--pna----i|отрочѧті|0|FIXME
ӣ|C-|---------n|і|13|и
е̄гд̄а|Dq|---------n|егда|300|ѥгда
о̄брѧштете|V-|2ppia----i|обрѧштете|225|обрѣсти
вьзвѣстите|V-|2ppma----i|вьзвѣстіте|1025|възвѣстити
мі|Pp|1s---md--i|мі|440|азъ
да|G-|---------n|да|366|да
ӣ|Df|---------n|і|91|и
а̄зь|Pp|1s---mn--i|азь|440|азъ
шедъ|V-|-supamn-si|шедъ|671|ити
поклонѭ|V-|1spia----i|поклонѭ|1434|поклонити
сѧ|Pk|3s---qa--i|сѧ|21|себе
