е|Pp3s---na--i|е̄
ошедъшем|V--supamd-si|О̄шедъшем
онъ|Pd-s---mn--i|О̄нъ
же|Df---------n|же
въставъ|V--supamn-si|въставъ
поѧтъ|V-3saia----i|поѩтъ
отрочѧ|Nb-s---na--i|о̄трочѧ
і|C----------n|и
мтръ|Nb-s---ma--i|мтръ
его|Pp3s---mg--i|е̄го
ноштіѭ|Nb-s---fi--i|нощиѭ̄
і|C----------n|ӣ
отіде|V-3saia----i|о̄тіде
въ|R----------n|въ
егупетъ|Nb-s---mn--i|е̄ꙉѵпетъ
і|C----------n|й
бѣ|V-3siia----i|бѣ
тоу|Df---------n|тѹ
до|R----------n|до
оумрътвіѣ|Nb-s---ng--i|ѹм̄р̄ъ̄тв̄иѣ̄
іродова|A--s---ngpsi|ӣродова
да|Df---------n|Да
събѫдетъ|V-3spia----i|събѫдетъ
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
от|R----------n|от
га|Nb-s---mg--i|г҃а
прркмъ|Nb-p---md--i|п҃рркмъ
глштемъ|V--pppamd-si|г҃лщемъ
от|R----------n|Ѡт
егупта|Ne-s---mg--i|е̄ꙉѵпт̄а
възъвахъ|V-1saia----i|възъвахъ
снъ|Nb-s---mn--i|с҃нъ
моі|Ps1s---mn--i|моӣ
тогда|Df---------n|Тогда
іродъ|Ne-s---mn--i|и҅родъ
відѣвъ|V--supamn-si|відѣвъ
ѣко|G----------n|ѣ̄ко
порѫганъ|V--suppmn-si|порѫганъ
бъіс|V-3saia----i|бъис
отъ|R----------n|о̄тъ
влъхвъ|Nb-s---mn--i|влъ̄хвъ
ізбі|V-3saia----i|Ӣзби
всѧ|Px-p---ma--i|вс̄ѧ
отрокъі|Nb-p---ma--i|о̄трокъи
сѫштѧѧ|V--pppama-si|сѫщѧѩ̄
въ|R----------n|въ
віѳлеемі|Ne-s---fl--i|виѳлее҅м̄и
і|C----------n|ӣ
въ|R----------n|въ
всѣхъ|Px-p---nl--i|вс҅ѣхъ
прѣдѣлѣхъ|Nb-p---nl--i|прѣдѣлѣхъ
еѧ|Pp3s---fg--i|е҅̄ѩ
отъ|R----------n|ѡ̄̄тъ
двою|Ma-d---ng--i|дво̄ю̄
лѣтоу|Nb-d---ng--i|лѣтѹ
і|C----------n|ӣ
ніже|Df-------c-i|ниже
по|R----------n|по
лѣтоу|Nb-s---nd--i|лѣтѹ
еже|Pr-s---na--i|е̄же
іспъіта|V-3saia----i|ӣ̄спъита
отъ|R----------n|о҅тъ
влъхвъ|Nb-p---mg--i|вл̄ъ̄хв̄ъ
тогда|Df---------n|Тогд҅а
събъіс|Ne-s---mn--i|събъис
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
