відѣтъ|V----u--a--i|видѣтъ
пррка|Nb-s---mg--i|п҃ррка
лі|Du---------n|лі
еі|I----------n|Еи
глѭ|V-1spia----i|г҃лѭ
вамъ|Pp2p---qd--i|вамъ
і|C----------n|ӣ
ліше|A--s---nacsi|лише
пррка|Nb-s---mg--i|п҃ррка
сь|Pd-s---mn--i|Сь
бо|Df---------n|бо
есть|V-3spia----i|ѐ̄сть
о|R----------n|о̄
немьже|Pr-s---ml--i|немьже
естъ|V-3spia----i|е̄стъ
пісано|V--suppnn-si|пісано
се|I----------n|Се
азь|Pp1s---mn--i|а̄зь
посьлѭ|V-1spia----i|посьлѭ
англъ|Nb-s---ma--i|а҃̄нꙉлъ
моі|Ps1s---ma--i|моӣ
прѣдь|R----------n|прѣдь
ліцемь|Nb-s---ni--i|ліцемь
твоімъ|Ps2s---ni--i|твоӣмъ
і|C----------n|ӣ
оуготовітъ|V-3spia----i|ѹ̄готовитъ
пѫть|Nb-s---ma--i|пѫть
твоі|Ps2s---ma--i|твоӣ
прѣдъ|R----------n|прѣдъ
тобоѭ|Pp2s---qi--i|тобоѭ̄
амін|I----------n|А̄мін
глѭ|V-1spia----i|г҃лѭ
вамъ|Pp2p---qd--i|вамъ
не|Df---------n|не
въстанетъ|V-3spia----i|въстанетъ
въ|R----------n|въ
рожденъіхъ|V--puppql-wi|рожденъіхъ
женамі|Nb-p---fi--i|жен̄амі
болеі|A--s---mncsi|болеӣ
іоана|Ne-s---mg--i|и)о̄а҅на
крстлѣ|Nb-s---mg--i|к҃рстлѣ
мьніі|A--s---mncti|мьніꙇ̄
же|Df---------n|же
въ|R----------n|въ
црствѣ|Nb-s---nl--i|ц҃рствѣ
нбснѣмъ|A--s---nlpwi|н҃бснѣмъ
боліі|A--s---mncti|болиі̄
его|Pp3s---mg--i|е҅̄го
естъ|V-3spia----i|е̄стъ
отъ|R----------n|Ѡ҅҅тъ
дьнеі|Nb-p---mg--i|дьнеꙇ̄
же|Df---------n|же
іоана|Ne-s---mg--i|ӣо̄а̄на
крстлѣ|Ne-s---mg--i|к҃рстлѣ
до|R----------n|до
селѣ|Nb-s---nl--i|селѣ
црство|Nb-s---nn--i|ц҃рство
нбсное|A--s---nnpwi|н҃бсное̄
нѫдітъ|V-3spia----i|нѫдитъ
сѧ|Pk3s---qa--i|сѧ
і|C----------n|И҅̄
нѫждъніці|Nb-p---mn--i|нѫждъници
въсхъітаѭтъ|V-3ppia----i|въсхъитаѭ҅̄тъ
е|Pp3s---na--i|е̄
въсі|Px-p---mn--i|Въсі
бо|Df---------n|бо
пррці|Nb-p---mn--i|п҃ррци
і|C----------n|ӣ
законъ|Nb-s---mn--i|законъ
до|R----------n|до
іоана|Ne-s---mg--i|ӣо̄а̄на
прорѣшѧ|V-3paia----i|прорѣшѧ
і|C----------n|и
аште|G----------n|а̄ще
хоштете|V-2ppia----i|хоштете
пріѧті|V---pna----i|пріѩ̄ті
тъ|Pd-s---mn--i|тъ
естъ|V-3spia----i|е̄стъ
іліѣ|Ne-s---mn--i|и҅лӣѣ̄
хотѧі|V--sppamn-wi|хотѧӣ
пріті|V---pna----i|прити
імѣѧі|V--sppamn-wi|Ймѣѩ̄ӣ
оуші|Nb-d---na--i|ѹ҅ши
слъішаті|V---pna----i|слъишаті
да|Df---------n|да
слъішітъ|V-3spia----i|слъишітъ
вьсѣ|Px-p---nn--i|вьсѣ
мнѣ|Pp1s---md--i|мн̄ѣ
прѣдана|V--puppnn-si|прѣдана
сѫтъ|V-3ppia----i|сѫтъ
оцмь|Nb-s---mi--i|о҃̄цмь
моімъ|Ps1s---oi--i|моӣмъ
і|C----------n|ӣ
ніктоже|Px-s---pn--i|нікт҅оже
знаетъ|V-3spia----i|знае̄тъ
сна|Nb-s---mg--i|с҃на
тъкмо|Df---------n|тъкм̄о
оцъ|Nb-s---mn--i|о҃̄цъ
ні|C----------n|ні
оца|Nb-s---mg--i|о҃ца
кто|Px-s---qn--i|кто
знаетъ|V-3spia----i|знае̄тъ
тъкмо|Df---------n|тъкм̄о
снъ|Nb-s---mn--i|с҃нъ
і|C----------n|ӣ
емоуже|Pr-s---md--i|е̄мѹже
волітъ|V-3spia----i|волітъ
снъ|Nb-s---mn--i|с҃нъ
отъкръіті|V---pna----i|о̄тъкръіти
прідѣте|V-2ppma----i|Прідѣте
кь|R----------n|кь
мнѣ|Pp1s---md--i|мн̄ѣ
всі|Px-p---mn--i|вс̄и
троуждаѭштеі|V--pppamn-wi|трѹждаѭ̄штеӣ
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
обрѣмененіі|V--puppmn-wi|о̄брѣменениі̄
і|C----------n|ӣ
азь|Pp1s---mn--i|а̄зь
въі|Pp2p---md--i|въи
покоѭ|V-1spia----i|покоѭ̄
вьзьмѣте|V-2ppma----i|Вьзьмѣте
іго|Nb-s---na--i|ӣго
мое|Ps1s---na--i|мое̄
на|R----------n|на
себѣ|Pk3s---pl--i|себѣ
і|C----------n|ӣ
наоучіте|V-2ppma----i|наѹ̄чіте
сѧ|Pk3s---qa--i|сѧ
от|R----------n|от
мене|Pp1s---mg--i|мене
ѣко|G----------n|ѣ̄ко
кротокь|Nb-p---mg--i|кротокь
есмъ|V-1spia----i|е̄смъ̄
і|C----------n|ӣ
сьмѣренъ|A--s---mnpsi|сьмѣренъ
срдцемь|Nb-s---ni--i|с҃рдцемь
і|C----------n|ӣ
обрѧштете|V-2ppia----i|о̄брѧщете
покоі|Nb-s---ma--i|покои
дшамъ|Nb-p---fd--i|д҃шамъ
вашімъ|Ps2p---qd--i|вашимъ
іго|Nb-s---nn--i|Ӣго
бо|Df---------n|бо
мое|Ps1s---nn--i|мое̄
благо|A--s---nnpsi|благо
і|C----------n|и
брѣмѧ|Nb-s---nn--i|брѣмѧ
мое|Ps1s---nn--i|мое̄
легько|Df-------p-i|легько
есть|V-3spia----i|е̄сть
по|R----------n|по
ісѣ|Ne-s---ml--i|и҃̄сѣ
ідѫ|V-3paia----i|ӣдѫ
народі|Nb-p---mn--i|народі
мнозі|A--p---mnpsi|мн̄оѕі
і|C----------n|ӣ
іцѣлі|V-3saia----i|ӣцѣлі
ѧ|Pp3p---ma--i|ѩ̄
вьсѧ|Px-p---pa--i|вьсѧ
і|C----------n|ӣ
запрѣті|V-3saia----i|запрѣті
імъ|Pp3p---md--i|ӣмъ
да|G----------n|да
не|Df---------n|не
авѣ|Df---------n|а̄вѣ
его|Pp3s---mg--i|е̄го
творѧтъ|V-3ppia----i|творѧтъ
да|G----------n|да
събѫдетъ|V-3spia----i|събѫдетъ
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
ісаіемъ|Nb-s---mi--i|ӣсаӣе̄мъ
прркомъ|Ne-s---mi--i|п҃рркомъ
глѭштемъ|V--sppaoi-si|г҃лѭштемъ
се|Pd-s---mn--i|се
отрокъ|Nb-s---mn--i|о̄трокъ
моі|Ps1s---mn--i|моӣ
егоже|Pr-s---mg--i|е̄гоже
ізволіхъ|V-1saia----i|ӣзволіхъ
възлюбленъі|V--suppmn-wi|възлюбленъі
моі|Ps1s---mn--i|моӣ
на|R----------n|на
ньже|Pr-s---ma--i|ньже
благоізволі|V-3saia----i|благоӣзволі
дша|Nb-s---fn--i|д҃ша
моѣ|Ps1s---fn--i|моѣ̄
положѫ|V-1spia----i|положѭ
дхъ|Nb-s---ma--i|д҃хъ
моі|Ps1s---ma--i|моӣ
на|R----------n|на
немъ|Pp3s---ml--i|немъ
і|C----------n|ӣ
сѫдъ|Nb-s---ma--i|сѫдъ
ѧзъікомъ|Nb-p---md--i|ѩ̄зъикомъ
възвѣстітъ|V-3spia----i|възвѣститъ
не|Df---------n|не
прѣречетъ|V-3spia----i|прѣречетъ
ні|C----------n|ни
вьзьпіетъ|V-3spia----i|вьзьпіе̄тъ
ні|C----------n|ни
оуслъішітъ|V-3spia----i|ѹ̄слъішітъ
ніктоже|Px-s---mn--i|никт̄оже
на|R----------n|на
распѫтііхь|V--pppamg-wi|распѫтіӣхь
гласа|Nb-s---mg--i|гласа
его|Pp3s---mg--i|е̄го
трьсті|Nb-s---fg--i|трьсті
ськроушенъі|V--suppfg-si|ськрѹшенъи
і|C----------n|ӣ
плата|Nb-s---mg--i|плата
вънемъша|V--supaog-si|вънемъша
сѧ|Pk3s---qa--i|сѧ
не|Df---------n|не
оугасітъ|V-3spia----i|ѹ̄гасітъ
доідеже|G----------n|Доӣдеже
вьзведетъ|V-3spia----i|вьзведетъ
на|R----------n|на
побѣдѫ|Nb-s---fa--i|побѣдѫ
сѫдъ|Nb-s---ma--i|сѫдъ
і|C----------n|ӣ
на|R----------n|на
імѧ|Nb-s---na--i|ӣмѧ
его|Pp3s---mg--i|е̄го
ѧзъіці|Nb-p---mn--i|ѩ̄зъіци
оупъваѭтъ|V-3ppia----i|ѹ̄пъваѭ̄тъ
іже|Pr-s---mn--i|ꙇ҅же
нѣстъ|V-3spia----i|нѣстъ
съ|R----------n|съ
мноѭ|Pp1s---mi--i|мноѭ̄
на|R----------n|на
мѧ|Pp1s---ma--i|мѧ
естъ|V-3spia----i|е̄стъ
і|C----------n|ӣ
іже|Pr-s---mn--i|ꙇ̄же
не|Df---------n|не
събіраетъ|V-3spia----i|събіраетъ
съ|R----------n|съ
мьноѭ|Pp1s---mi--i|мьноѭ̄
растачаетъ|V-3spia----i|растачае̄тъ
сего|Pd-s---ng--i|Сего
раді|R----------n|раді
глѭ|V-1spia----i|г҃лѭ
вамъ|Pp2p---md--i|вамъ
всѣкъ|A--s---mnpsi|Всѣ̄къ
грѣхъ|Nb-s---mn--i|грѣхъ
і|C----------n|ӣ
хоула|Nb-s---fn--i|хѹла
отъпоустітъ|V-3spia----i|о̄тъпѹстітъ
сѧ|Pk3s---qa--i|сѧ
члкомъ|Nb-p---md--i|ч҃лкомъ
а|C----------n|А̀
ѣже|Pr-s---fn--i|ѣ̄же
на|R----------n|на
дхъ|Nb-s---ma--i|д҃хъ
хоула|Nb-s---fn--i|хѹла
не|Df---------n|не
отпоустіт|V-3spia----i|отпѹстит
сѧ|Pk3s---qa--i|сѧ
члкомъ|Nb-p---md--i|ч҃лкомъ
і|C----------n|ӣ
іже|Pr-s---mn--i|ꙇ̄же
коліждо|Df---------n|коліждо
речетъ|V-3spia----i|речетъ
слово|Nb-s---nn--i|слово
на|R----------n|на
сна|Nb-s---mg--i|с҃на
члчъскааго|A--s---ogpwi|ч҃лчъскаа̄го
отпоустітъ|V-3spia----i|ѡтпѹститъ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
а|C----------n|А̄
іже|Pr-s---mn--i|ꙇ̄же
речетъ|V-3spia----i|речетъ
на|R----------n|на
дхъ|Nb-s---ma--i|д҃хъ
стъі|A--s---mapwi|с҃тъи
не|Df---------n|не
отпоустітъ|V-3spia----i|ѡтпѹститъ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
ні|C----------n|ни
вь|R----------n|вь
сь|Pd-s---ma--i|сь
вѣкъ|Nb-s---ma--i|вѣкъ
ні|C----------n|ни
в|R----------n|в
грѧдѫштіі|V--sppama-wi|грѩдѫштиі̆
лі|C----------n|ли
сътворіте|V-2ppma----i|сътворите
дрѣво|Nb-s---na--i|дрѣво
добро|A--s---napsi|добро
і|C----------n|ӣ
плодъ|Nb-s---ma--i|плодъ
его|Pp3s---ng--i|е̄го
добръ|A--s---mapsi|добръ
лі|C----------n|лі
сътворіте|V-2ppma----i|сътворіте
дрѣво|Nb-s---na--i|дрѣво
зьло|A--s---napsi|зьло
і|C----------n|ӣ
плодъ|Nb-s---ma--i|плодъ
его|Pp3s---mg--i|его
зьлъ|A--p---ngpsi|зьлъ
от|R----------n|Ѡт
плода|Nb-s---mg--i|плода
бо|Df---------n|бо
дрѣво|Nb-s---nn--i|дрѣво
познано|V--suppnn-si|познано
бѫдетъ|V-3sfia----i|бѫдетъ
іштѧдіа|Nb-p---nv--i|И҅щѧдиа
ехідьнова|A--p---nvpsi|Е̄хидьнова
како|Du---------n|к̄ак̄о
можете|V-2ppia----i|можете
добро|A--s---napsi|добро
глаті|V---pna----i|г҃лати
зьлі|A--p---mnpsi|зьлі
сѫште|V--pppamn-si|сѫще
отъ|R----------n|ѡ̄̄тъ
ізбъітъка|Nb-s---mg--i|ӣзбъитъка
бо|Df---------n|бо
срдцоу|Nb-s---nd--i|срдцю
оуста|Nb-p---nn--i|ѹ̄ста
глѭтъ|V-3ppia----i|г҃лѭтъ
добръіі|A--s---mnpwi|Добръіӣ
члкъ|Nb-s---mn--i|ч҃лкъ
от|R----------n|ѡт
добрааго|A--s---ngpwi|добраа̄го
съкровішта|Nb-s---ng--i|съкровішта
ізносітъ|V-3spia----i|и҅зносітъ
добраѣ|A--p---napwi|добраѣ
а|C----------n|А̄
зьлъіі|A--s---mnpwi|зьлъиӣ
члкь|Nb-s---mn--i|ч҃лкь
отъ|R----------n|ѡтъ
лааго|A--s---ogpwi|лаа̄го
съкровішта|Nb-s---ng--i|съкровіща
ізносітъ|V-3spia----i|ӣзносітъ
зьлаа|A--p---napwi|зьлаа̄
глѭ|V-1spia----i|Г҃лѭ
же|Df---------n|же
вамъ|Pp2p---qd--i|вам(ъ
ѣко|G----------n|ѣко
въсѣко|Df---------n|въсѣко
слово|Nb-s---nn--i|слово
праздъно|A--s---nnpsi|праздъно
еже|Pr-s---na--i|е̄же
аште|Df---------n|аще
рекѫтъ|V-3ppia----i|рекѫтъ
члці|Nb-p---mn--i|ч҃лци
въздадѧтъ|V-3ppia----i|въздадѧтъ
о|R----------n|о
нем|Pp3s---ml--i|нем
слово|Nb-s---na--i|слово
въ|R----------n|въ
ден|Nb-s---ma--i|ден
сѫдънъі|A--s---mapwi|сѫдънъі
отъ|R----------n|Ѡ̄̄тъ
словесъ|Nb-p---ng--i|словесъ
бо|Df---------n|бо
своіхъ|Pt3p---ng--i|своӣхъ
оправдіші|V-2spia----i|о̄правд̄иші
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
словесъі|Nb-p---ni--i|словесъі
своімі|Pt3p---ni--i|своӣми
осѫдіші|V-2spia----i|о̄сѫдиши
сѧ|Pk3s---qa--i|сѧ
подобъно|A--s---nnpsi|Подобъно
естъ|V-3spia----i|е̄стъ
црство|Nb-s---nn--i|ц҃рство
нбсное|A--s---nnpwi|н҃бсное̄
чкоу|Nb-s---md--i|ч҃кѹ
сѣавьшоу|V--supamd-si|сѣа̄вьшѹ
доброе|A--s---napwi|доброе̄
сѣмѧ|Nb-s---na--i|сѣмѧ
на|R----------n|на
селѣ|Nb-s---nl--i|селѣ
своемъ|Pt3s---nl--i|свое̄мъ
сьпѧштемъ|V--pppamd-si|Сьпѧщемъ
же|Df---------n|же
члкмъ|Nb-p---md--i|ч҃лкмъ
пріде|V-3saia----i|пріде
врагь|Nb-s---mn--i|врагь
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
въсѣа|V-3saia----i|въсѣа̄
плѣвелъ|Nb-s---mn--i|плѣвелъ
по|R----------n|по
срѣдѣ|Nb-s---fd--i|срѣдѣ
пшеніцѧ|Nb-s---fg--i|пш҅еницѧ
і|C----------n|ӣ
отіде|V-3saia----i|о̄тіде
егда|Dq---------n|Е̄гда
же|Df---------n|же
прозѧбе|V-3saia----i|проѕѧбе
трѣва|Nb-s---fn--i|трѣва
і|C----------n|ӣ
плодъ|Nb-s---mn--i|плодъ
сътворі|V-3saia----i|сътворі
тогда|Df---------n|тогда
ѣвішѧ|V-3paia----i|ѣ҅вішѧ
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
плѣвелі|A--s---napsi|плѣвелі
прішедъше|V--pupamn-si|Пришедъше
же|Df---------n|же
рабі|Nb-p---mn--i|рабі
гдна|Ma-s---fn--i|г҃дна
рѣшѧ|V-3paia----i|рѣшѧ
емоу|Pp3s---md--i|е̄мѹ
гі|Nb-s---mv--i|Г҃и
не|Df---------n|Не
доброе|A--s---napwi|доброе̄
лі|Du---------n|ли
сѣмѧ|Nb-s---na--i|сѣмѧ
сѣалъ|V--sspamn-si|сѣа̄лъ
есі|V-2spia----i|е̄сі
на|R----------n|на
селѣ|Nb-s---nl--i|селѣ
своемъ|Pt3s---nl--i|свое̄мъ
і|C----------n|ӣ
отъ|R----------n|о̄тъ
кѫдоу|Du---------n|кѫдѹ
оубо|Df---------n|ѹ̄бо
іматъ|V-3spia----i|ӣматъ
плѣвелъі|Nb-p---ma--i|плѣвелъі
онъ|Pd-s---mn--i|О̄нъ
же|Df---------n|же
рече|V-3saia----i|ре)че
імъ|Pp3p---md--i|ӣмъ
врагь|Nb-s---mn--i|Врагь
члкь|Nb-s---mn--i|ч҃лкь
то|Pd-s---na--i|то
сътворі|V-3saia----i|сътворі
оні|Pd-p---mn--i|О̄ні
же|Df---------n|же
рѣшѧ|V-3paia----i|рѣшѧ
хоштеші|V-2spia----i|Хоштеші
лі|Du---------n|лі
да|G----------n|да
шедъше|V--pupamn-si|шедъше
възберемъ|V-1ppia----i|възберемъ
ѧ|Pp3p---ma--i|ѩ̄
онъ|Pd-s---mn--i|О̄нъ
же|Df---------n|же
реч|Ma---------n|реч
ні|Df---------n|ни
еда|Du---------n|Е̄да
како|Du---------n|како
въстръгаѭште|V--pppamn-si|въст҅ръгаѭ̄ште
плѣвелъі|Nb-p---ma--i|плѣвелъі
въстръгнете|V-2ppia----i|въстръгн̄ете
сь|R----------n|сь
німі|Pp3p---mi--i|ними
і|C----------n|ӣ
пшеніцѫ|Nb-s---fa--i|пш̄еницѫ
оставіте|V-2ppma----i|о̄ставіте
коупно|Df---------n|кѹпн̄о
расті|V---pna----i|расти
обое|Ma-s---na--i|о̄бое
до|R----------n|до
жѧтвъі|Nb-s---fg--i|жѩтвъі
і|C----------n|ӣ
въ|R----------n|въ
врѣмѧ|Nb-s---na--i|врѣмѧ
жѧтвѣ|Nb-s---fd--i|жѩтвѣ
рекѫ|V-1spia----i|рекѫ
жѧтелѣнемь|Ne-p---md--i|жѩтелѣнемь
шедъше|V--pupamn-si|Шедъше
ізберѣте|V-2ppma----i|ӣзберѣте
прѣжде|R----------n|прѣжде
плѣвелъі|Nb-p---ma--i|плѣвелъі
і|C----------n|ӣ
съвѧжате|V-2ppma----i|съвѧж̄ате
ѧ|Pp3p---ma--i|ѩ̄
въ|R----------n|въ
снопъі|Nb-p---ma--i|снопъі
ѣко|G----------n|ѣ̄ко
съжешті|V---pna----i|съжешти
ѧ|Pp3p---ma--i|ѩ
а|C----------n|А̄
пшеніцѫ|Nb-s---fa--i|пш̄еницѫ
съберѣте|V-2ppma----i|съберѣте
въ|R----------n|въ
жітьніцѫ|Nb-s---fa--i|житьницѫ
моѭ|Ps1s---fa--i|моѭ̄
прістѫплъше|V--pupamn-si|Пристѫплъше
же|Df---------n|же
оученіці|Nb-p---mn--i|ѹ̄чениці
его|Pp3s---mg--i|е̄го
рѣшѧ|V-3paia----i|рѣшѧ
емоу|Pp3s---md--i|е҅мѹ
гі|Nb-s---mv--i|г҃і
съкажі|V-2spma----i|съкажі
намъ|Pp1p---qd--i|намъ
прітчѫ|Nb-s---fa--i|притч̄ѫ
плѣвелъ|Nb-p---mg--i|плѣвелъ
селънъііхъ|A--p---mgpwi|селънъіӣхъ
отвѣштавъ|V--supamn-si|Ѡтвѣщавъ
же|Df---------n|же
гь|Nb-s---mn--i|г҃ь
рече|V-3saia----i|рече
імъ|Pp3p---md--i|ӣмъ
въсѣавъі|V--supamn-wi|въсѣавъі
доброе|A--s---napwi|доброе̄
сѣмѧ|Nb-s---na--i|сѣмѧ
естъ|V-3spia----i|е̄стъ
снъ|Nb-s---mn--i|с҃нъ
члчь|A--s---mnpsi|ч҃лчь
а|C----------n|А̄
село|Nb-s---nn--i|село
естъ|V-3spia----i|е̄стъ
весь|Px-s---mn--i|весь
міръ|Nb-s---mn--i|миръ
доброе|A--s---nnpwi|Доброе̄
же|Df---------n|же
сѣмѧ|Nb-s---nn--i|сѣмѧ
сіі|Pd-p---mn--i|сіӣ
сѫтъ|V-3ppia----i|сѫтъ
снве|Nb-p---mn--i|с҃нве
црствіѣ|Nb-s---ng--i|ц҃рствиѣ̄
а|C----------n|А̄
плѣвелі|Ne-s---fg--i|плѣвели
сѫтъ|V-3ppia----i|сѫтъ
снве|Nb-p---mn--i|с҃нве
непріѣзніні|A--p---mnpsi|непріѣ̄зніні
а|C----------n|А̄
врагь|Nb-s---mn--i|врагь
вьсѣавъі|V--supamn-wi|вьсѣа̄въі
ѧ|Pp3p---ma--i|ѩ̄
естъ|V-3spia----i|е̄стъ
діаволъ|Nb-s---mn--i|діа̄волъ
а|C----------n|А̄
жѧтва|Nb-s---fn--i|жѩтва
кончаніе|Nb-s---nn--i|конча̄ніе̄
вѣка|Nb-s---mg--i|вѣка
естъ|V-3spia----i|е̄стъ
а|C----------n|А̄
жѧтелѣне|Nb-p---mn--i|жѩтелѣне
англі|Nb-p---mn--i|а҃҅нꙉлі
сѫтъ|V-3ppia----i|сѫтъ
ѣкоже|Dq---------n|Ѣ̄коже
оубо|Df---------n|ѹ̄бо
плѣвелі|A--s---mnpsi|плѣвелі
събіраѭтъ|V-3ppia----i|събіраѭ̄тъ
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
огнемъ|Nb-s---mi--i|о̄г̄немъ
съжагаѭтъ|V-3ppia----i|съжагаѭ̄тъ
сѧ|Pk3s---qa--i|сѧ
тако|Df---------n|Тако
бѫдетъ|V-3sfia----i|бѫдетъ
і|C----------n|ӣ
въ|R----------n|въ
ськоньчаніе|Nb-s---na--i|ськоньчание̄
вѣка|Nb-s---mg--i|вѣка
сего|Pd-s---og--i|сего
посьлетъ|V-3spia----i|Посьлетъ
гь|Nb-s---mn--i|г҃ь
англъі|Nb-p---ma--i|а҃҅нꙉлъи
своѧ|Pt3p---ma--i|своѩ̄
і|C----------n|ӣ
сьберѫтъ|V-3ppia----i|сьберѫтъ
от|R----------n|ѡт
конець|Nb-s---ma--i|конець
землѧ|Nb-s---fg--i|землѧ
въсѧ|Px-p---ma--i|въсѧ
съблазнъі|Nb-p---ma--i|съблазнъі
і|C----------n|ӣ
творѧштѧѧ|V--pppama-wi|творѩщѧѩ̄
безаконіе|Nb-s---na--i|безаконие̄
і|C----------n|ӣ
въвръгѫт|V-3ppia----i|въвръгѫт
ѧ|Pp3p---ma--i|ѩ̄
въ|R----------n|въ
пешть|Nb-s---fa--i|пешть
огньнѫ|A--s---fapsi|о̄гньнѫ
тоу|Df---------n|Тѹ
бѫдет|V-3sfia----i|бѫдет
плачь|Nb-s---mn--i|плачь
і|C----------n|ӣ
скръжетъ|Nb-s---mn--i|скръ̄жетъ
зѫбомъ|Nb-p---md--i|зѫбомъ
тогда|Df---------n|Тогда
праведьніі|A--p---mnpwi|праведьніӣ
просвьтѧт|V-3ppia----i|просвьтѧт̄
сѧ|Pk3s---qa--i|сѩ
ѣко|G----------n|ѣ̄ко
слънце|Nb-s---nn--i|слънц̄е
въ|R----------n|въ
црстві|Nb-s---nl--i|ц҃рстві
оца|Nb-s---mg--i|о҃̄ца
імѣѧі|V--sppamn-wi|Ӣмѣѩ̄ӣ
оуші|Nb-d---na--i|ѹ̄ши
слъішаті|V---pna----i|слъішаті
да|Df---------n|да
слъішітъ|V-3spia----i|слъишитъ
подобьно|A--s---nnpsi|Подобьно
естъ|V-3spia----i|е̄стъ
црство|Nb-s---nn--i|ц҃рство
нбсное|A--s---nnpwi|н҃бсное̄
чкоу|Nb-s---md--i|ч҃кѹ
коупцоу|Nb-s---md--i|кѹпц҅ѹ
іштѫштоу|V--sppamd-si|ӣштѫштѹ
добръ|A--p---qgpsi|добръ
бісеръ|Nb-p---mg--i|бісеръ
іже|Pr-s---mn--i|ꙇ̄же
обрѣтъ|V--supamn-si|о̄брѣтъ
едіного|Ma-s---og--i|е̄діного
многоцѣнъна|A--s---ogpsi|мн̄огоцѣнъна
бісъра|Nb-s---mg--i|бісъра
шедъ|V--supamn-si|Шедъ
продастъ|V-3saia----i|продастъ
