Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
въсе|| 
свое̄|| · 
ӣ|| 
ні|| 
е̄діноѧ̄|| 
польѕѧ|| 
о̄брѣтъші|| · 
нъ|| 
паче|| 
въ|| 
горее̄|| 
въпадъші|| · 
слъішавъші|| 
о̄|| 
ӣс҃ѣ|| · 
прішедъші|| 
въ|| 
народѣ|| · 
сь|| 
ӡаді|| 
прікоснѫ|| 
сѧ|| 
риӡѣ|| 
е̄го|| · 
г҃лаа̄ше|| 
бо|| 
ѣ̄ко|| 
а̄ште|| 
прикоснѫ|| 
сѧ|| 
понѣ|| 
ріӡѣ|| 
е̄го|| 
с҃псена|| 
бѫдѫ|| · 
ӣ|| 
а̄біе̄|| 
ӣсѧкн̄ѫ|| · 
ӣст̄очьникъ|| 
кръве|| 
е̄ѧ̄|| · 
ӣ|| 
раӡоумѣ|| 
тѣломъ|| · 
ѣ̄ко|| 
цѣла|| 
е̄стъ|| 
от҃|| 
ранъі|| · 
Ӣ|| 
а̄бие̄|| 
ӣс҃ъ|| 
о̄щоуті|| 
въ|| 
себѣ|| 
силѫ|| 
ӣшедъшѫ|| 
от҃|| 
него|| · 
ӣ|| 
о̄брашть|| 
сѧ|| 
въ|| 
народѣ|| · 
г҃лаа̄ше|| · 
кт̄о|| 
прікоснѫ|| 
сѧ|| 
риӡахъ|| 
моӣхъ|| · 
ӣ|| 
г҃лаа̄хѫ|| 
е̄моу|| 
о̄ученіци|| 
е̄го|| · 
Видіші|| 
народъ|| 
о̄угнѣтаѭ̄штъ|| 
тѧ|| · 
ӣ|| 
г҃леші|| 
кт̄о|| 
прікоснѫ|| 
сѧ|| 
м̄н̄ѣ|| · 
ӣ|| 
о̄глѧдаа̄ше|| 
сѧ|| 
відѣті|| 
сътворьшѫѭ̄|| 
се|| · 
жена|| 
же|| 
о̄убоѣвъші|| 
сѧ|| · 
ӣ|| 
трепештѫшті|| · 
вѣдѫщі|| 
е̄же|| 
бъіс҃|| 
е̄ӣ|| · 
пріде|| 
ӣ|| 
припаде|| 
кь|| 
немоу|| · 
ӣ|| 
рече|| 
е̄моу|| 
вьсѭ|| 
ӣстінѫ|| · 
О̄нъ|| 
же|| 
рече|| 
е̄ӣ|| · 
дьщи|| 
вѣра|| 
твоѣ|| 
с҃псе|| 
тѧ|| · 
иди|| 
в|| 
мир҃|| ·· - 
слъишавъ|| 
ӣродъ|| 
ц҃ръ|| · 
слоухъ|| 
х҃въ|| · 
Ѣ̄вѣ|| 
бо|| 
бъис҃|| 
ӣмѧ|| 
е̄го|| · 
г҃лаа̄ше|| 
ѣ̄ко|| 
ӣо̄а̄нъ|| 
въста|| 
᾽отъ|| 
мрътвъиӣхъ|| · 
ӣ|| 
сего|| 
ради|| 
сілъі|| 
дѣѭ̄тъ|| 
сѧ|| 
о̄|| 
немъ|| · 
ӣни|| 
же|| 
г҃лаа̄хѫ|| 
᾽ѣко|| 
ӣліѣ|| 
е̄стъ|| · 
ӣни|| 
же|| 
г҃лаахѫ|| 
ѣ̄ко|| 
п҃рркъ|| 
е̄стъ|| · 
Ѣ̄ко|| 
единъ|| 
о̄тъ|| 
прр҃къ|| 
е̄стъ|| · 
слъишавъ|| 
же|| 
ӣродъ|| 
рече|| · 
ѣ̄ко|| 
егоже|| 
о̄усѣкн̄ѫхъ|| 
ӣо̄а̄на|| · 
сь|| 
е̄стъ|| · 
тъ|| 
въста|| 
о̄тъ|| 
мрътвъиӣхъ|| · 
Тъ|| 
бо|| 
ӣродъ|| 
посълавъ|| 
ѧтъ|| 
ӣо̄а̄на|| · 
ӣ|| 
съвѧӡа|| 
ӣ|| 
въ|| 
темьніци|| · 
ӣродиа̄дъи|| 
раді|| · 
женъі|| 
філіпа|| 
брата|| 
свое̄го|| · 
Ѣ̄ко|| 
о̄жені|| 
сѧ|| 
е̄ѭ̄|| · 
Г҃лаше|| 
бо|| 
ӣо̄а̄нъ|| 
иродоу|| · 
Ѣ̄ко|| 
не|| 
достоӣтъ|| 
тебѣ|| 
ӣмѣті|| · 
женъи|| 
брата|| 
свое̄го|| · 
Ӣродиа̄|| 
же|| 
гнѣваа̄ше|| 
сѧ|| 
на|| 
нъ|| · 
й|| 
хотѣаше|| 
о̄убіті|| 
ӣ|| · 
᾽и|| 
не|| 
можаа̄ше|| · 
Ӣродъ|| 
бо|| 
боѣ̄а̄ше|| 
сѧ|| 
ӣо̄а̄на|| · 
вѣдъи|| 
мѫжа|| 
праведъна|| 
ӣ|| 
с҃та|| · 
ӣ|| 
хранѣа̄ше|| 
ӣ|| · 
ӣ|| 
послоушавъ|| 
е̄го|| 
много|| 
творѣаше|| · 
ӣ|| 
въ|| 
сластъ|| 
послоушаа̄ше|| 
е̄го|| · 
Ӣ|| 
приключьшю|| 
сѧ|| · 
дьні|| 
потрѣбьноу|| · 
е̄гда|| 
ӣродъ|| 
рождъствоу|| 
свое̄моу|| · 
вечерѭ|| 
творѣа̄ше|| · 
кьнѧѕем|| 
своӣмъ|| 
ӣ|| 
тъисѫщъникомъ|| · 
ӣ|| 
старѣ᾽ишинамъ|| 
галиле᾽искъиӣмъ|| · 
ӣ|| 
въшедьши|| 
дьщери|| 
е̄ѧ̄|| 
ӣродиа̄дѣ|| 
плѧсавъши|| · 
ӣ|| 
оугождьши|| 
ӣродоу|| · 
ӣ|| 
въӡлежѧщиӣмъ|| 
сь|| 
нимъ|| · 
Рече|| 
ц҃рь|| 
дѣвіци|| · 
Проси|| 
о̄у|| 
мене|| 
е̄моуже|| 
хоще[си]|| 
ӣ|| 
дамъ|| 
ті|| · 
Ӣ|| 
клѧтъ|| 
сѧ|| 
е̄ӣ|| · 
ѣ̄ко|| 
е̄гоже|| 
просіши|| 
дамъ|| 
ти|| · 
до|| 
полъ|| 
ц҃рьства|| 
мое̄го|| · 
о̄на|| 
же|| 
шедъші|| 
рече|| 
м҃трі|| 
свое̄ӣ|| · 
чесо|| 
прошѫ|| · 
о̄на|| 
же|| 
рече|| 
главъі|| 
ӣо̄а̄на|| 
к҃рстлѣ|| · 
ӣ|| 
въшедъші|| 
съ|| 
тъщаніе̄мъ|| 
кь|| 
ц҃роу|| · 
проси|| 
г҃лщи|| · 
Хощѫ|| 
да|| 
ми|| 
дасі|| 
сеӣци|| 
на|| 
блюдѣ|| 
главѫ|| 
ӣо̄а̄на|| 
к҃рстлѣ|| · 
ӣ|| 
пріскръбенъ|| 
бъивъ|| 
ц҃ръ|| 
ӡа|| 
клѧтвѫ|| · 
ӣ|| 
въӡлежѧщиӣ|| 
съ|| 
нимъ|| · 
не|| 
въсхотѣ|| 
о̄търешті|| 
сѧ|| 
е̄ӣ|| · 
Ӣ|| 
а̄бие̄|| 
посълавъ|| 
ц҃ръ|| 
спекѹлатора|| · 
повелѣ|| 
принесті|| 
главѫ|| 
е̄го|| · 
о̄нъ|| 
же|| 
шедъ|| 
о̄усѣкнѫ|| 
ӣ|| 
въ|| 
темьници|| · 
ӣ|| 
принесе|| 
главѫ|| 
е̄го|| 
на|| 
блю̄дѣ|| · 
ӣ|| 
дастъ|| 
ѭ̄|| 
дѣвици|| · 
ӣ|| 
дѣвица|| 
дастъ|| 
м҃три|| 
свое̄ӣ|| · 
ӣ|| 
слъішавъше|| 
о̄ученіци|| 
е̄го|| · 
прідѫ|| 
ӣ|| 
въӡѧшѧ|| 
тѣло|| 
е̄го|| · 
ӣ|| 
положишѧ|| 
ӣ|| 
въ|| 
гробѣ|| · 
ӣ|| 
събърашѧ|| 
сѧ|| 
а̄п҃лі|| 
къ|| 
ӣс҃оу|| · 
ӣ|| 
въӡвѣстишѧ|| 
вьсѣ|| · 
᾽елико|| 
сътворишѧ|| · 
ӣ|| 
е̄ліко|| 
на᾽оучишѧ|| ··̅ - 
ӣшед|| 
᾽҃исъ|| · 
ѡт҃|| 
прѣдѣлъ|| 
тѹрескъ|| 
ӣ|| 
сидонеск̄ъ|| · 
пріде|| 
на|| 
море|| 
галілеӣск̄о|| · 
междю|| 
прѣдѣлъи|| 
декапольскъи|| · 
Ӣ|| 
привѣсѧ|| 
кь|| 
немоу|| · 
гл̄оуха|| 
ӣ|| 
нѣма|| · 
ӣ|| 
молѣа̄хѫ|| 
ӣ|| 
да|| 
въӡложітъ|| 
на|| 
нь|| 
рѫкѫ|| · 
῾И|| 
пое̄мъ|| 
ӣ|| · 
е̄діного|| 
от҃|| 
народа|| · 
въдѣ|| 
пръстъи|| 
сво᾽ѧ|| 
въ|| 
о̄уши|| 
е̄го|| · 
ӣ|| 
плінѫвъ|| 
коснѫ|| 
въ|| 
ѧ̄ӡъікъ|| 
е̄го|| · 
ӣ|| 
въӡьрѣвъ|| 
на|| 
н҃бо|| 
въӡдъх᾽нѫ|| · 
ӣ|| 
г҃ла|| 
᾽е᾽ффа̄та|| · 
Е̄же|| 
е̄стъ|| · 
раӡвръӡи|| 
сѧ|| · 
ӣ|| 
абіе̄|| 
раӡвръӡосте|| 
сѧ|| 
слоуха|| 
е̄го|| · 
ӣ|| 
раӡ᾽дрѣші|| 
сѧ|| 
ѫ̄ӡа|| 
ѧ̄ӡ҃ка|| 
е̄го|| · 
῾И|| 
г҃ла᾽аше|| ·· 
чісто|| · 
ӣ|| 
ӡапрѣти|| 
ӣмъ|| · 
да|| 
ни[ко]моуже|| 
не|| 
повѣдѧтъ|| · 
е̄лікоже|| 
ӣм|| 
ӡапрѣті|| · 
о̄нӣ|| 
паче|| 
ӣӡлӣха|| 
проповѣдаа̄хѫ|| · 
ӣ|| 
прѣӣӡліха|| · 
дівлѣахѫ|| 
сѧ|| 
г҃лще|| · 
добрѣ|| 
вьсе|| 
творітъ|| · 
Ӣ|| 
глоухъиѧ̄|| 
сътворі|| 
слъишаті|| · 
Ӣ|| 
нѣмъиѧ̄|| 
г҃лати|| ·· · - 
ӣӡиде|| 
ӣс҃ъ|| · 
ӣ|| 
о̄ученици|| 
᾽его|| · 
Въ|| 
странѫ|| 
кесариѧ̄|| 
філиповъи|| · 
Ӣ|| 
на|| 
пѫти|| 
въпрашаа̄ше|| 
о̄ученикъи|| 
своѧ̄|| 
г҃лѧ|| · 
кого|| 
мѧ|| 
г҃лѭтъ|| 
ч҃лци|| 
бъити|| · 
О̄ни|| 
же|| 
о̄тъвѣщашѧ|| · 
О̄ви|| 
᾽и᾽о᾽ана|| 
к҃рстлѣ|| · 
᾽ини|| 
же|| 
ӣлиѭ̄|| · 
а̄|| 
дроуѕіӣ|| 
е̄диного|| 
о̄тъ|| 
пррок҃|| · 
ӣ|| 
тъ|| 
г҃ла|| 
ӣмъ|| · 
въи|| 
же|| 
кого|| 
мѧ|| 
г҃лете|| 
бъіті|| · 
О̄тъвѣщавъ|| 
же|| 
петръ|| 
г҃ла|| 
е̄моу|| · 
Тъи|| 
е̄си|| 
х҃ъ|| · 
Ӣ|| 
ӡапрѣті|| 
ӣмъ|| 
да|| 
никомоуже|| 
не|| 
г҃лѭтъ|| 
о̄|| 
немъ|| · 
ӣ|| 
начѧтъ|| 
о̄учити|| 
ѧ̄|| · 
Ѣ̄ко|| 
подобае̄тъ|| 
с҃ноу|| 
ч҃лчю|| · 
мно̄го|| 
постр̄адаті|| · 
Ӣ|| 
ӣскоушеноу|| 
бъиті|| · 
῾Ѡ̄тъ|| 
старець|| 
ӣ|| 
арх̄ие̄реӣ|| 
ӣ|| 
кьнижьникь|| · 
ӣ|| 
о̄убие̄ноу|| 
бъи҃ті|| · ·:· 
ӣ|| 
по|| 
трехъ|| 
дънехъ|| 
въскръс᾽нѫті|| ·· - 
і̄же|| 
хощет|| 
по|| 
мн̄ѣ|| 
ӣті|| · 
Да|| 
о̄тъвръжетъ|| 
сѧ|| 
себе|| · 
ӣ|| 
въӡьметъ|| 
к҃рстъ|| 
своӣ|| 
ӣ|| 
по|| 
мьнѣ|| 
грѧдет|| · 
і̄же|| 
бо|| 
а̄ште|| 
хощетъ|| 
с҃псті|| 
д҃шѫ|| 
своѭ̄|| 
погоубитъ|| 
ѭ̄|| · 
а̄|| 
᾽іже|| 
погоубитъ|| 
д҃шѫ|| 
своѭ̄|| · 
мене|| 
раді|| 
ӣ|| 
е̄в҃ђлі᾽а|| · 
с҃псетъ|| 
ѭ̄|| · 
Каѣ̄|| 
польѕа|| 
ч҃лкоу|| 
прио̄брѣсти|| 
въсего|| 
міра|| · 
ӣ|| 
о̄тъщетіті|| 
д҃шѫ|| 
сво҃ѭ̄|| · 
чьто|| 
бо|| 
дастъ|| 
ч҃лкь|| · 
ӣӡмѣнѫ|| 
на|| 
д҃ши|| 
сво᾽еӣ|| · 
᾽іже|| 
бо|| 
постъідітъ|| 
сѧ|| 
мене|| · 
᾽и|| 
моихъ|| 
словесъ|| · 
Въ|| 
родѣ|| 
семъ|| 
прѣлюбодѣӣмъ|| 
ӣ|| 
грѣшънѣ᾽амъ|| · 
ӣ|| 
с҃нъ|| 
ч҃лчь|| 
пос᾽тъидітъ|| 
сѧ|| 
его|| · 
Е̄гда|| 
придетъ|| 
въ|| 
славѣ|| 
о̄ц҃а|| 
свое̄го|| · 
съ|| 
а̄н҃ђлъи|| 
с҃тъиӣмі|| · 
Ӣ|| 
г҃лаа̄ше|| 
ӣм|| · 
А̄мин҃|| 
г҃лѭ|| 
вамъ|| · 
сѫтъ|| 
е̄териӣ|| 
о̄т|| 
сьде|| 
стоѧ̄щиӣх|| ·· 
і̄же|| 
не|| 
ймѫтъ|| 
въкоусіті|| 
съмръті|| · 
доӣдеже|| 
о̄уӡьрѧтъ|| · 
ц҃҃рествие̄|| 
б҃жіе̄|| · 
пришедъшее̄|| 
въ|| 
силѣ҃|| · · - 
О̄учителю|| · 
прівѣсь|| 
с҃на|| 
мое̄го|| 
кь|| 
тебѣ|| · 
᾽имѫща|| 
д҃хъ|| 
нѣмъ|| · 
᾽іже|| 
ӣдеже|| 
а̄ще|| 
коліжьдо|| 
ӣметъи|| · 
пѣнъи|| 
тѣщитъ|| · 
ӣ|| 
скрьжьштетъ|| 
ӡѫбъи|| 
своӣми|| 
ӣ|| 
о̄цѣпѣнѣвае̄тъ|| · 
ӣ|| 
рѣхъ|| 
о̄учеником|| 
твоӣмъ|| 
да|| 
ӣжденѫтъі|| · 
ӣ|| 
не|| 
въӡмогѫ|| · 
῾Онъ|| 
же|| 
о̄тъвѣштавъ|| 
г҃ла|| · 
῾Ѡ̄|| 
роде|| 
невѣренъ|| 
до|| 
колѣ|| 
въ|| 
вась|| 
бѫдѫ|| · 
до|| 
колѣ|| 
въи|| 
тръплѭ|| · 
принесѣте|| 
ӣ|| 
кь|| 
мн̄ѣ|| · 
ӣ|| 
принѣсѧ|| 
ӣ|| 
кь|| 
немоу|| · 
Ӣ|| 
видѣвъ|| 
ӣ|| 
д҃хъ|| 
а̄бие̄|| 
сътрѧсе|| 
ӣ|| · 
Ӣ|| 
падъ|| 
на|| 
ӡеми|| 
валѣа̄ше|| 
сѧ|| 
пѣнъи|| 
тѣштѧ|| · 
Ӣ|| 
въпросі|| 
о̄ц҃а|| 
е̄го|| · 
колико|| 
лѣтъ|| 
᾽естъ|| · 
от҃|| 
неліже|| 
се|| 
бъис҃|| 
е̄моу|| · 
О̄нъ|| 
же|| 
реч҃|| · 
ӣӡь|| 
о̄трочінъи|| · 
ӣ|| 
мн̄ожіцеѭ̄|| 
въ|| 
о̄гнъ̄|| 
въвръже|| 
ѝ|| · 
ӣ|| 
въ|| 
водѫ|| · 
да|| 
ӣ|| 
бі|| 
погоубилъ|| · 
Нъ|| 
а̄ще|| 
чьто|| 
можеши|| 
помоѕі|| 
намъ|| 
м҃л҃срдовавъ|| 
о̄|| 
насъ|| · 
Ӣс҃ъ|| 
же|| 
рече|| 
е̄моу|| · 
е̄же|| 
а̄ште|| 
можеши|| 
вѣровати|| · 
вьсѣ|| 
въӡм̆ожьна|| 
вѣроуѭ̄щоуо̄умоу|| · 
И|| 
а̄бие̄|| 
въӡьпивъ|| 
о̄ц҃ь|| 
о̄трочишта|| · 
съ|| 
слъӡами|| 
г҃лаа̄ше|| · 
Вѣроуѭ̄|| 
г҃и|| 
помоѕи|| 
мое̄моу|| 
невѣрию̆|| · 
Видѣвъ|| 
же|| 
᾽҃исъ|| · 
ѣко|| 
съриштетъ|| 
сѧ|| 
народъ|| · 
ӡапрѣти|| 
д҃хоу|| 
нечистоумоу|| 
ӣ|| 
г҃ла|| 
᾽емоу|| · 
нѣмъі|| 
ӣ|| 
глоухъи|| 
д҃ше|| · 
А̄ӡь|| 
ті|| 
велѭ|| 
ӣӡіті|| 
ӣӡ|| 
него|| · 
ӣ|| 
к|| 
᾽томоу|| 
не|| 
въниті|| 
въ|| 
нь|| · 
ӣ|| 
въӡьпівъ|| · 
ӣ|| 
мн̄ого|| 
прѫжавь|| 
сѧ|| 
᾽иӡіде|| · 
᾽и|| 
бъис҃|| 
ѣ̄ко|| 
мрътв̄ъ|| · 
ѣ̄ко|| 
᾽и|| 
м᾽ногомъ|| 
г҃латі|| 
᾽ѣко|| 
о̄умьрѣтъ|| · 
῾И҃съ|| 
же|| · 
ӣмъ|| 
й|| 
ӡа|| 
рѫкѫ|| 
е̄го|| · 
вьӡд᾽виже|| 
ӣ|| · 
ӣ|| 
въста|| · 
᾽и|| 
въшедъшоу|| 
е̄моу|| 
въ|| 
домъ|| · 
о̄ученици|| 
᾽его|| 
въпраша̄а̄хѫ|| 
᾽и|| 
е̄діного|| · 
како|| 
мъі|| 
не|| 
въӡмо҃гомъ|| 
ӣӡгьнати|| 
е̄го|| · 
ӣ|| 
рече|| 
ӣмъ|| · ·:· 
тъ|| 
родъ|| 
не|| 
можетъ|| 
ничимъже|| 
ӣӡити|| · 
Тькм̄о|| 
м҃л҃твоѭ̄|| 
ӣ|| 
постомъ|| · 
Ӣ|| 
от҃|| 
тѫдоу|| 
ӣшедъше|| · 
ӣдѣа̄хѫ|| 
скоӡѣ|| 
галілеѭ̄|| · 
ӣ|| 
хотѣа̄ше|| 
да|| 
никт̄оже|| 
не|| 
о̄увѣстъ|| · 
О̄учаа̄ше|| 
бо|| 
о̄ученикъи|| 
своѧ̄|| 
ӣ|| 
г҃лаа̄ше|| 
ӣмъ|| · 
Ѣ̄ко|| 
с҃нъ|| 
ч҃лчь|| 
прѣданъ|| 
бѫдетъ|| 
въ|| 
рѫцѣ|| 
ч҃лкмъ|| · 
Ӣ|| 
оубі᾽ѭтъ|| 
і|| · 
ӣ|| 
о̄убіе̄нъ|| 
бъивъ|| · 
въ|| 
третіӣ|| 
день|| 
в҃ъскрснетъ|| ·· · - 
Пріде|| 
ӣс҃ъ|| 
ӣ|| 
о̄ученици|| 
е̄го|| 
въ|| 
каперна̄о̄умь|| · 
ӣ|| 
въ|| 
домоу|| 
бъівъ|| · 
Въпрашаа̄ше|| 
о̄ученикъі|| 
своѧ̄|| · 
что̄|| 
на|| 
пѫті|| 
въ|| 
себѣ|| 
помъішлѣа̄сте|| · 
О̄ні|| 
же|| 
млъчаа̄хѫ|| · 
дроугь|| 
кь|| 
дроугоу|| · 
Бѣа̄хѫ|| 
бо|| · 
сьтѧѕаѭ̄ште|| 
сѧ|| 
на|| 
пѫті|| 
кт̄о|| 
естъ|| 
болеӣ|| · 
ӣ|| 
сѣдъ|| 
прігласі|| 
᾽оба|| 
на|| 
десѧте|| · 
ӣ|| 
рече|| 
ӣмъ|| · 
А̄ште|| 
кьто|| 
хоштетъ|| 
старѣӣ|| 
бъити|| · 
да|| 
бѫдетъ|| 
вьсѣхъ|| 
мьнеӣ|| · 
ӣ|| 
всѣмъ|| 
слоуга|| · 
Ӣ|| 
пріе̄мъ|| 
о̄трочѧ|| 
постави|| 
᾽е|| 
по|| 
срѣдѣ|| 
ӣхъ|| · 
ӣ|| 
о̄бъе̄мъ|| 
е|| 
рече|| 
ӣмъ|| · 
᾽іже|| 
а̄ште|| 
е̄діно|| 
таковъіӣхъ|| · 
о̄трочѧтъ|| 
прие̄мл҃етъ|| 
въ|| 
ӣмѧ|| 
мое̄|| · 
мѧ|| 
пріе̄мл҃етъ|| · 
а̄|| ·:· 
і̄же|| 
мѧ|| 
пріе̄мл҃етъ|| · 
не|| 
мен[е]|| · 
пріе̄мле̄тъ|| 
нъ|| 
посьлавъшаа̄го|| 
мѧ|| · 
῾Ѡ̄тъвѣшта|| 
е̄моу|| 
ӣо̄а̄нъ|| 
г҃лѧ|| 
О̄учітелю|| 
відѣхомъ|| 
е̄тера|| · 
ӣменемъ|| 
твоимъ|| 
ӣӡгонѧшта|| 
бѣсъи|| · 
і̄же|| 
не|| 
ходітъ|| 
по|| 
нась|| · 
ӣ|| 
вӡбранихомъ|| 
е̄моу|| · 
Ӣс҃ъ|| 
же|| 
рече|| · 
не|| 
браните|| 
е̄моу|| · 
Никт̄оже|| 
бо|| 
е̄стъ|| 
і̄же|| 
сътворітъ|| 
сілѫ|| 
о̄|| 
ӣмени|| 
мое̄мъ|| · 
ӣ|| 
въӡможетъ|| 
вь|| 
скорѣ|| 
ӡьлословіті|| 
мѧ|| · 
і̄же|| 
бо|| 
нѣстъ|| 
на|| 
въі|| 
по|| 
васъ|| 
е̄стъ|| · 
і̄же|| 
бо|| 
а̄ште|| 
напоӣтъ|| 
въі|| 
чашѫ|| 
водъі|| 
въ|| 
ӣмѧ|| 
ѣ̄ко|| 
х҃ви|| 
е̄сте|| · 
А̄минъ|| 
г҃лѭ|| 
вамъ|| · 
не|| 
погоубитъ|| 
мьӡдъі|| 
свое̄᾽ѧ|| ·· · - 
Пое̄м|| 
ӣс҃ъ|| 
о̄ба|| 
на|| 
десѧте|| 
о̄ученика|| 
своѣ̄|| · 
начѧтъ|| 
имъ|| 
г҃ла|| 
е̄же|| 
хотѣа̄ше|| 
бъиті|| 
емоу|| · 
Ѣ̄ко|| 
се|| 
въсходимъ|| 
въ|| 
ӣе҃̄рл҃мъ|| · 
ӣ|| 
с҃нъ|| 
ч҃҃лчскъи|| 
прѣданъ|| 
бѫдетъ|| · 
А̄рх̄ие̄рео̄мъ|| 
ӣ|| 
кьнижьникомъ|| · 
ӣ|| 
о̄сѫдѧтъ|| 
и|| 
на|| 
съмрътъ|| · 
ӣ|| 
прѣдадѧтъ|| 
і|| 
ѧ̄ӡ҃комъ|| · 
ӣ|| 
порѫгаѭ̄тъ|| 
сѧ|| 
е̄моу|| · 
ӣ|| 
о̄утепѫтъ|| 
і|| · 
ӣ̄|| 
о̄плюѭ̄тъ|| 
і|| · 
ӣ|| 
о̄убіѭ̄тъ|| 
и|| · 
᾽̄И|| 
трети|| 
денъ|| 
въскр̄ъснетъ|| · 
Ӣ|| 
прѣдъ|| 
німъ|| 
ӣдете|| · 
᾽иѣ̄ковъ|| 
ӣо̄а̄нъ|| · 
с҃на|| 
ӡеведео̄ва|| · 
г҃лѭще|| 
е̄моу|| · 
᾽оучітелю|| 
хощевѣ|| · 
да|| 
е̄гоже|| 
просівѣ|| 
ті|| · 
да|| 
сьтвориши|| 
нама|| · 
᾽҃исъ|| 
же|| 
рече|| 
ӣма|| · 
чьто|| 
хощета|| 
да|| 
сътворѭ|| 
вама|| · 
о̄на|| 
же|| 
рѣсте|| 
е̄моу|| · 
даждъ|| 
нама|| · 
да|| 
е̄дінъ|| 
о̄|| 
деснѫѭ̄|| 
тебе|| 
ӣ|| 
᾽едінъ|| 
о̄|| 
шоу᾽ѭ|| 
тебе|| · 
сѧдевѣ|| 
въ|| 
славѣ|| 
твое̄ӣ|| · 
ӣс҃ъ|| 
же|| 
рече|| 
ӣма|| · 
Не|| 
вѣста|| 
сѧ|| 
чесо|| 
просѧща|| · 
Можета|| 
ли|| 
піти|| 
чашѫ|| 
᾽ѭже|| 
а̄ӡ|| 
піѭ̄|| · 
лі|| 
к҃рщені᾽емъ|| · 
ӣмъже|| 
а̄ӡь|| 
к҃рщаѭ̄|| 
к҃рсті|| 
сѧ|| · 
᾽она|| 
же|| 
рѣсте|| 
можевѣ|| · 
᾽҃ись|| 
же|| 
рече|| 
ӣма|| · 
чашѫ|| 
о̄убо|| 
ѭ̄же|| 
а̄ӡь|| 
пиѭ̄|| 
ӣспіе̄та|| · 
ӣ|| 
к҃рщение̄мъ|| 
ӣмъже|| 
а̄ӡь|| 
к҃рщаѭ̄|| 
к҃рстита|| 
сѧ|| · 
А̄|| 
е̄же|| 
сѣсти|| 
о̄|| 
деснѫ̄ѭ̄|| 
мене|| 
ӣ|| 
о̄|| 
шю᾽ѭ|| · 
нѣсть|| 
мьнѣ|| 
даті|| · 
нъ|| 
ӣмъже|| 
о̄уготовано|| 
е̄стъ|| · 
слъішавъше|| 
же|| 
десѧть|| · 
начѧшѧ|| 
негодовати|| · 
о̄|| 
ӣѣ̄ковѣ|| 
ӣ|| 
᾽ио̄а̄нѣ|| · 
ӣс҃ъ|| 
же|| 
приӡьвавь|| 
ѧ̄|| 
г҃ла|| 
ӣмъ|| · 
Вѣсте|| · 
ѣ̄ко|| 
мьнѧщеӣ|| 
сѧ|| 
власти|| 
ѧ̄ӡ҃къи|| · 
о̄устоѧ̄тъ|| 
ӣмъ|| · 
ӣ|| 
веліци|| 
ӣхъ|| 
о̄бладаѭ̄тъ|| 
ӣмі|| · 
не|| 
також᾽де|| 
᾽естъ|| 
въ|| 
васъ|| · 
Нъ|| 
і̄же|| 
а̄ште|| 
хощетъ|| 
вѧщеӣ|| 
бъіті|| 
въ|| 
вась|| · 
да|| 
бѫдетъ|| 
въсѣмъ|| 
слоуга|| · 
А̄|| 
і̄же|| 
а̄ште|| 
хощетъ|| 
бъити|| 
въ|| 
васъ|| 
старѣӣ|| · 
да|| 
бѫдет|| 
вс̄ѣмъ|| 
рабь|| · 
Ӣбо|| 
с҃нъ|| 
ч҃лчскъі|| · 
не|| 
пріде|| 
да|| 
послоужѧтъ|| 
е̄моу|| · 
нъ|| 
да|| 
послоужітъ|| · 
Ӣ|| 
даті|| 
д҃шѫ|| 
своѭ|| 
ӣӡбавление̄|| 
ӡа|| 
мн̄огъи|| ·· - 
кьніжьнікь|| 
е̄теръ|| · 
Прістѫпль|| 
кь|| 
ӣс҃оу|| 
въпросі|| 
ӣ|| · 
каѣ̄|| 
е̄стъ|| 
ӡаповѣдь|| 
пръвѣӣші|| 
вьсѣхъ|| · 
ӣс҃ъ|| 
же|| 
о̄тъвѣща|| 
е̄моу|| · 
Ѣ̄ко|| 
пръвѣӣши|| 
вьсѣхъ|| 
ӡаповѣдіӣ|| · 
слъиші|| 
ӣӡ҃лю|| · 
г҃ь|| 
б҃ъ|| 
нашъ|| · 
г҃ь|| 
᾽единъ|| 
тъ|| 
е̄стъ|| · 
ӣ|| 
въӡлюбиші|| 
г҃а|| 
б҃а|| 
свое̄го|| · 
вьсѣмъ|| 
с҃рдцемъ|| 
своӣмъ|| · 
ӣ|| 
вьсеѭ̄|| 
д҃шеѭ̄|| 
свое̄ѭ̆|| · 
сиі̄|| 
пръвѣӣшіӣ|| 
вьсѣхъ|| 
ӡаповѣдіӣ|| · 
вътораѣ|| 
подобьна|| 
е̄ӣ|| · 
вьӡлюбіши|| 
ӣск̄рънѣа̄го|| 
свое̄го|| 
ѣ̄ко|| 
ӣ|| 
самъ|| 
сѧ|| · 
больші|| 
сею̄|| 
ӣна|| 
ӡаповѣдъ|| 
нѣстъ|| · 
ӣ|| 
рече|| 
е̄моу|| 
кьнижьникъ|| · 
добрѣ|| 
о̄учітелю|| 
въ|| 
ӣстинѫ|| 
г҃леші|| · 
ѣ̄ко|| 
е̄дінъ|| 
е̄стъ|| · 
ӣ|| 
нѣстъ|| 
ӣного|| 
раӡвѣ|| 
того|| · 
ӣ|| 
е̄же|| 
любіті|| 
ӣ|| · 
вс̄ѣмъ|| 
с҃҃рдцемъ|| · 
ӣ|| 
вьсѣмъ|| 
раӡоумомъ|| · 
