id,lemma,pos,count
951,зеньзебиль,Nb,1
952,калафуръ,Nb,1
953,корица,Nb,1
954,гвоздьникы,Nb,2
955,пряныи,A-,1
956,корение,Nb,8
957,адрякъ,Nb,1
958,кулъ,F-,1
959,письяръ,F-,1
960,сия,F-,2
961,немалыи,A-,6
962,баба,Nb,14
963,высокыи,A-,33
964,драгыи,A-,22
965,чьрвьць,Nb,2
966,фатисы,Nb,2
967,бабогури,Nb,1
968,бинчаи,Nb,1
969,хрусталь,Nb,1
970,сумбада,Nb,1
971,локъть,Nb,10
972,девякуши,Nb,1
973,вѣсъ,Nb,3
974,шабаитьскыи,A-,2
975,алафа,Nb,4
976,тенька,Nb,8
977,малыи,A-,230
978,жьртва,Nb,10
979,шаибатъ,Ne,6
980,сандалъ,Nb,2
981,пегу,Ne,1
982,дербышь,Nb,2
983,дорогыи,A-,17
984,маникъ,Nb,1
985,кирпукъ,Nb,2
986,чиньскыи,A-,1
987,мачиньскыи,A-,1
988,чини,Nb,3
989,приносити,V-,33
990,сахарьныи,A-,2
991,поити#2,V-,5
992,зачати,V-,13
993,халялъ,Nb,1
994,инчи,Nb,1
995,аммонъ,Nb,1
996,фуфалъ,Nb,1
997,люкъ,Nb,1
998,рачуръ,Nb,1
999,алмазъ,Nb,9
1000,биръ,F-,1
1001,конъ,Nb,3
1002,новыи,A-,107
1003,почька,Nb,6
1004,пѣнечьче,F-,1
1005,кени,F-,2
1006,шешь,F-,1
1007,сипитъ,F-,1
1008,екъ,F-,1
1009,фунтъ,Nb,2
1010,меликъхановъ,A-,1
1011,салтановъ,A-,1
1012,тридесяте,Ma,150
1013,шабаитинъ,Nb,1
1014,жидовинъ,Nb,7
1015,худинъ,Nb,1
1016,дьрати,V-,7
1017,смѣяти,V-,9
1018,аукиковъ,F-,1
1019,олень,Nb,5
1020,окърмити,V-,2
1021,пупъ,Nb,3
1022,мускусъ,Nb,1
1023,дикыи,A-,11
1024,пупъкъ,Nb,1
1025,ронити,V-,1
1026,поле,Nb,93
1027,воня,Nb,8
1028,свѣжии,A-,12
1029,маи,Nb,58
1030,срѣдъ,Nb,3
1031,априль,Nb,47
1032,о,I-,94
1033,благовѣрьныи,A-,64
1034,еже,G-,55
1035,плавати,V-,9
1036,въпадати,V-,3
1037,лишати,V-,13
1038,рабище,Nb,3
1039,съжалити,V-,21
1040,уже,Df,189
1041,бѣда,Nb,48
1042,каинъ#2,Ne,1
1043,четвьртыи,Mo,24
1044,мъного,Df,90
1045,плакати,V-,137
1046,понудити,V-,5
1047,рещи,V-,1250
1048,господинъ,Nb,80
1049,кыларесенъ,F-,1
1050,менда,F-,2
1051,киларьменъ,F-,1
1052,бешь,F-,1
1053,киларьсизъ,F-,1
1054,каларемень,F-,1
1055,мень,F-,1
1056,асень,F-,1
1057,иньчаи,F-,1
1058,истина,Nb,80
1059,хрьстияньство,Nb,4
1060,помышление,Nb,7
1061,въпасти,V-,14
1062,горе,Nb,22
1063,окаяныи,A-,12
1064,яко,Df,391
1065,путь,Nb,143
1066,истиньныи,A-,34
1067,заблудити,V-,5
1068,отъвратити,V-,8
1069,скърбь,Nb,50
