573,аляндъ,Ne,алѣндъ
574,пътица,Nb,пътіца
575,гукукъ,Nb,гукукъ
576,лѣтати,V-,лѣтаті
577,которыи,Pr,которьіі
578,хоромина,Nb,хороміна
579,умрѣти,V-,умрѣті
580,рътъ,Nb,рътъ
581,мамона,Nb,мамона
582,имати,V-,іматі
583,куръ,Nb,куръ
584,или,C-,ілі
585,камение,Nb,каменіе
586,обезияна,Nb,обезіѣна
587,лѣсъ,Nb,лѣсъ
588,обезияньскыи,A-,обезіѣньскьіі
589,рать,Nb,рать
590,заимати,V-,заіматі
591,жаловати,V-,жаловаті
592,посылати,V-,посьілаті
593,дворъ,Nb,дворъ
594,разваляти,V-,развалѣті
595,вельми,Df,вельмі
596,которыи,Px,которьіі
597,не,C-,не
598,мати,Nb,маті
599,метати,V-,метаті
600,учити,V-,учіті
601,рукодѣлие,Nb,рукодѣліе
602,побѣжати#2,V-,побѣжаті#2
603,базы,F-,базьі
604,миканетъ,F-,міканетъ
605,весна,Nb,весна
606,праздьновати,V-,праздьноваті
607,осень,Nb,осень
608,столъ,Nb,столъ
609,гондустанъ,Ne,гондустанъ
610,салтанъ,Nb,салтанъ
611,воевати,V-,воеваті
612,дъвѣсътѣ,Ma,дъвѣсътѣ
613,меликъ,Ne,мелікъ
614,харатъ,Ne,харатъ
615,выходити,V-,вьіходіті
616,трисъта,Ma,трісъта
617,людьныи,A-,людьньіі
618,сельскыи,A-,сельскьіі
619,сильныи,A-,сільньіі
620,добрѣ,Df,добрѣ
621,пышьныи,A-,пьішьньіі
622,носити,V-,носіті
623,кровать,Nb,кровать
624,сребрьныи,A-,сребрьньіі
625,прѣдъ,R-,прѣдъ
626,водити,V-,водіті
627,снасть,Nb,снасть
628,пятьсътъ,Ma,пѣтьсътъ
629,трубьникъ,Nb,трубьнікъ
630,нагарьникъ,Nb,нагарьнікъ
631,свирѣльникъ,Nb,свірѣльнікъ
632,выѣзжати,V-,вьіѣзжаті
633,потѣха,Nb,потѣха
634,пятьдесятъ,Ma,пѣтьдесѣтъ
635,нарядити,V-,нарѣдіті
636,золотити,V-,золотіті
637,плясьць,Nb,плѣсьць
638,простыи,A-,простьіі
639,гаурока,Nb,гаурока
640,султановъ,A-,султановъ
641,семеръ,Ma,семеръ
642,ворота,Nb,ворота
643,сторожь,Nb,сторожь
644,письць,Nb,пісьць
645,къто,Pi,къто
646,записывати,V-,запісьіваті
647,гарипъ,Nb,гаріпъ
648,чудьныи,A-,чудьньіі
649,вырѣзъ,Nb,вьірѣзъ
650,золото,Nb,золото
651,послѣдьнии,A-,послѣдьніі
652,камы,Nb,камьі
653,вырѣзати,V-,вьірѣзаті
654,описати,V-,опісаті
655,чудьно,Df,чудьно
656,розьныи,A-,розьньіі
657,нощь,Nb,ношть
658,кутоваловыи,A-,кутоваловьіі
659,свѣтычь,Nb,свѣтьічь
660,продати,V-,продаті
661,наложити,V-,наложіті
662,шестьдесятъ,Ma,шестьдесѣтъ
663,футунъ,Nb,футунъ
664,змия,Nb,зміѣ
665,улица,Nb,уліца
666,дьлина,Nb,дьліна
667,сажень,Nb,сажень
668,заговѣние,Nb,заговѣніе
669,филиповъ,A-,філіповъ
670,рожьство,Nb,рожьство
671,познати,V-,познаті
672,индѣянe,Nb,індѣѣне
673,исаядениени,F-,ісаѣденіені
674,афанасии,Ne,афанасіі
675,хозя,Nb,хозѣ
676,исуфъ,Ne,ісуфъ
677,хоросани,Ne,хоросані
678,учати,V-,учаті
679,крыти,V-,крьіті
680,ни,Df,ні
681,ѣства,Nb,ѣства
682,търговля,Nb,търговлѣ
683,намазъ,Nb,намазъ
684,вещь,Nb,вешть
685,распытати,V-,распьітаті
686,вѣровати,V-,вѣроваті
687,адамъ,Ne,адамъ
688,бутъ,Nb,бутъ
689,казати,V-,казаті
690,родъ,Nb,родъ
691,индия,Ne,індіѣ
692,осмьдесятъ,Ma,осмьдесѣтъ
693,пити,V-,піті
694,ясти,V-,ѣсті
695,женити,V-,женіті
696,боранина,Nb,бораніна
697,рыба,Nb,рьіба
698,яице,Nb,ѣіце
699,воловина,Nb,воловіна
700,никакыи,Px,нікакьіі
701,съвѣщати,V-,съвѣштаті
702,первоть,Ne,первоть
703,ерусалимъ,Ne,ерусалімъ
704,бесерменьскы,Df,бесерменьскьі
705,мягъкатъ,Ne,мѣгъкатъ
706,бутхана,Nb,бутхана
707,тамъ,Df,тамъ
708,полъ#1,Nb,полъ#1
709,твѣрь,Ne,твѣрь
710,рѣзати,V-,рѣзаті
711,дѣяние,Nb,дѣѣніе
712,бутовъ,A-,бутовъ
713,около,R-,около
714,вѣньць,Nb,вѣньць
715,како,Du,како
716,творити,V-,творіті
717,являти,V-,ѣвлѣті
718,образъ,Nb,образъ
719,пьрвое,Df,пьрвое
720,человѣчьскыи,A-,человѣчьскьіі
721,носъ,Nb,носъ
722,слоновыи,A-,слоновьіі
723,видѣние,Nb,відѣніе
724,обезиянинъ,A-,обезіѣнінъ
725,четвьртыи,Nb,четвьртьіі
726,лютыи,A-,лютьіі
727,звѣрь,Nb,звѣрь
728,хвостъ,Nb,хвостъ
729,чересъ,R-,чересъ
730,бутханъ,Nb,бутханъ
731,брити,V-,бріті
732,старыи,A-,старьіі
733,дѣвъка,Nb,дѣвъка
734,борода,Nb,борода
735,шекшень,Mo,шекшень
736,футъ,Nb,футъ
737,съѣзжати,V-,съѣзжаті
738,азаръ,F-,азаръ
739,лекъ,F-,лекъ
740,вахтъ,F-,вахтъ
741,башетъ,F-,башетъ
742,сатъ,F-,сатъ
743,правыи,A-,правьіі
744,подъняти,V-,подънѣті
745,высоко,Df,вьісоко
746,прострѣти,V-,прострѣті
747,акы,Df,акьі
748,устиниянъ,Ne,устініѣнъ
