orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
манастырь||Nb|259|||||||||99||||||||0|e_sl|afnik|avv|birchbark|||||||||||lav|luk-koloc_subtitle_added||mst|||||nov-sin||||||||||||sergrad||||stefan|suz-lav||usp-sbor|ust-vlad||||3719443865607
къ|къ|R-|2296|kъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh||||nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|||vest-kur|zadon|28552932687871
живоначальныи||A-|7|||||||||99||||||||0|e_sl|afnik||||const|||dux-grjaz||||||||||||||||||||pskov_subtitle_added||||||sergrad||||||||||||8724152465
троица|троица|Nb|64|trojika|||trojica||||fem_a_PV3|2|||Trinity||1|||1|e_sl|afnik|avv||bur-alph|const|||dux-grjaz||||||lav||||mstislav-col||||nov-sin||||||pskov_subtitle_added|pvl-hyp|||||sergrad||||stefan|suz-lav|||||||421311684763
мученикъ|мѫченикъ|Nb|52|mǫčenikъ|||||||masc_o|2||||||||1|e_sl|afnik|avv||bur-alph|||drac|||||||lav||||||||nov-sin||||||pskov_subtitle_added||||||sergrad|||||suz-lav||usp-sbor|||||1383115792459
борисъ||Ne|116|||||||||99||||||||0|e_sl|afnik|avv|birchbark||||||||||kur|lav||||||||nov-sin||||||||||||||smol-pol-lit|spi||suz-lav||usp-sbor||||zadon|19069656903687
гълѣбъ||Ne|143|||||||||99||||||||0|e_sl|afnik|||||||||||||lav||||||||nov-sin||||||||||||||smol-pol-lit|||suz-lav||usp-sbor||||zadon|19000937422849
у|оу|R-|1037|u||||||||0|||||||1|1|e_sl|afnik|avv|birchbark||const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem||lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|||vest-kur|zadon|28552396140535
игуменъ||Nb|199|||||||||99||||||||0|e_sl|afnik|avv|birchbark|||domo|drac|dux-grjaz||||||lav|||mst|||||nov-sin||||||||||||sergrad||||stefan|suz-lav||usp-sbor|ust-vlad||||3719443849447
себе|себе|Pk|5901|sę|||||||sę|2||||||||1|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30786317188991
благословити|благословити|V-|86|bolgosloviti|||||||40|1||||||||1|ch_sl|afnik|avv|||const|domo||||||||lav||||||||nov-sin||ostromir-col||||pskov_subtitle_added||||||sergrad||||stefan|suz-lav||usp-sbor||||zadon|19112749178931
макарии||Ne|1|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
братия||Nb|465|||||||||99||||||||0|e_sl|afnik|avv|birchbark||const|domo|||||kiev-hyp|||lav|||mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin||||||pskov_subtitle_added||||rusprav||sergrad||smol-pol-lit|spi|stefan|suz-lav||usp-sbor||varlaam||zadon|23616016032823
из|из|R-|727|jьz|||||||voice_assim_prep|0|||||||1|1|e_sl|afnik|avv|birchbark||const|domo|drac|dux-grjaz||golitsyn|kiev-hyp|||lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30751872444151
колязинъ||Ne|1|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
углечь||Ne|2|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
кострома||Ne|4|||||||||99||||||||0|e_sl|afnik|avv|||||||||||||||||||||||paz|||||||||||||||||||||16777219
александръ||Ne|31|||||||||99||||||||0|e_sl|afnik|||||domo||||golitsyn|||kur|lav|||||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||||||pvl-hyp|||||||||||turch||||vest-kur||9346124362273
иныи||Px|502|||||||||99||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz||golitsyn||||lav|luk-koloc_subtitle_added|mikh|||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad||smol-pol-lit||stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30150576890623
грамота||Nb|119|||||||||99||||||||0|e_sl|afnik|avv|birchbark|bur-alph||domo||dux-grjaz||||||lav|||||nevsky-treaty|||nov-sin|novgorod-jaroslav|||||pskov_subtitle_added|pvl-hyp||riga-goth|||sergrad||smol-pol-lit||stefan||||||||181871583407
отъпустити|отъпоустити|V-|70|otъpustiti|||||||40|1||||||||1|e_sl|afnik|avv|||const|domo|drac|dux-grjaz||||||lav||||||||nov-sin||||peter||pskov_subtitle_added|pvl-hyp|||||sergrad|||||suz-lav||usp-sbor|||vest-kur||10179510804723
вьсь|вьсь|Px|2127|vьxь||vьxъ|vьśь||||vьxь|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem||lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35184370970623
русь||Ne|208|||||||||99||||||||0|e_sl|afnik|avv|birchbark|||domo||||||||lav||||||||nov-sin|||||||pvl-hyp||riga-goth|||sergrad||||stefan|suz-lav||usp-sbor||||zadon|19113948749863
добровольно||Df|5|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
плесо||Ne|1|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
